ID;Edad;Experiencia;Ingreso;Postal;Familia;credito;educacion;cuenta de ahorros;servicios online;Mora
2075;52;27;81;91942;1;1.3;3;0;0;1
1679;56;30;73;94035;2;1.1;1;0;0;0
2999;61;35;38;93106;2;0.3;1;0;0;0
274;41;16;65;90095;3;0.5;3;0;1;0
2188;54;30;NA;90024;2;1;3;0;0;0
82;47;22;40;94612;3;2.7;2;0;1;0
2034;49;23;83;92126;1;0.3;1;0;1;1
4641;30;6;42;90034;1;2.1;3;0;1;0
590;31;7;128;92821;1;6;1;0;0;0
380;25;0;28;92093;2;1.7;2;0;0;0
4623;47;20;13;94545;3;0.67;2;0;1;0
1176;29;4;58;91006;1;0.8;2;0;1;1
142;35;11;58;95831;3;2;1;0;1;1
3839;37;11;71;94501;2;1.8;1;0;0;0
2711;51;27;39;94304;2;0.8;1;0;0;0
4686;63;39;41;91355;4;1.3;2;0;1;0
2025;NA;12;113;94305;4;0.2;1;0;0;0
1743;64;38;42;95929;2;0.7;3;0;1;0
1952;45;21;84;94550;4;2;3;0;1;1
3804;42;18;83;96001;4;2;3;0;1;0
3154;31;5;18;94111;4;0.3;2;0;0;1
614;60;35;NA;94904;1;0.9;1;0;0;0
2614;52;26;110;94501;2;5.4;3;0;1;0
3932;53;27;170;95003;1;1;1;0;1;0
2885;28;2;48;93943;4;2.1;3;0;1;1
1235;44;18;33;90405;3;1.5;1;0;1;1
2727;62;37;18;92028;1;1.5;2;0;0;0
3620;45;20;42;94703;1;0.3;3;1;1;0
4410;43;19;75;91765;4;0.2;3;0;1;0
2185;62;36;183;90095;2;3.4;3;0;0;0
1324;52;26;45;91604;3;0.6;2;0;0;0
2634;49;25;13;95054;3;0.4;1;1;1;0
3950;31;5;23;93407;1;0.4;2;0;1;1
2115;62;36;69;95039;2;1.7;3;0;1;0
4620;61;36;23;95521;1;0.1;1;0;0;0
4994;45;21;218;91801;2;6.67;1;1;1;0
1064;NA;NA;39;90024;3;1.4;1;0;0;1
893;38;12;NA;95616;2;2.4;2;0;1;0
3378;35;10;83;95370;4;0.7;3;1;1;0
2970;43;18;60;95039;2;2.2;3;0;0;0
3416;36;12;93;90720;2;2.2;1;0;1;1
866;60;34;22;92037;3;0.3;3;0;1;1
482;33;9;53;94063;1;1.2;1;0;0;1
2500;53;27;38;94105;4;2.8;2;0;1;0
537;25;-1;43;92173;3;2.4;2;0;1;0
672;65;41;105;92612;1;3;2;1;1;0
4144;55;31;NA;94720;2;0.3;1;0;1;0
267;63;38;NA;94720;2;1.5;1;0;1;0
4317;30;6;95;91950;2;0.2;1;0;1;0
2577;60;36;30;93711;4;1.3;1;0;1;1
1220;45;18;80;92407;3;2.67;2;0;0;0
2147;27;3;30;93108;1;1;3;0;0;0
2193;25;1;13;95814;4;1;1;0;0;1
3800;37;11;44;93109;4;0.2;1;0;0;1
4823;60;36;149;92007;1;4.7;1;0;1;0
2994;65;40;20;92647;3;0.1;3;0;0;1
2753;NA;25;34;95819;3;0.9;3;0;1;0
1737;57;31;131;95133;2;2.7;1;0;0;1
564;51;27;12;94608;4;1;1;0;1;0
135;53;29;98;95035;3;1.8;2;0;0;0
4008;31;7;35;91745;2;1;2;0;0;1
2223;45;20;41;95008;1;0.3;1;0;1;0
2752;47;NA;32;92251;4;0.6;1;0;1;1
2332;61;NA;68;90245;4;2.3;3;0;0;0
1325;52;28;15;95064;1;0.2;1;0;1;0
1621;39;14;NA;94035;2;0.3;2;0;1;0
1307;34;9;NA;94115;4;1.1;3;0;1;1
2249;63;37;8;94618;1;0.8;2;0;1;0
3687;60;35;122;92521;1;1.3;1;0;0;0
4206;61;36;139;95133;2;3.9;1;0;0;0
2926;59;35;42;91711;4;0.4;1;0;1;0
1036;43;17;81;94720;4;2.6;3;0;1;0
192;51;25;29;90404;1;0.3;3;1;0;0
2453;25;1;28;94596;1;1;3;0;1;0
463;29;4;183;91423;3;8.3;3;0;1;0
1418;42;18;52;94061;2;2.5;1;0;0;0
847;51;27;93;92154;1;2.7;1;0;1;0
4340;35;11;NA;95518;1;1.7;1;0;0;1
2164;33;3;69;92161;4;1.8;3;0;1;0
4850;49;25;65;90007;2;1;3;0;1;1
3431;64;38;32;90291;2;0.3;1;0;1;1
12;29;5;NA;90277;3;0.1;2;0;1;0
2839;NA;6;181;94542;3;4.1;2;0;1;1
2285;47;23;22;94901;4;0.6;1;1;1;1
3762;49;24;25;95831;2;0.7;3;0;1;0
1787;35;11;34;93117;1;1.5;2;0;0;0
88;48;22;78;94305;3;1.1;1;0;1;0
2026;47;20;79;94720;3;2;2;1;0;0
738;64;37;138;94709;2;2.8;2;0;1;0
4176;42;17;154;93955;3;4.9;1;0;1;1
4433;53;27;50;92660;2;0.8;3;0;1;0
1870;55;30;44;94025;2;2;2;0;1;0
369;63;37;30;92054;2;1;3;0;1;0
1250;51;27;80;90032;1;2.6;2;0;1;1
2853;54;29;183;93105;1;8.1;1;0;1;1
2241;41;17;81;92868;4;0.2;3;0;0;0
1100;30;6;52;92717;3;0.7;2;0;1;0
4545;28;4;80;95819;3;2.5;1;0;1;0
933;51;27;112;94720;3;1.8;2;0;1;1
613;65;40;129;90095;1;1.3;1;0;1;1
2919;28;3;142;93727;1;0.8;1;1;1;0
4836;65;39;25;95370;2;0.4;1;1;1;0
4067;61;37;61;94122;3;2;3;0;1;0
223;26;2;104;94306;3;2.5;1;0;0;0
3975;46;21;41;94305;1;0.5;3;0;0;0
4495;29;4;182;95354;1;3.7;3;1;1;0
2547;50;25;9;91911;2;0;1;1;0;0
4533;48;22;133;90073;2;3.1;2;1;1;0
3058;42;18;45;95616;1;0.7;1;1;1;0
4970;45;19;60;94143;2;0.4;3;0;1;0
2024;55;29;55;94720;1;0.2;1;0;1;0
1665;61;35;63;91605;1;1.6;1;0;1;0
1610;66;41;NA;93023;1;0.8;3;0;1;1
2246;54;28;33;94111;2;0.7;2;0;0;1
4995;64;40;75;94588;3;2;3;0;1;0
4258;43;17;48;95762;3;2.2;2;0;0;1
331;54;30;78;92374;4;1;2;0;1;0
2448;44;19;201;95819;2;8.8;1;0;1;1
3093;43;18;113;90036;2;0.4;1;0;0;0
365;54;24;29;92028;3;1;3;0;0;1
2374;33;9;184;94304;2;4.8;2;0;0;0
3830;65;39;NA;92038;1;0.5;3;0;1;1
2264;47;21;28;92868;3;1.5;1;0;1;0
592;30;5;51;92037;1;1;1;0;1;0
4357;43;19;35;90630;1;0.7;1;0;0;0
203;30;3;NA;94306;4;2;2;0;1;0
4555;41;16;109;94801;3;1;1;0;1;0
3312;49;25;24;95819;1;0.3;1;0;0;0
3386;42;NA;73;90089;4;0.4;1;0;0;0
2515;41;16;25;92182;2;0.1;2;0;0;0
3200;33;9;20;95521;4;0.7;2;0;1;0
3417;61;37;NA;94111;1;0;2;0;1;0
364;25;NA;30;92691;2;1.7;2;1;0;0
1049;NA;37;90;95747;3;0.5;1;1;1;0
2278;30;6;32;91330;2;1;2;0;0;0
4902;26;0;54;96094;3;1.1;2;1;1;0
3967;33;7;84;95051;1;2.9;3;0;1;0
3129;38;12;64;94115;2;1.8;1;0;0;0
3527;58;33;NA;95008;2;0.2;3;0;1;0
1218;44;20;122;94305;1;0.3;1;0;1;0
4560;47;20;101;91950;3;2;2;0;1;0
2253;58;32;41;95819;3;1.4;1;0;1;0
943;55;29;30;91320;4;0.7;2;0;0;1
2604;53;27;60;90049;1;0.2;1;0;1;0
2762;35;8;44;95045;4;1;2;0;0;1
3509;33;9;NA;92182;1;4.3;3;0;1;0
1150;56;32;NA;91763;1;7.4;1;0;0;0
3647;34;9;141;92056;3;6.9;2;0;1;0
3507;27;1;58;95827;4;1.8;2;0;1;1
825;39;15;72;94801;4;2.4;1;1;1;0
1987;42;NA;114;90065;2;0.4;1;0;0;0
3708;NA;18;NA;92647;1;0.6;3;0;0;0
305;48;23;22;90740;1;0.1;1;0;0;0
2127;44;19;83;92121;4;0.4;1;0;0;0
4829;52;28;62;90089;1;1.8;3;0;1;0
3280;26;-1;44;94901;1;2;2;0;0;0
319;27;2;110;95670;4;1.8;3;0;1;0
723;45;21;132;91103;3;1.2;2;0;1;1
2871;43;17;91;95134;1;5.2;1;0;0;0
4451;44;20;45;94111;2;2.5;1;0;1;0
832;NA;31;49;94066;4;1.67;3;0;1;0
4580;58;32;41;94305;1;0.2;1;0;1;0
4968;41;16;69;92697;1;0.1;2;0;1;0
1423;32;8;32;94143;2;1;2;0;1;1
2675;30;6;101;90245;2;0.6;1;0;1;0
4174;NA;9;43;93943;2;0.3;1;0;1;0
3034;43;19;130;90630;2;4.7;3;1;0;1
2265;NA;11;9;93106;4;0.7;2;0;1;0
2974;47;22;82;92084;1;2.9;1;0;1;0
1884;56;30;185;91711;1;2.9;1;0;0;0
2394;NA;28;14;94005;4;0.8;1;0;1;1
2084;31;7;NA;94025;1;0.2;3;0;1;0
2884;40;14;92;90024;4;1.4;2;1;1;0
1061;59;34;23;93111;1;0.1;1;0;0;1
2932;31;4;54;91741;2;1;2;0;0;1
4746;49;23;129;94085;1;0.3;1;0;1;1
3857;56;30;81;90401;4;2.6;3;0;1;0
3646;42;NA;79;92103;1;3.7;3;0;0;1
265;45;19;NA;90840;2;0.7;1;0;0;0
1018;31;5;40;94305;4;1.3;3;0;0;0
961;46;22;144;93611;2;3.3;1;0;1;1
3920;64;34;179;90024;2;4.5;3;0;0;0
4581;50;24;102;91103;2;6.3;1;0;1;0
2487;61;36;130;92717;1;1.3;1;0;0;0
724;50;24;61;94301;4;2.6;1;1;1;0
975;63;38;54;90401;3;2.2;1;0;1;0
4670;27;1;NA;94501;4;1.8;2;0;1;1
843;NA;10;NA;92101;3;2;1;0;0;0
2421;63;39;40;91304;1;0.8;1;0;0;1
2683;53;27;81;90032;4;2.6;3;0;1;0
539;31;NA;11;94534;1;0.4;2;0;0;1
4773;26;2;95;92130;3;0.8;1;0;1;0
506;36;NA;69;94305;3;3.1;2;0;1;0
4343;32;NA;45;93611;3;2.3;1;0;1;0
2619;23;-3;55;92704;3;2.4;2;0;1;0
4980;NA;26;92;90740;1;2.6;2;0;0;1
4077;49;23;22;92220;1;0.3;3;0;0;0
3686;53;27;93;94588;1;0.8;3;0;0;0
4216;64;40;NA;94028;2;0.3;3;0;0;0
1123;32;7;38;90041;1;1;1;0;1;0
4550;53;29;41;94080;2;0.8;1;0;1;0
2901;52;28;NA;91320;2;3.2;3;0;0;0
2207;NA;7;48;92831;4;2.2;2;0;0;0
4876;61;36;54;94539;3;1.5;1;0;1;0
1306;32;6;28;94025;2;0.3;2;0;1;0
3056;28;2;111;94305;4;2.3;3;1;1;0
2718;23;-2;45;95422;4;0.6;2;0;1;1
4192;NA;15;39;91711;3;1;2;0;0;0
379;47;23;38;94618;2;2.1;3;0;0;0
1127;32;8;104;95192;2;3.7;1;0;0;1
1578;34;8;65;92093;1;3;1;0;1;0
3260;33;8;54;92251;3;2.3;1;0;0;1
2378;47;23;160;92037;2;6.67;1;0;0;0
2431;23;-1;73;92120;4;2.6;1;0;1;0
3531;54;28;49;90073;4;2.8;2;0;0;0
952;59;34;83;94105;2;3.4;3;0;1;0
4909;40;16;138;92121;2;6.1;1;0;1;0
1060;NA;2;NA;91203;1;0.1;2;0;1;1
914;57;32;34;92507;2;2;2;0;0;0
87;40;16;42;94501;4;2.2;2;0;0;0
2713;31;7;32;91320;1;1.7;1;0;1;0
4093;40;15;171;94539;2;3.3;1;0;1;0
4025;41;15;82;94720;3;0.1;1;1;1;0
1632;61;36;NA;91105;1;2.6;2;0;0;1
4217;60;35;173;90059;3;3.1;3;0;1;0
3315;38;NA;41;90073;4;1.7;1;0;1;0
1173;49;24;45;92104;3;1.7;2;1;1;0
3669;38;13;129;92037;4;0.3;3;0;1;0
959;55;29;78;90747;4;2.6;3;0;0;1
2294;42;17;14;91768;2;0.1;2;0;1;0
1716;39;13;25;95370;3;0.2;2;0;1;0
3210;42;16;173;91355;2;1.5;2;0;1;1
337;36;12;65;95051;3;2.6;2;0;1;0
4921;42;16;28;94002;4;1.5;3;0;1;1
3011;25;1;72;94301;3;0.8;1;0;1;0
4719;32;NA;35;91107;3;1;1;0;1;0
2497;63;NA;32;93117;3;0.7;2;0;0;0
4370;50;25;19;94005;4;0.4;2;0;1;1
3706;30;4;30;91770;3;1;1;0;1;0
3899;44;20;129;96001;2;3.3;1;0;1;0
3949;37;12;123;94304;4;3.1;2;0;1;1
3612;NA;39;145;92705;1;0.9;1;0;0;0
4684;52;28;149;92121;2;0.4;1;0;0;0
4842;59;35;NA;92870;4;0.4;1;0;1;0
3775;51;26;52;92521;4;1.8;3;0;1;0
1059;59;34;24;94105;2;0.2;3;0;1;0
3307;NA;22;65;90840;1;2.4;1;1;1;0
4981;29;5;135;95762;3;5.3;1;1;1;1
4669;NA;14;NA;94025;3;0.5;3;1;1;0
3936;59;33;53;90034;3;2.5;1;0;1;0
1340;52;25;180;94545;2;9;2;0;1;0
3362;31;5;85;94117;3;1.6;1;0;1;1
4300;30;5;73;90065;1;2.6;2;0;1;0
3033;47;22;19;94590;1;0.4;3;0;1;0
2439;62;37;29;91030;1;0.3;3;0;0;1
20;55;NA;NA;94720;1;0.5;2;0;0;1
988;62;36;84;94609;2;2.8;1;0;1;0
4135;35;NA;85;92154;4;0.1;2;1;0;0
2429;39;12;108;92717;4;3.67;2;0;0;1
31;59;35;35;93106;1;1.2;3;1;1;0
1544;52;26;101;93407;2;2.4;2;0;1;0
2570;35;10;139;90024;1;4.6;1;0;0;0
1152;49;23;12;94720;2;0.1;3;0;1;0
4571;32;6;99;91902;2;4.5;3;0;1;0
2423;58;32;163;95014;2;0.5;1;0;0;0
4380;42;17;53;93023;4;1.9;3;0;1;0
4288;54;28;42;95207;4;2.5;1;1;1;1
4159;59;34;74;92780;4;0.7;1;0;1;1
490;53;28;NA;91380;2;2.1;3;0;1;1
1361;54;28;85;92028;4;4.9;1;0;1;0
1468;NA;36;29;91107;2;0.7;3;0;0;0
14;59;32;40;94920;4;2.5;2;0;1;0
4879;34;9;41;92093;1;1;1;0;1;0
3123;38;14;54;90095;2;0.6;3;0;0;0
411;47;23;110;94111;2;3.3;1;0;1;1
4964;32;6;98;95054;2;4.5;3;0;0;0
3777;27;3;135;93108;3;2.7;3;0;0;1
3220;39;15;33;92346;1;2;2;0;0;0
1029;29;NA;110;92096;4;2.5;3;0;0;0
3653;35;NA;69;94704;4;2.2;2;0;0;1
4104;44;20;52;94143;1;0.8;3;0;0;1
4832;30;6;42;91711;1;2.1;3;0;0;1
1629;42;18;90;95064;4;0.8;1;0;0;0
579;46;19;49;92124;3;2.5;2;0;1;1
23;29;5;62;90277;1;1.2;1;0;1;0
1136;57;33;9;93106;1;0.1;2;0;1;0
1817;45;19;91;92373;2;1.7;2;0;1;0
2377;NA;33;23;91768;3;0.2;1;0;0;0
3678;59;33;43;94234;2;0.3;1;0;0;1
452;28;-2;48;94132;2;1.75;3;1;1;0
3534;57;32;50;94545;4;2.1;1;0;0;0
3677;62;37;22;95818;1;1.5;2;0;1;0
3787;54;NA;90;91301;1;0.3;1;0;1;0
4031;58;32;44;92354;1;0.8;2;0;0;0
3247;41;17;81;95422;1;0.8;2;0;1;0
1984;31;5;20;94720;2;0.3;1;0;0;0
1164;34;9;138;94720;2;7.8;1;0;1;0
4367;52;28;43;90089;4;1.1;2;0;0;0
342;31;6;55;92038;4;2;2;0;1;0
532;32;6;50;90401;4;2.1;3;0;1;1
2789;45;20;30;96003;1;0.1;1;0;1;0
4126;60;34;95;94104;2;0.7;2;0;1;1
3827;43;19;132;90089;1;5;1;0;0;0
1844;30;6;154;90230;1;6;1;0;0;0
4965;53;27;110;90245;1;4.9;1;0;1;0
1867;48;24;90;94523;1;2.6;2;0;1;0
4951;47;23;19;90089;1;1;1;0;0;1
4229;34;10;NA;95060;2;2;2;0;0;0
1846;43;NA;65;93065;2;2.2;3;0;1;0
2074;46;NA;NA;91107;1;0.7;3;0;1;1
1701;43;16;71;90089;3;2.33;2;0;0;0
130;41;NA;70;92131;3;0.5;3;0;0;1
4892;56;31;61;90024;4;0.9;1;1;1;1
4305;64;39;98;95678;3;1.8;2;0;1;0
1497;36;12;18;91330;1;0.5;3;0;0;1
1569;59;33;72;92350;2;0.7;2;0;0;0
910;23;-1;149;91709;1;6.33;1;0;0;1
1686;40;16;89;90011;4;0.8;1;0;1;0
3900;60;34;43;92697;1;1.4;1;0;1;1
1077;40;13;24;94608;3;1;2;0;1;0
62;47;21;125;93407;1;5.7;1;0;0;0
4267;42;16;NA;94015;1;0.2;1;1;0;1
1891;52;27;184;90630;1;8.1;1;0;0;0
4472;56;30;79;94588;3;0.8;1;0;0;0
3347;41;15;65;92037;2;2.8;1;0;1;1
1515;NA;20;175;96150;2;1.4;1;0;1;1
3909;24;0;NA;90638;3;0.1;2;0;0;0
2045;51;25;102;92677;1;0.3;1;0;1;0
432;39;13;75;94305;3;2.1;1;0;1;0
1103;29;3;84;95023;1;2.9;3;0;1;0
3929;57;33;61;92115;3;2.67;1;0;1;0
3868;44;19;61;94080;3;2.7;2;0;0;0
423;46;20;NA;91380;2;6.3;1;0;1;0
1201;36;12;22;92507;4;1;1;0;1;0
4628;27;1;134;93106;1;1.7;2;0;1;0
956;59;35;14;90840;4;0.7;1;0;1;0
2646;36;12;93;95125;2;2.2;1;0;1;0
3817;55;30;NA;94904;3;2;2;0;1;1
2012;46;21;39;92507;4;0;2;0;1;0
2662;66;41;145;90009;1;2.5;1;0;1;0
1593;56;31;192;90089;1;7;3;0;1;0
2542;34;8;171;90212;2;2.2;2;0;1;0
4990;24;0;38;93555;1;1;3;0;1;0
2799;58;33;28;94720;1;0.3;3;0;1;0
708;47;20;25;95064;3;0.67;2;0;1;1
882;44;19;154;92116;2;8.8;1;0;1;0
1342;42;16;55;91355;2;0.7;1;0;0;0
4459;48;22;90;94590;2;0.8;3;0;0;0
3869;NA;16;44;92037;1;0.3;3;0;0;0
1732;43;19;125;92122;3;2.4;1;0;1;0
2339;42;18;130;94611;2;7.5;1;1;0;1
1266;32;2;71;95014;2;1.75;3;0;0;0
67;62;36;105;95670;2;2.8;1;0;0;0
2142;28;4;38;92109;4;1.6;1;0;0;0
3221;61;35;28;93302;2;0.2;3;1;1;0
4286;23;-3;149;93555;2;7.2;1;0;1;0
1704;65;41;40;94542;3;0.1;3;0;1;0
3323;41;16;104;92008;1;4;3;0;1;1
4497;51;25;45;95616;4;2.6;1;0;0;0
2286;48;22;114;92007;1;2.4;3;0;1;0
2504;38;14;20;94024;4;0.4;2;0;1;1
1452;NA;20;82;94555;4;1.4;2;0;1;1
1918;62;32;53;96001;4;1.67;3;0;0;0
3667;60;35;NA;94143;2;2.8;1;0;1;0
3640;51;26;191;94063;1;8.1;1;0;1;0
4579;45;20;90;94143;4;1.1;2;0;1;1
4029;46;20;64;94117;4;2.9;1;0;0;0
4935;NA;0;85;93950;2;1.6;3;0;1;1
1877;62;38;123;90210;1;2.9;1;0;0;0
3248;44;20;113;95032;2;3.3;1;0;1;1
3845;51;27;75;95828;1;2.7;1;0;0;0
4859;50;NA;62;94550;2;0.8;3;0;1;0
3143;34;8;175;95051;4;1.1;3;0;1;1
