"","Edad","Genero","Ingreso","Tiempo_meses","Otros_ingreso","Casado","Hijos","Carro","Cta_Ahorros","Cta_Corriente","Prestamo"
"63","34-56","M","25000-45000",25,391.75,"SI",2,"NO","SI","SI","NO"
"64","Menor 34","M","Menor a 25000",35,323.44,"SI",0,"NO","SI","NO","NO"
"65","Menor 34","M","Menor a 25000",37,377.61,"NO",0,"SI","SI","SI","SI"
"66","34-56","M","Menor a 25000",35,418.94,"SI",0,"NO","SI","SI","NO"
"67","Menor 34","M","Menor a 25000",25,338.01,"NO",2,"NO","SI","SI","NO"
"68","34-56","F","25000-45000",36,381.42,"NO",0,"NO","SI","SI","SI"
"69","Menor 34","M","Menor a 25000",33,421.51,"NO",2,"NO","SI","SI","NO"
"70","Menor 34","F","Menor a 25000",31,407.89,"SI",2,"NO","NO","SI","NO"
"71","Menor 34","M","Menor a 25000",21,392.14,"SI",3,"SI","SI","SI","NO"
"72","Menor 34","M","Menor a 25000",34,380.2,"NO",0,"NO","NO","SI","NO"
"73","34-56","M","25000-45000",31,402.15,"SI",3,"SI","SI","SI","SI"
"74","Mayor de 56","F","Menor a 25000",25,371.97,"SI",2,"NO","SI","NO","SI"
"75","Mayor de 56","F","Mayor a 45000",29,374.96,"NO",2,"SI","SI","SI","NO"
"76","Mayor de 56","F","25000-45000",32,438.98,"NO",2,"SI","NO","NO","NO"
"77","34-56","F","25000-45000",29,419.12,"NO",0,"NO","SI","SI","SI"
"78","Mayor de 56","M","Mayor a 45000",29,362.05,"SI",1,"SI","SI","SI","SI"
"79","Menor 34","F","Menor a 25000",29,321.05,"SI",0,"SI","NO","SI","NO"
"80","Mayor de 56","F","25000-45000",32,415.8,"SI",2,"SI","SI","NO","NO"
"81","34-56","F","Menor a 25000",33,370.68,"NO",3,"NO","SI","SI","NO"
"82","Menor 34","M","25000-45000",36,374.62,"NO",3,"NO","NO","SI","NO"
"83","Menor 34","F","Menor a 25000",24,338.45,"SI",1,"NO","SI","SI","NO"
"84","34-56","M","Menor a 25000",33,385.94,"SI",1,"NO","SI","SI","NO"
"85","Mayor de 56","M","Menor a 25000",24,377.09,"SI",0,"NO","NO","SI","SI"
"86","34-56","M","25000-45000",34,372.21,"SI",1,"SI","SI","SI","NO"
"87","Menor 34","F","Menor a 25000",20,387.3,"SI",0,"NO","SI","SI","NO"
"88","Mayor de 56","F","Menor a 25000",34,402.81,"NO",0,"SI","SI","SI","SI"
"89","Menor 34","M","Menor a 25000",16,351.82,"SI",0,"SI","SI","NO","SI"
"90","Mayor de 56","F","25000-45000",32,413.97,"SI",2,"NO","NO","SI","NO"
"91","34-56","M","25000-45000",38,377.58,"SI",1,"SI","NO","SI","SI"
"92","Menor 34","F","25000-45000",30,379.7,"NO",2,"NO","SI","SI","SI"
"93","Mayor de 56","F","25000-45000",33,395.91,"NO",0,"NO","NO","SI","NO"
"94","Mayor de 56","M","25000-45000",28,369.09,"SI",2,"SI","SI","SI","NO"
"95","Mayor de 56","F","25000-45000",28,332.57,"SI",0,"SI","SI","NO","NO"
"96","Menor 34","F","Menor a 25000",38,391.59,"SI",0,"NO","SI","SI","NO"
"97","Menor 34","M","Menor a 25000",38,378.13,"SI",1,"NO","NO","NO","SI"
"98","Menor 34","M","25000-45000",26,378.07,"SI",2,"SI","SI","SI","SI"
"99","34-56","F","Menor a 25000",31,342,"NO",2,"NO","SI","SI","NO"
"100","Menor 34","F","Menor a 25000",31,406.92,"SI",0,"SI","NO","SI","NO"
"101","Mayor de 56","M","25000-45000",32,355.48,"SI",1,"NO","SI","SI","SI"
"102","Menor 34","F","Menor a 25000",30,373.45,"SI",2,"SI","SI","SI","NO"
"103","34-56","M","Menor a 25000",33,350.92,"SI",0,"SI","NO","SI","SI"
"104","34-56","M","25000-45000",38,385.07,"NO",0,"NO","SI","SI","SI"
"105","Mayor de 56","F","25000-45000",23,342.33,"SI",1,"NO","SI","SI","NO"
"106","34-56","M","25000-45000",37,361.97,"SI",3,"SI","SI","SI","NO"
"107","34-56","M","Mayor a 45000",21,395.63,"SI",0,"SI","SI","NO","NO"
"108","Menor 34","M","Menor a 25000",26,340.74,"SI",0,"NO","NO","SI","NO"
"109","Menor 34","M","Menor a 25000",27,386.43,"NO",0,"NO","SI","SI","NO"
"110","Menor 34","F","Menor a 25000",26,447.26,"SI",2,"SI","SI","SI","SI"
"111","34-56","M","25000-45000",30,381.36,"NO",2,"NO","SI","SI","NO"
"112","Menor 34","M","25000-45000",28,424.23,"SI",3,"SI","NO","NO","SI"
"113","Mayor de 56","F","25000-45000",37,390.1,"SI",0,"SI","NO","SI","NO"
"114","34-56","M","25000-45000",19,404.83,"NO",2,"SI","SI","SI","NO"
"115","Mayor de 56","M","25000-45000",34,337.03,"SI",1,"SI","SI","SI","NO"
"116","Mayor de 56","F","Mayor a 45000",20,315.4,"SI",0,"NO","SI","SI","NO"
"117","Mayor de 56","F","Menor a 25000",30,375.43,"SI",2,"NO","SI","NO","NO"
"118","Menor 34","M","Menor a 25000",30,390.65,"SI",3,"NO","SI","SI","SI"
"119","34-56","M","Menor a 25000",27,389.23,"NO",0,"SI","NO","NO","NO"
"120","Mayor de 56","F","Mayor a 45000",28,380.78,"SI",3,"SI","SI","SI","NO"
"121","34-56","M","25000-45000",25,370.29,"NO",2,"NO","SI","NO","SI"
"122","Mayor de 56","F","Mayor a 45000",28,376.1,"SI",1,"SI","SI","SI","NO"
"123","34-56","F","Menor a 25000",28,348.7,"SI",1,"NO","SI","NO","SI"
"124","34-56","F","25000-45000",28,386.93,"NO",1,"NO","SI","SI","NO"
"125","34-56","M","Mayor a 45000",30,354.08,"NO",3,"SI","SI","NO","NO"
"126","34-56","M","25000-45000",33,355.22,"SI",2,"NO","NO","SI","NO"
"127","34-56","F","25000-45000",28,370.85,"SI",0,"SI","SI","SI","NO"
"128","34-56","F","25000-45000",32,358.55,"SI",0,"NO","SI","SI","NO"
"129","34-56","M","Menor a 25000",24,383.42,"SI",3,"SI","SI","SI","NO"
"130","Menor 34","F","Menor a 25000",28,410.56,"NO",0,"SI","SI","SI","NO"
"131","34-56","M","Menor a 25000",28,339.19,"NO",2,"NO","NO","SI","NO"
"132","Mayor de 56","M","25000-45000",28,371.04,"SI",3,"NO","SI","SI","SI"
"133","Mayor de 56","F","Menor a 25000",40,390.66,"NO",2,"SI","SI","SI","NO"
"134","Mayor de 56","F","25000-45000",28,393.55,"SI",0,"SI","NO","SI","NO"
"135","Mayor de 56","F","Mayor a 45000",29,364.32,"SI",2,"SI","SI","SI","SI"
"136","Mayor de 56","F","25000-45000",32,373.04,"SI",1,"SI","SI","SI","NO"
"137","Menor 34","F","Menor a 25000",40,383.79,"SI",2,"SI","NO","SI","SI"
"138","Mayor de 56","F","25000-45000",28,340.36,"NO",0,"NO","SI","SI","NO"
"139","Mayor de 56","F","25000-45000",32,351.1,"SI",0,"NO","SI","SI","NO"
"140","Mayor de 56","F","Mayor a 45000",31,334.02,"NO",1,"NO","SI","SI","NO"
"141","Mayor de 56","M","25000-45000",32,352.45,"SI",3,"NO","SI","SI","NO"
"142","34-56","F","Menor a 25000",26,370.3,"SI",0,"NO","NO","SI","NO"
"143","Menor 34","F","Menor a 25000",38,387.51,"SI",1,"SI","NO","NO","SI"
"144","Mayor de 56","M","Mayor a 45000",31,355.51,"SI",0,"SI","SI","SI","SI"
"145","Menor 34","M","Menor a 25000",31,394.43,"SI",1,"NO","SI","SI","NO"
"146","Mayor de 56","M","Mayor a 45000",28,361.74,"SI",0,"NO","SI","NO","SI"
"147","Menor 34","M","Menor a 25000",30,373.75,"SI",2,"SI","NO","SI","NO"
"148","Menor 34","F","Menor a 25000",28,381.34,"NO",2,"NO","SI","SI","NO"
"149","Mayor de 56","M","25000-45000",33,379.55,"SI",0,"SI","SI","NO","NO"
"150","Menor 34","F","25000-45000",26,376.99,"SI",3,"SI","SI","SI","NO"
"151","Mayor de 56","M","25000-45000",29,405.58,"SI",1,"SI","SI","SI","NO"
"152","34-56","M","25000-45000",22,390.5,"NO",2,"SI","NO","SI","NO"
"153","Mayor de 56","M","Mayor a 45000",24,363.97,"SI",2,"NO","SI","NO","SI"
"154","Menor 34","M","25000-45000",29,392.47,"SI",1,"NO","SI","SI","SI"
"155","34-56","M","Menor a 25000",24,353.59,"NO",2,"SI","NO","NO","NO"
"156","Menor 34","F","Menor a 25000",32,400.53,"SI",2,"NO","SI","SI","NO"
"157","34-56","M","25000-45000",24,384.38,"SI",0,"SI","SI","SI","NO"
"158","Menor 34","M","Menor a 25000",22,367.33,"SI",2,"SI","SI","SI","NO"
"159","Mayor de 56","F","Menor a 25000",33,394.91,"SI",0,"NO","NO","SI","NO"
"160","34-56","F","Menor a 25000",27,388.71,"SI",1,"NO","SI","SI","NO"
"161","Menor 34","M","Menor a 25000",33,396.42,"SI",2,"SI","SI","SI","NO"
"162","34-56","F","Menor a 25000",29,371.15,"SI",0,"NO","NO","NO","NO"
"163","34-56","F","Menor a 25000",38,398.76,"NO",3,"NO","NO","SI","NO"
"164","Menor 34","F","Menor a 25000",31,430.28,"NO",1,"SI","NO","SI","NO"
"165","34-56","F","25000-45000",35,405.86,"SI",0,"NO","NO","NO","NO"
"166","Menor 34","M","Menor a 25000",30,407.91,"SI",1,"NO","NO","SI","SI"
"167","Menor 34","M","Menor a 25000",33,354.12,"NO",1,"NO","SI","SI","SI"
"168","Menor 34","M","Menor a 25000",33,344.39,"NO",1,"NO","NO","NO","SI"
"169","34-56","F","25000-45000",34,349.85,"NO",0,"SI","SI","SI","NO"
"170","Mayor de 56","M","25000-45000",26,388.39,"SI",0,"NO","NO","SI","NO"
"171","Mayor de 56","M","Mayor a 45000",28,377.29,"SI",0,"SI","SI","SI","NO"
"172","Menor 34","M","Menor a 25000",33,383.95,"SI",2,"NO","NO","SI","NO"
"173","34-56","M","Menor a 25000",30,405.85,"SI",3,"SI","SI","SI","NO"
"174","Menor 34","M","25000-45000",30,387.86,"SI",1,"SI","SI","SI","NO"
"175","Mayor de 56","F","25000-45000",38,383.79,"SI",2,"NO","SI","SI","NO"
"176","Mayor de 56","F","Mayor a 45000",23,443.15,"NO",0,"NO","SI","SI","NO"
"177","34-56","M","25000-45000",34,373.38,"SI",0,"SI","SI","SI","NO"
"178","34-56","F","25000-45000",27,364.7,"SI",0,"SI","SI","SI","SI"
"179","34-56","M","Menor a 25000",28,369.88,"SI",0,"NO","NO","NO","NO"
"180","Mayor de 56","M","25000-45000",32,395.8,"SI",2,"NO","NO","SI","NO"
"181","Menor 34","F","Menor a 25000",36,350.76,"SI",1,"NO","SI","SI","SI"
"182","Mayor de 56","M","Mayor a 45000",31,384.83,"NO",0,"NO","SI","SI","NO"
"183","Mayor de 56","F","25000-45000",28,424.41,"NO",0,"SI","SI","SI","SI"
"184","34-56","F","Menor a 25000",33,367.24,"SI",2,"SI","SI","SI","SI"
"185","34-56","F","25000-45000",29,323.76,"NO",0,"SI","SI","NO","SI"
"186","34-56","M","25000-45000",20,378.86,"SI",1,"SI","SI","SI","SI"
"187","Menor 34","F","Menor a 25000",31,373.81,"SI",0,"NO","NO","NO","SI"
"188","34-56","F","25000-45000",30,404.73,"SI",1,"NO","NO","SI","NO"
"189","34-56","M","25000-45000",37,409.56,"SI",2,"SI","NO","SI","SI"
"190","34-56","F","Menor a 25000",26,371.19,"SI",0,"NO","NO","SI","NO"
"191","Mayor de 56","F","Mayor a 45000",27,386.08,"SI",2,"SI","SI","SI","NO"
"192","34-56","M","Menor a 25000",18,406.5,"SI",1,"SI","SI","NO","NO"
"193","Mayor de 56","F","Mayor a 45000",29,394.98,"SI",3,"NO","SI","SI","NO"
"194","34-56","M","Menor a 25000",17,344.74,"SI",0,"SI","NO","SI","SI"
"195","Mayor de 56","M","25000-45000",22,412.47,"SI",2,"SI","NO","SI","NO"
"196","Mayor de 56","M","Menor a 25000",22,420.19,"SI",1,"NO","SI","NO","SI"
"197","Menor 34","F","Menor a 25000",27,364.36,"NO",0,"NO","NO","SI","SI"
"198","Mayor de 56","M","Mayor a 45000",25,379.03,"SI",2,"SI","SI","SI","NO"
"199","Menor 34","M","Menor a 25000",31,360.64,"NO",2,"NO","NO","SI","SI"
"200","Menor 34","F","Menor a 25000",24,384.14,"SI",0,"NO","SI","SI","NO"
"201","34-56","M","25000-45000",28,359.1,"SI",1,"SI","SI","SI","NO"
"202","34-56","F","25000-45000",29,399.81,"SI",0,"NO","SI","SI","SI"
"203","Mayor de 56","M","Menor a 25000",32,380.43,"SI",0,"NO","NO","SI","NO"
"204","34-56","M","Menor a 25000",26,384.84,"NO",3,"SI","NO","SI","NO"
"205","Menor 34","M","Menor a 25000",33,359.58,"SI",1,"NO","SI","SI","SI"
"206","Menor 34","M","Menor a 25000",34,391.71,"NO",0,"SI","NO","SI","SI"
"207","Mayor de 56","M","Mayor a 45000",32,326.65,"NO",0,"SI","SI","SI","NO"
"208","Menor 34","F","Menor a 25000",31,393.01,"SI",0,"NO","SI","SI","SI"
"209","Mayor de 56","M","25000-45000",32,359.26,"SI",0,"SI","SI","SI","NO"
"210","Menor 34","M","Menor a 25000",28,390.39,"NO",0,"NO","SI","NO","NO"
"211","Mayor de 56","M","25000-45000",34,440.62,"NO",0,"SI","NO","NO","NO"
"212","Mayor de 56","M","25000-45000",30,381.5,"SI",1,"SI","SI","SI","NO"
"213","Menor 34","M","Menor a 25000",14,418.71,"SI",0,"SI","SI","SI","NO"
"214","Menor 34","M","Menor a 25000",26,374.09,"NO",1,"NO","NO","SI","NO"
"215","Menor 34","M","Menor a 25000",35,352.36,"SI",0,"NO","SI","SI","NO"
"216","Menor 34","M","Menor a 25000",25,363.46,"SI",0,"NO","SI","SI","NO"
"217","Menor 34","F","Menor a 25000",25,374.08,"SI",0,"SI","NO","SI","NO"
"218","34-56","F","25000-45000",33,389.74,"SI",3,"SI","SI","SI","SI"
"219","34-56","M","25000-45000",30,386.51,"NO",0,"SI","SI","NO","NO"
"220","34-56","F","25000-45000",33,402.15,"SI",0,"SI","SI","SI","NO"
"221","34-56","F","25000-45000",26,351.49,"NO",2,"SI","NO","NO","NO"
"222","34-56","M","25000-45000",31,377.19,"SI",2,"NO","SI","SI","NO"
"223","34-56","F","25000-45000",33,405.19,"SI",1,"NO","SI","SI","NO"
"224","Mayor de 56","F","25000-45000",17,379.32,"SI",0,"NO","SI","SI","SI"
"225","Mayor de 56","M","Mayor a 45000",22,404.87,"SI",3,"NO","SI","SI","NO"
"226","34-56","F","25000-45000",33,364.36,"NO",0,"SI","SI","SI","NO"
"227","Mayor de 56","M","Mayor a 45000",25,327.61,"SI",2,"SI","SI","SI","NO"
"228","Mayor de 56","M","25000-45000",36,399.27,"NO",0,"NO","SI","SI","NO"
"229","34-56","M","25000-45000",25,387.58,"NO",0,"SI","NO","SI","SI"
"230","Menor 34","M","Menor a 25000",25,392.42,"NO",0,"SI","NO","NO","NO"
"231","Mayor de 56","F","25000-45000",35,368.32,"SI",0,"SI","NO","SI","SI"
"232","Menor 34","M","25000-45000",30,383.93,"NO",1,"NO","NO","SI","SI"
"233","Menor 34","M","Menor a 25000",32,422.26,"SI",0,"NO","NO","SI","SI"
"234","Menor 34","F","25000-45000",39,372.12,"SI",0,"SI","SI","SI","NO"
"235","Mayor de 56","F","25000-45000",33,422.01,"NO",3,"NO","SI","NO","NO"
"236","34-56","F","Menor a 25000",36,365.8,"NO",1,"NO","SI","SI","SI"
"237","Mayor de 56","M","Mayor a 45000",18,403.61,"NO",2,"SI","SI","SI","NO"
"238","Menor 34","F","Menor a 25000",28,413.72,"SI",2,"NO","SI","SI","SI"
"239","Menor 34","F","Menor a 25000",28,341.37,"SI",2,"NO","SI","NO","NO"
"240","Menor 34","M","Menor a 25000",30,367.15,"SI",0,"SI","SI","SI","NO"
"241","Menor 34","F","Menor a 25000",33,367.73,"SI",2,"SI","NO","NO","NO"
"242","Mayor de 56","F","Mayor a 45000",27,353.51,"NO",0,"SI","SI","SI","NO"
"243","Mayor de 56","M","25000-45000",24,372.47,"SI",1,"SI","SI","SI","NO"
"244","Menor 34","F","Menor a 25000",32,336.22,"SI",0,"SI","SI","SI","NO"
"245","34-56","M","25000-45000",33,395.38,"SI",2,"SI","SI","NO","NO"
"246","34-56","M","25000-45000",25,405.05,"NO",0,"SI","SI","SI","SI"
"247","Menor 34","F","Menor a 25000",33,414.28,"NO",3,"SI","NO","NO","NO"
"248","Menor 34","M","Menor a 25000",23,349.02,"SI",0,"NO","NO","SI","NO"
"249","34-56","M","Menor a 25000",29,412.38,"SI",3,"NO","SI","SI","NO"
"250","34-56","M","Menor a 25000",23,343.53,"SI",3,"SI","NO","SI","NO"
"251","Mayor de 56","M","Mayor a 45000",27,372.35,"NO",0,"NO","SI","SI","SI"
"252","34-56","F","25000-45000",28,342.25,"SI",1,"SI","SI","SI","SI"
"253","Menor 34","M","Menor a 25000",43,380.24,"SI",2,"NO","NO","SI","SI"
"254","34-56","F","Menor a 25000",30,362.56,"SI",1,"NO","NO","NO","NO"
"255","Menor 34","F","Menor a 25000",32,396.34,"NO",3,"NO","SI","SI","SI"
"256","Mayor de 56","F","Menor a 25000",27,422.32,"NO",0,"SI","NO","SI","NO"
"257","34-56","F","25000-45000",33,345.9,"NO",2,"NO","SI","SI","NO"
"258","Menor 34","F","Menor a 25000",27,356.78,"SI",2,"NO","NO","SI","SI"
"259","34-56","F","Menor a 25000",22,386.55,"NO",3,"NO","NO","SI","SI"
"260","34-56","M","Menor a 25000",31,365.03,"NO",0,"NO","NO","NO","NO"
"261","Menor 34","M","Menor a 25000",22,398.58,"SI",0,"NO","SI","SI","NO"
"262","34-56","F","25000-45000",38,354.12,"SI",1,"NO","SI","SI","SI"
"263","34-56","F","Menor a 25000",28,393.62,"SI",0,"NO","NO","SI","NO"
"264","Mayor de 56","F","Mayor a 45000",30,383.45,"SI",0,"SI","SI","SI","SI"
"265","Menor 34","M","Menor a 25000",25,355.13,"NO",0,"SI","SI","NO","NO"
"266","Menor 34","M","Menor a 25000",22,366.23,"SI",1,"SI","NO","NO","NO"
"267","Mayor de 56","M","25000-45000",26,372.58,"NO",0,"SI","SI","SI","NO"
"268","34-56","F","25000-45000",42,357.02,"NO",0,"NO","SI","SI","NO"
"269","Mayor de 56","F","25000-45000",33,379.15,"SI",0,"SI","NO","SI","NO"
"270","Menor 34","M","Menor a 25000",27,362.32,"NO",3,"SI","NO","SI","SI"
"271","Mayor de 56","F","Mayor a 45000",27,356.65,"NO",2,"NO","SI","SI","SI"
"272","Mayor de 56","F","Mayor a 45000",30,387.43,"NO",0,"SI","SI","SI","NO"
"273","34-56","M","Menor a 25000",35,382.96,"SI",0,"NO","SI","SI","NO"
"274","Menor 34","M","25000-45000",38,379.47,"SI",1,"SI","NO","SI","NO"
"275","34-56","F","25000-45000",37,376.75,"SI",0,"SI","SI","SI","NO"
"276","Menor 34","M","Menor a 25000",28,394.64,"SI",0,"SI","NO","SI","SI"
"277","34-56","F","25000-45000",31,375.93,"NO",1,"NO","SI","SI","SI"
"278","Menor 34","M","Menor a 25000",26,367.83,"SI",1,"SI","SI","SI","NO"
"279","Mayor de 56","F","25000-45000",38,363.96,"NO",0,"NO","SI","NO","SI"
"280","34-56","M","25000-45000",42,362.62,"SI",1,"NO","NO","SI","SI"
"281","Menor 34","M","Menor a 25000",33,387.35,"SI",1,"NO","NO","NO","NO"
"282","Menor 34","F","Menor a 25000",37,389.49,"SI",0,"NO","SI","SI","NO"
"283","Mayor de 56","M","Mayor a 45000",40,364.89,"SI",1,"SI","SI","NO","NO"
"284","34-56","F","25000-45000",35,361.59,"SI",3,"NO","SI","SI","SI"
"285","Menor 34","F","Menor a 25000",24,371.41,"SI",3,"NO","SI","SI","NO"
"286","Menor 34","M","Menor a 25000",33,414.03,"SI",0,"NO","NO","NO","NO"
"287","34-56","M","25000-45000",18,431.52,"SI",1,"SI","SI","SI","SI"
"288","Mayor de 56","F","25000-45000",34,376.89,"SI",3,"NO","NO","SI","NO"
"289","Menor 34","M","Menor a 25000",41,350.47,"SI",1,"NO","SI","NO","NO"
"290","Mayor de 56","F","25000-45000",33,347.62,"SI",1,"SI","SI","SI","NO"
"291","Menor 34","M","Menor a 25000",26,338.85,"NO",0,"NO","SI","SI","NO"
"292","34-56","F","25000-45000",26,380.54,"NO",0,"SI","SI","NO","NO"
"293","Mayor de 56","M","Mayor a 45000",28,396.08,"SI",2,"SI","SI","SI","SI"
"294","Menor 34","F","Menor a 25000",31,341.36,"SI",0,"NO","SI","SI","NO"
"295","34-56","M","Menor a 25000",38,336.27,"SI",0,"NO","SI","NO","SI"
"296","Menor 34","M","25000-45000",32,402.1,"SI",0,"SI","SI","SI","SI"
"297","Mayor de 56","F","25000-45000",29,364.03,"NO",2,"SI","SI","SI","SI"
"298","Menor 34","M","Menor a 25000",22,376.77,"SI",2,"NO","NO","NO","NO"
"299","34-56","F","Menor a 25000",28,366.06,"NO",2,"SI","NO","SI","NO"
"300","Menor 34","F","Menor a 25000",26,333.48,"SI",0,"NO","SI","SI","NO"
"301","Menor 34","F","Menor a 25000",23,350.1,"SI",1,"SI","SI","SI","SI"
"302","34-56","F","Menor a 25000",23,350.61,"SI",0,"NO","SI","NO","NO"
"303","34-56","F","25000-45000",32,362.76,"SI",0,"NO","SI","NO","NO"
"304","34-56","M","25000-45000",38,361.33,"SI",3,"NO","SI","SI","SI"
"305","Mayor de 56","F","Mayor a 45000",22,373.14,"NO",3,"NO","SI","SI","NO"
"306","34-56","F","Menor a 25000",28,380.24,"SI",0,"NO","NO","SI","NO"
"307","Mayor de 56","M","Mayor a 45000",29,335.12,"NO",2,"SI","SI","SI","NO"
"308","34-56","M","25000-45000",28,365.8,"NO",0,"SI","SI","SI","NO"
"309","34-56","M","25000-45000",34,353.98,"NO",2,"SI","SI","SI","NO"
"310","Menor 34","F","Menor a 25000",35,399.55,"NO",1,"NO","SI","SI","NO"
"311","34-56","M","25000-45000",28,382.22,"SI",0,"NO","SI","SI","NO"
"312","Mayor de 56","M","25000-45000",29,403,"NO",1,"NO","SI","SI","NO"
"313","Mayor de 56","F","25000-45000",34,368.16,"NO",2,"SI","NO","SI","NO"
