permanencia;edad;direccion;ingresos;educacion;empleo;equipo;internacional;otro_servicio;internet;churn
72;75;48;14;2;6;0;1;0;0;0
67;40;14;59;3;11;0;1;0;0;0
10;40;6;22;3;6;0;0;0;1;1
30;28;1;20;1;8;0;0;0;0;1
24;46;12;43;2;6;0;1;1;0;0
72;75;37;33;1;44;0;1;0;0;0
26;43;23;51;5;4;1;0;0;1;1
36;45;22;117;3;15;0;0;0;0;0
16;54;20;147;1;29;0;1;0;0;0
54;42;0;55;4;2;1;1;1;1;1
72;62;35;163;5;31;1;1;1;1;0
19;32;12;71;4;5;1;1;1;1;1
18;25;4;26;2;7;0;1;0;0;0
45;34;14;43;4;0;1;0;0;1;1
17;41;9;28;4;3;0;1;0;0;0
8;42;2;129;4;17;0;0;0;1;0
66;62;31;47;2;4;0;1;0;0;0
60;57;18;72;5;30;1;1;1;1;0
63;37;1;45;4;9;1;1;0;1;0
45;27;3;39;3;2;0;0;0;0;0
68;42;16;89;4;12;1;1;0;1;0
6;29;4;19;2;5;0;0;0;0;0
70;35;4;48;2;9;0;1;0;0;0
24;25;3;28;4;0;1;1;1;1;0
19;35;7;58;3;5;1;1;1;1;1
5;43;16;72;3;17;0;1;0;0;0
14;40;13;398;5;11;1;1;1;1;1
17;39;12;45;4;10;1;0;0;0;1
59;32;9;73;4;5;0;1;0;0;1
60;53;22;171;1;37;0;1;0;0;0
53;37;7;25;1;2;0;1;0;0;0
14;26;1;25;2;0;0;0;0;0;0
17;19;0;18;2;0;1;0;0;1;1
69;42;23;19;3;0;1;1;0;1;0
10;20;1;20;2;0;0;0;0;0;1
21;43;13;41;2;1;1;1;1;1;1
64;37;10;44;4;9;1;1;0;0;0
60;56;19;51;4;11;1;1;1;1;0
58;37;5;64;4;8;1;1;1;1;1
72;61;34;61;1;8;0;1;0;0;0
18;34;4;42;2;14;0;1;0;0;0
70;36;8;50;1;15;0;1;0;0;0
7;38;4;70;4;4;1;1;1;1;1
71;53;29;48;4;0;0;1;0;0;0
31;46;23;144;4;13;0;1;0;1;0
16;49;17;41;2;5;1;0;1;1;0
59;26;3;41;4;1;1;1;1;1;1
9;40;13;38;4;7;1;1;1;1;1
12;55;13;36;1;5;1;0;0;1;1
3;32;4;58;2;11;1;1;1;0;1
52;39;6;119;3;18;0;1;0;0;0
18;69;28;11;1;17;0;0;0;0;0
43;29;4;33;1;13;0;1;1;0;0
37;33;4;41;3;8;1;0;0;0;1
51;46;8;107;2;21;0;1;1;0;0
56;53;23;100;5;14;1;1;0;1;0
72;55;24;82;3;25;1;1;0;0;0
32;44;10;201;2;24;0;1;0;0;0
51;49;29;45;1;16;0;1;0;0;0
26;55;13;61;1;26;0;1;0;0;0
34;40;21;23;4;9;1;1;1;1;0
20;25;4;33;4;0;0;1;1;1;0
58;36;13;39;2;8;0;1;1;1;1
25;38;19;56;1;19;1;1;1;0;0
66;50;2;333;5;24;0;1;0;1;0
71;48;25;288;3;19;0;1;0;0;0
6;20;0;25;2;0;0;1;0;0;0
26;30;4;76;3;7;1;0;0;0;0
61;52;21;82;1;18;0;1;0;0;0
57;60;20;14;2;27;0;1;0;0;0
55;44;24;83;1;23;0;1;0;0;0
34;23;3;24;1;7;0;1;0;0;0
6;32;10;47;1;10;0;1;0;0;0
24;30;0;25;4;5;0;1;1;1;1
61;50;16;190;2;22;1;1;1;1;0
