Nro_Veces_cob;Nro_Cuotas;Mes_pres;MES_0_Atraso;MES_1_Atraso;MES_2_Atraso;Llamada_fecha;Hora;Llamada_Resultado;Deuda_total;Activación;Mora
<=10;>48;Febrero;1518.39;0;0;5/02/2014;19;MCF  Msj Con Familiar;22994.3;2013;1
>10;>48;Febrero;715.94;0;357.28;13/02/2014;15;TAT  Tratamiento al Titu;5443.86;2011;1
<=10;<24, 48];Febrero;746.32;0;0;3/02/2014;18;TELF. NO CORRESPONDE;16525.5;2013;0
<=10;<24, 48];Febrero;1569.31;0;0;11/02/2014;12;MCF  Msj Con Familiar;18654.2;2012;1
<=10;<24, 48];Febrero;502.29;0;503.93;19/02/2014;8;PDP  Promesa De Pago;13167.5;2013;0
>10;<24, 48];Febrero;123.64;651.18;1095.72;11/02/2014;12;PDP  Promesa De Pago;19009.7;2011;0
>10;>48;Febrero;1642.75;0;0;6/02/2014;17;MCS  Msj Con Secretaria;12496;2012;1
<=10;<24, 48];Febrero;253.19;253;254.08;26/02/2014;16;TELF. NO CORRESPONDE;2739.17;2012;0
>10;>48;Febrero;457.07;922.7;1393.47;7/02/2014;14;TELF. NO CORRESPONDE;10292.9;2012;0
>10;<24, 48];Febrero;108.91;0;0;11/02/2014;7;PDP  Promesa De Pago;1577.7;2012;0
<=10;<24, 48];Febrero;348.65;348.65;0;27/02/2014;8;TAT  Tratamiento al Titu;4922.87;2011;0
<=10;<24, 48];Febrero;230.48;228.77;232.68;6/02/2014;20;TAT  Tratamiento al Titu;3037.76;2012;0
>10;<24, 48];Febrero;321.87;198.05;228.74;5/02/2014;12;MCF  Msj Con Familiar;8117.28;2011;0
<=10;>48;Febrero;859.02;1725.94;0;7/02/2014;9;TAT  Tratamiento al Titu;24734.5;2013;0
>10;>48;Febrero;120.89;120.97;121;12/02/2014;9;TELF. NO CORRESPONDE;1486.35;2011;0
>10;<24, 48];Febrero;266.61;0;0;6/02/2014;12;MCO  Msj Con Conyuge;1034.77;2011;0
>10;<24, 48];Febrero;426.16;425.53;0;14/02/2014;11;PAR  Promesa Parcial;2810.4;2011;0
<=10;<24, 48];Febrero;1898.43;0;0;5/02/2014;16;MCO  Msj Con Conyuge;12572.7;2011;1
>10;<24, 48];Febrero;366.64;366.16;362.61;4/02/2014;7;TAT  Tratamiento al Titu;1042.37;2011;0
<=10;>48;Febrero;461.3;460.51;0;13/02/2014;9;TELF. NO CORRESPONDE;7044.12;2011;0
<=10;>48;Febrero;1839.93;1899.59;0;5/02/2014;18;MCF  Msj Con Familiar;62973.1;2013;0
>10;>48;Febrero;455.28;0;0;14/02/2014;12;PAR  Promesa Parcial;9310.3;2012;0
<=10;<24, 48];Febrero;2540.53;0;0;7/02/2014;14;TELF. NO CORRESPONDE;47253.7;2011;0
>10;>48;Febrero;1494.37;1424.89;0;4/02/2014;17;TAT  Tratamiento al Titu;51194.3;2011;0
<=10;<24, 48];Febrero;2447.99;0;137.21;4/02/2014;9;PDP  Promesa De Pago;73059.9;2013;0
<=10;<24, 48];Febrero;165.8;0;0;25/02/2014;10;MCT  Msj Con Terceros;14537.4;2013;0
<=10;>48;Febrero;2664.09;0;0;28/02/2014;20;MCT  Msj Con Terceros;49529.6;2013;1
>10;>48;Febrero;138.89;108.32;355.44;3/02/2014;15;MCT  Msj Con Terceros;3990.31;2011;0
<=10;<24, 48];Febrero;184.62;0;174;6/02/2014;8;MCF  Msj Con Familiar;5361.23;2013;0
<=10;<24, 48];Febrero;877.75;0.52;0;4/02/2014;14;PDP  Promesa De Pago;25731.5;2013;0
<=10;<24, 48];Febrero;2479.12;0;0;20/02/2014;17;MCT  Msj Con Terceros;24952.8;2012;1
<=10;<24, 48];Febrero;438.61;0;0;4/02/2014;7;PDP  Promesa De Pago;10213;2012;0
<=10;>48;Febrero;1227.91;0;0;3/02/2014;8;MCT  Msj Con Terceros;45741;2013;0
<=10;>48;Febrero;317.91;0;358.43;25/02/2014;8;TELF. NO CORRESPONDE;6662.66;2012;0
<=10;<=24;Febrero;315.33;633.91;956.46;11/02/2014;9;MCT  Msj Con Terceros;3196.97;2013;0
<=10;>48;Febrero;1219.04;0;0;27/02/2014;7;TAT  Tratamiento al Titu;4069.57;2010;1
>10;>48;Febrero;42.17;304.87;50.9;11/02/2014;15;MCT  Msj Con Terceros;5109.12;2011;0
<=10;<24, 48];Febrero;990.14;0;0;12/02/2014;14;MCT  Msj Con Terceros;28213.8;2013;0
<=10;<24, 48];Febrero;301.82;82.91;303.95;14/02/2014;14;TELF. NO CORRESPONDE;4285.29;2012;0
>10;<24, 48];Febrero;804.7;939.91;108.24;13/02/2014;16;PDP  Promesa De Pago;22292;2012;0
<=10;<24, 48];Febrero;636.92;638.95;1281.45;10/02/2014;7;PAR  Promesa Parcial;16359.7;2012;0
<=10;<=24;Febrero;630.6;636.63;0;20/02/2014;18;MCF  Msj Con Familiar;629.93;2013;1
>10;<24, 48];Febrero;775.63;772.88;1163.29;18/02/2014;19;MCF  Msj Con Familiar;4533.27;2011;1
>10;>48;Febrero;435.02;434.94;0;18/02/2014;12;MCF  Msj Con Familiar;7286.48;2011;0
<=10;<24, 48];Febrero;1409.41;0;0;21/02/2014;17;MCT  Msj Con Terceros;12255.2;2013;1
>10;<24, 48];Febrero;845.4;845.57;842.01;12/02/2014;16;PDP  Promesa De Pago;11482.9;2011;0
<=10;<24, 48];Febrero;38.64;0;0;5/02/2014;7;PDP  Promesa De Pago;4879.99;2013;0
<=10;<24, 48];Febrero;183.05;0;1443.78;7/02/2014;12;PDP  Promesa De Pago;45493.5;2013;0
<=10;<=24;Febrero;1647.43;605.73;1218.41;12/02/2014;10;PAR  Promesa Parcial;10177.2;2013;1
<=10;>48;Febrero;3133.46;0;0;28/02/2014;18;MCF  Msj Con Familiar;32661.3;2013;1
<=10;<24, 48];Febrero;205.89;0;0;7/02/2014;9;MCO  Msj Con Conyuge;10143.5;2012;0
<=10;<24, 48];Febrero;777.96;777.4;0;19/02/2014;7;PDP  Promesa De Pago;23721.2;2013;0
<=10;>48;Febrero;168.29;0;0;5/02/2014;14;CAN  Cliente Cancelo;22581.8;2013;0
<=10;<24, 48];Febrero;683.01;0;0;18/02/2014;12;PDP  Promesa De Pago;16507.1;2013;0
>10;<24, 48];Febrero;116.91;0;130.98;3/02/2014;15;PDP  Promesa De Pago;1637.96;2012;0
<=10;<=24;Febrero;506.22;0;0;3/02/2014;12;PDP  Promesa De Pago;4218.25;2013;0
<=10;<24, 48];Febrero;248.47;329.63;164.38;27/02/2014;16;MCO  Msj Con Conyuge;2891.52;2012;1
<=10;>48;Febrero;310.15;506.6;0;11/02/2014;7;MCO  Msj Con Conyuge;10440.7;2012;0
>10;>48;Febrero;553.72;316.99;109.39;11/02/2014;7;PDP  Promesa De Pago;18274.9;2011;0
<=10;<24, 48];Febrero;2587.07;0;0;5/02/2014;13;MCT  Msj Con Terceros;12707.2;2011;1
<=10;<24, 48];Febrero;356.02;356.02;0;18/02/2014;11;TAT  Tratamiento al Titu;9343.63;2013;0
>10;>48;Febrero;291.87;786.27;592.5;5/02/2014;17;TAT sin contacto con Titular;17007.6;2012;0
<=10;<=24;Febrero;92.65;188.08;377.94;12/02/2014;9;PDP  Promesa De Pago;2689.35;2013;0
>10;<24, 48];Febrero;261.01;257.8;0;3/02/2014;14;MCF  Msj Con Familiar;1191.74;2011;0
>10;<24, 48];Febrero;197.49;2.12;186.62;17/02/2014;13;PDP  Promesa De Pago;4601.97;2012;0
>10;<24, 48];Febrero;397.36;0;0;6/02/2014;14;TELF. NO CORRESPONDE;8023.8;2012;0
<=10;>48;Febrero;196.64;0;313.34;3/02/2014;15;PDP  Promesa De Pago;8184.78;2013;0
<=10;<=24;Febrero;735.42;740.86;0;21/02/2014;19;TELF. NO CORRESPONDE;734.65;2013;1
<=10;<24, 48];Febrero;566.45;0;0;7/02/2014;9;TAT  Tratamiento al Titu;14458.9;2012;0
<=10;>48;Febrero;407.92;0;0;25/02/2014;10;MCT  Msj Con Terceros;9920.25;2013;1
>10;<24, 48];Febrero;276.88;0;0;3/02/2014;13;PDP  Promesa De Pago;5718.96;2011;0
<=10;>48;Febrero;983.64;0;0;19/02/2014;18;PDP  Promesa De Pago;44066.8;2012;0
<=10;<24, 48];Febrero;1297.78;0;0;6/02/2014;11;TELF. NO CORRESPONDE;9145.02;2013;1
<=10;>48;Febrero;321.57;321.69;221.48;6/02/2014;14;TAT  Tratamiento al Titu;7562.75;2012;0
<=10;<24, 48];Febrero;735.15;0;0;20/02/2014;8;MCO  Msj Con Conyuge;4815.32;2013;1
>10;<24, 48];Febrero;300.04;300.59;300.83;5/02/2014;9;PDP  Promesa De Pago;5388.72;2011;0
<=10;>48;Febrero;502.72;0;0;4/02/2014;12;MCT  Msj Con Terceros;12574.9;2013;0
<=10;>48;Febrero;350.2;288.88;351.34;7/02/2014;15;TAT  Tratamiento al Titu;7176.16;2012;0
<=10;<24, 48];Febrero;650.47;619.57;617.13;24/02/2014;16;TAT  Tratamiento al Titu;8684.43;2011;1
<=10;<24, 48];Febrero;189.77;0.31;190.31;14/02/2014;11;MCT  Msj Con Terceros;3753.99;2012;0
>10;<24, 48];Febrero;854.36;1432.02;0;7/02/2014;8;MCT  Msj Con Terceros;10231.9;2012;1
<=10;<24, 48];Febrero;627.06;1321.46;0;14/02/2014;12;PAR  Promesa Parcial;20149;2012;1
<=10;<=24;Febrero;567.83;576.25;577.34;14/02/2014;16;MCF  Msj Con Familiar;5409.32;2012;0
<=10;<24, 48];Febrero;3935.02;3938.06;5260.39;5/02/2014;14;RPP  Recordar Promesa;35720.3;2013;1
<=10;<24, 48];Febrero;281.04;0;87.58;13/02/2014;8;MCT  Msj Con Terceros;3956.03;2012;0
>10;<24, 48];Febrero;612.29;1978.9;2263.14;10/02/2014;11;TELF. NO CORRESPONDE;33222.4;2011;0
>10;<24, 48];Febrero;670.62;1157.7;0;17/02/2014;7;PDP  Promesa De Pago;28372.4;2012;0
<=10;<24, 48];Febrero;866.99;0;0;20/02/2014;11;MCT  Msj Con Terceros;8899.63;2012;1
<=10;<24, 48];Febrero;333.5;332.57;3.83;7/02/2014;18;IPT  Inbound PDP Total;6310.46;2013;0
<=10;<24, 48];Febrero;1999.51;0;0;12/02/2014;13;MCO  Msj Con Conyuge;67685.3;2012;0
<=10;<=24;Febrero;555.38;261.51;0;5/02/2014;17;MCT  Msj Con Terceros;555.67;2013;1
<=10;<=24;Febrero;300.92;453.54;608.15;12/02/2014;15;MCT  Msj Con Terceros;1350.95;2012;1
>10;<24, 48];Febrero;289.39;289.93;289.13;5/02/2014;15;PDP  Promesa De Pago;5435.37;2012;0
<=10;>48;Febrero;669.64;0;0;24/02/2014;8;MCT  Msj Con Terceros;71472.4;2012;0
<=10;>48;Febrero;795.82;0;0;4/02/2014;14;MCE  Msj Con Empleada;69867.7;2012;0
<=10;<24, 48];Febrero;151.96;0;0;3/02/2014;11;PDP  Promesa De Pago;1951.22;2012;0
<=10;<24, 48];Febrero;101.02;87.23;0;3/02/2014;15;MCF  Msj Con Familiar;3581.74;2013;0
>10;<24, 48];Febrero;219;153.74;153.53;7/02/2014;15;MCO  Msj Con Conyuge;3381.32;2012;0
<=10;<=24;Febrero;253.35;0;0;6/02/2014;13;IPT  Inbound PDP Total;5015.85;2013;0
>10;<24, 48];Febrero;158.2;239.91;0;25/02/2014;9;PDP  Promesa De Pago;2652.41;2012;0
<=10;<24, 48];Febrero;2377.84;0;0;10/02/2014;13;RPP  Recordar Promesa;21615.2;2013;1
>10;<24, 48];Febrero;155.08;156.69;155.67;7/02/2014;11;PAR  Promesa Parcial;1338.89;2011;0
<=10;<=24;Febrero;266.45;266.46;266.55;19/02/2014;11;MCT  Msj Con Terceros;1268.52;2011;0
<=10;<24, 48];Febrero;1197.02;1701.98;0;25/02/2014;19;IPP  Inbound Promesa Par;14819.4;2013;1
<=10;<24, 48];Febrero;1271.19;0;0;24/02/2014;7;PDP  Promesa De Pago;10575.4;2013;1
<=10;<24, 48];Febrero;945.73;960.47;962.83;3/02/2014;7;MCF  Msj Con Familiar;19866.1;2013;0
<=10;<24, 48];Febrero;838.92;0;0;7/02/2014;11;TELF. NO CORRESPONDE;8572.74;2012;1
<=10;<24, 48];Febrero;702.11;911.18;0;5/02/2014;7;PAR  Promesa Parcial;28357.1;2013;0
>10;<24, 48];Febrero;2531.77;0;0;4/02/2014;10;MCT  Msj Con Terceros;17017.9;2012;1
<=10;<24, 48];Febrero;301.29;0;0;20/02/2014;8;TELF. NO CORRESPONDE;13216.3;2013;0
>10;<24, 48];Febrero;575.88;568.07;1171.46;19/02/2014;13;MCF  Msj Con Familiar;4472.66;2011;0
<=10;<24, 48];Febrero;571.22;561.78;562.02;7/02/2014;11;MCF  Msj Con Familiar;10527.3;2013;0
>10;>48;Febrero;513.39;508.4;0;4/02/2014;14;TELF. NO CORRESPONDE;7013.97;2011;0
>10;<24, 48];Febrero;136.18;204.33;0;20/02/2014;17;MCT  Msj Con Terceros;4683.74;2012;0
<=10;>48;Febrero;242.7;0;145.22;11/02/2014;15;PDP  Promesa De Pago;14710.2;2011;0
>10;>48;Febrero;1951.03;0;0;21/02/2014;8;TAT  Tratamiento al Titu;45789.5;2011;0
>10;<24, 48];Febrero;434.15;24.35;232.7;18/02/2014;8;PDP  Promesa De Pago;9815.12;2011;0
>10;<24, 48];Febrero;244.7;173.22;176.96;28/02/2014;9;PDP  Promesa De Pago;6770.65;2011;0
>10;>48;Febrero;436.78;437.38;875.81;6/02/2014;13;PDP  Promesa De Pago;5602.74;2011;0
<=10;<24, 48];Febrero;354.08;0;545.96;10/02/2014;18;CAN  Cliente Cancelo;13628.6;2013;0
<=10;<24, 48];Febrero;365.86;0;0;13/02/2014;9;MCF  Msj Con Familiar;18745.5;2012;0
<=10;<24, 48];Febrero;805.33;808.08;0;13/02/2014;13;MCT  Msj Con Terceros;21670.3;2012;0
<=10;>48;Febrero;261.17;59.48;188.93;4/02/2014;9;TELF. NO CORRESPONDE;8151.22;2013;0
>10;<24, 48];Febrero;217.64;0;319.05;3/02/2014;12;PDP  Promesa De Pago;1265.01;2010;0
>10;<24, 48];Febrero;1921.96;0.83;0;3/02/2014;8;PDP  Promesa De Pago;49776.3;2012;0
>10;>48;Febrero;2275.98;0;0;3/02/2014;10;TELF. NO CORRESPONDE;24549.5;2012;1
>10;<24, 48];Febrero;303.93;547.9;0;7/02/2014;8;MCT  Msj Con Terceros;13721.6;2011;0
<=10;>48;Febrero;2039.22;0;0;6/02/2014;10;MCE  Msj Con Empleada;33717.1;2010;0
>10;<24, 48];Febrero;303.2;607.81;306.94;28/02/2014;11;MCO  Msj Con Conyuge;1494.54;2011;0
>10;>48;Febrero;806.11;0;0;3/02/2014;16;MCF  Msj Con Familiar;16219.5;2011;0
>10;<24, 48];Febrero;1691.43;848.46;1693.96;21/02/2014;12;MCT  Msj Con Terceros;41868.7;2012;0
<=10;>48;Febrero;36.62;1.52;830.37;3/02/2014;8;MCO  Msj Con Conyuge;24563.8;2013;0
>10;<24, 48];Febrero;269.77;0;0;3/02/2014;13;PDP  Promesa De Pago;2368.32;2011;0
>10;<24, 48];Febrero;107.6;0;0;3/02/2014;11;PDP  Promesa De Pago;1053.34;2011;0
<=10;<24, 48];Febrero;206.47;207.4;208.85;20/02/2014;11;MCT  Msj Con Terceros;16959.1;2013;0
>10;>48;Febrero;178.62;179.19;13.67;24/02/2014;10;PDP  Promesa De Pago;4384.85;2012;0
>10;<24, 48];Febrero;1415.2;1418.21;0;19/02/2014;13;PDP  Promesa De Pago;31804;2012;0
<=10;>48;Febrero;776.12;0;0;3/02/2014;12;PDP  Promesa De Pago;30087.9;2013;0
<=10;<24, 48];Febrero;61.64;0;0;5/02/2014;15;TAT  Tratamiento al Titu;10845.2;2012;0
>10;<24, 48];Febrero;481.51;479.84;965.2;7/02/2014;7;PDP  Promesa De Pago;3756.57;2011;0
<=10;>48;Febrero;1480.06;1491.15;1509.31;14/02/2014;12;MCT  Msj Con Terceros;46894.9;2012;0
<=10;<24, 48];Febrero;402.03;804.17;404.82;26/02/2014;19;MCO  Msj Con Conyuge;3298.32;2011;1
<=10;<24, 48];Febrero;99.42;48.54;0;7/02/2014;7;RPP  Recordar Promesa;5365.6;2013;0
<=10;<24, 48];Febrero;178.24;0;0;3/02/2014;14;TELF. NO CORRESPONDE;4847.26;2013;0
>10;<24, 48];Febrero;419.79;418.11;415.89;17/02/2014;12;MCT  Msj Con Terceros;2823.36;2011;0
<=10;>48;Febrero;724.5;1453.47;2191.52;3/02/2014;12;TELF. NO CORRESPONDE;19786.5;2012;0
<=10;>48;Febrero;320.87;245.76;319.48;7/02/2014;9;MCT  Msj Con Terceros;10106.8;2013;0
>10;<24, 48];Febrero;45.01;39.02;175.34;20/02/2014;14;TELF. NO CORRESPONDE;2073.56;2012;0
<=10;>48;Febrero;24.43;0;0;6/02/2014;15;PDP  Promesa De Pago;34013.9;2013;0
>10;<24, 48];Febrero;1536.77;0;0;10/02/2014;7;MCT  Msj Con Terceros;7883.01;2012;1
>10;<24, 48];Febrero;138.62;100.94;0.12;4/02/2014;7;PDP  Promesa De Pago;1382.05;2011;0
>10;>48;Febrero;152.46;0;0;11/02/2014;15;RPP  Recordar Promesa;4162.02;2011;0
<=10;<24, 48];Febrero;608.95;915.38;915.38;4/02/2014;15;MCF  Msj Con Familiar;6006.18;2013;1
<=10;<24, 48];Febrero;647.37;0;648.13;19/02/2014;20;TAT  Tratamiento al Titu;18500.5;2013;0
<=10;>48;Febrero;536.14;0;0;6/02/2014;7;MCO  Msj Con Conyuge;34399.2;2013;0
<=10;>48;Febrero;1479.94;479.95;479.95;28/02/2014;8;MCV  Msj Con Vecino;75634.7;2013;0
<=10;<=24;Febrero;212.58;0;211.97;3/02/2014;12;MCO  Msj Con Conyuge;2916.74;2013;0
<=10;>48;Febrero;260.15;260.15;260.34;7/02/2014;8;TAT  Tratamiento al Titu;5763.22;2013;0
<=10;<24, 48];Febrero;180.38;0;0;10/02/2014;12;PDP  Promesa De Pago;18446.4;2013;0
>10;<24, 48];Febrero;230.21;222.6;38.62;11/02/2014;12;MCT  Msj Con Terceros;1220.26;2011;0
>10;<24, 48];Febrero;424.95;424.47;424.44;26/02/2014;17;MCC  Msj Con Comp De Trab;10245.9;2012;0
<=10;<=24;Febrero;165.79;0;0;5/02/2014;11;MCF  Msj Con Familiar;1743.65;2013;0
>10;>48;Febrero;22.7;0;0;6/02/2014;18;TAT  Tratamiento al Titu;2836.26;2011;0
>10;<24, 48];Febrero;1264.28;0;0;12/02/2014;12;MCT  Msj Con Terceros;7452.32;2012;1
>10;<24, 48];Febrero;316.87;639.86;645.23;21/02/2014;19;MCF  Msj Con Familiar;5613.95;2013;0
>10;>48;Febrero;104.81;326.34;376.9;3/02/2014;15;PDP  Promesa De Pago;793.19;2010;0
<=10;<24, 48];Febrero;1786.59;1242.92;1242.92;11/02/2014;14;MCT  Msj Con Terceros;22110.5;2012;0
>10;<24, 48];Febrero;1264.69;0;0;13/02/2014;8;MCC  Msj Con Comp De Trab;7348.21;2011;1
<=10;<24, 48];Febrero;415.36;624.75;835.69;7/02/2014;12;MCT  Msj Con Terceros;3646.5;2012;1
<=10;<=24;Febrero;975.05;0;0;14/02/2014;18;PDP  Promesa De Pago;975.59;2014;0
<=10;<=24;Febrero;115.44;0;0;5/02/2014;9;PDP  Promesa De Pago;1844.68;2013;0
<=10;<24, 48];Febrero;135.98;0;136.36;13/02/2014;14;MCF  Msj Con Familiar;3461.2;2013;0
<=10;<=24;Febrero;597.34;798.73;0;26/02/2014;16;MCO  Msj Con Conyuge;2982.54;2013;1
<=10;<24, 48];Febrero;646.44;0;0;6/02/2014;8;PDP  Promesa De Pago;12406.2;2012;0
>10;<24, 48];Febrero;363.79;361.05;0;4/02/2014;16;TELF. NO CORRESPONDE;2632.92;2011;0
>10;>48;Febrero;1747.71;0;0;11/02/2014;7;CIH  Generar Cita;19667.6;2012;1
>10;<24, 48];Febrero;367.05;949.46;951.11;24/02/2014;15;TELF. NO CORRESPONDE;9735.06;2011;0
>10;<24, 48];Febrero;160.98;169.77;140.77;14/02/2014;11;MCF  Msj Con Familiar;2015.24;2011;0
>10;>48;Febrero;363.94;365.39;0;17/02/2014;7;MCF  Msj Con Familiar;6167.04;2011;0
<=10;<24, 48];Febrero;1377.27;0;0;6/02/2014;11;MCT  Msj Con Terceros;12072.6;2013;1
<=10;<24, 48];Febrero;658.55;738.27;693.3;10/02/2014;16;MCT  Msj Con Terceros;6950.82;2011;0
<=10;>48;Febrero;3742.2;0;0;11/02/2014;7;MCT  Msj Con Terceros;41434.3;2013;1
<=10;>48;Febrero;840.58;0;0;3/02/2014;9;PDP  Promesa De Pago;25173.7;2013;0
>10;<24, 48];Febrero;2608.04;2619.83;0;26/02/2014;14;MCT  Msj Con Terceros;64117.8;2012;0
<=10;<24, 48];Febrero;236.03;76.41;217.48;18/02/2014;11;MCT  Msj Con Terceros;4046.54;2012;0
