ID.Cliente;Genero;Mayor65años;Socio;Dependientes;MultipleLineas;Internet;SeguridadOnline;Backup;ProteccionDispositivo;No.servicio.Internet;TVPago;PeliculasStreaming;TerminoContrato;FactElectronica;MetodoPago;CargoMensual;ImporteTotal;pemanencia;ServicioTel;Churn
6322-HRPFA;Masculino;0;Si;Si;No;DSL;Si;Si;No;Si;No;No;Mes a mes;No;TarjetaCredito (automatico);59.6;2970.3;49;Si;No
6865-JZNKO;Femenino;0;No;No;No;DSL;Si;Si;No;No;No;No;Mes a mes;Si;TransfBanca (automatica);55.3;1530.6;NA;Si;No
6467-CHFZW;Masculino;0;Si;Si;Si;Fibra Optica;No;Si;No;No;Si;Si;Mes a mes;Si;Cheque electronico;99.35;4749.15;47;Si;Si
8665-UTDHZ;Masculino;0;Si;Si;No servicio tel;DSL;No;Si;No;No;No;No;Mes a mes;No;Cheque electronico;30.2;30.2;1;No;Si
5248-YGIJN;Masculino;0;Si;No;Si;DSL;Si;Si;Si;Si;Si;Si;Dos años;Si;TarjetaCredito (automatico);90.25;6369.45;72;Si;No
8773-HHUOZ;Femenino;0;No;Si;No;DSL;No;No;No;No;Si;Si;Mes a mes;Si;Cheque fisico;64.7;1093.1;17;Si;Si
3841-NFECX;Femenino;1;Si;No;Si;Fibra Optica;Si;Si;Si;Si;No;No;Dos años;Si;TarjetaCredito (automatico);96.35;6766.95;71;Si;No
4929-XIHVW;Masculino;1;Si;No;No;Fibra Optica;No;No;Si;No;Si;Si;Mes a mes;Si;TarjetaCredito (automatico);95.5;181.65;2;Si;No
6827-IEAUQ;Femenino;0;Si;Si;No;DSL;Si;Si;Si;Si;No;No;Un año;No;Cheque fisico;66.15;1874.45;27;Si;No
7310-EGVHZ;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;TransfBanca (automatica);20.2;20.2;1;Si;No
3413-BMNZE;Masculino;1;No;No;No;DSL;No;No;No;No;No;No;Mes a mes;No;TransfBanca (automatica);45.25;45.25;1;Si;No
6234-RAAPL;Femenino;0;Si;Si;Si;Fibra Optica;Si;Si;No;Si;Si;No;Dos años;No;TransfBanca (automatica);99.9;NA;NA;Si;No
6047-YHPVI;Masculino;0;No;No;No;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;69.7;316.9;5;Si;Si
6572-ADKRS;Femenino;0;No;No;No;Fibra Optica;No;No;Si;No;No;No;Mes a mes;Si;TarjetaCredito (automatico);74.8;3548.3;46;Si;No
5380-WJKOV;Masculino;0;No;No;Si;Fibra Optica;No;Si;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;106.35;3549.25;34;Si;Si
8168-UQWWF;Femenino;0;No;No;Si;Fibra Optica;No;No;Si;No;Si;Si;Mes a mes;Si;TransfBanca (automatica);97.85;1105.4;11;Si;Si
8865-TNMNX;Masculino;0;Si;Si;No;DSL;No;Si;No;No;No;No;Un año;No;Cheque fisico;NA;475.7;10;Si;No
9489-DEDVP;Femenino;0;Si;Si;Si;DSL;Si;Si;No;No;Si;No;Dos años;Si;TarjetaCredito (automatico);69.2;NA;70;Si;No
9867-JCZSP;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;Cheque fisico;20.75;418.25;17;Si;No
4671-VJLCL;Femenino;0;No;No;Si;DSL;Si;Si;Si;Si;Si;No;Dos años;Si;TarjetaCredito (automatico);79.85;4861.45;63;Si;No
4080-IIARD;Femenino;0;Si;No;Si;DSL;Si;Si;No;Si;Si;No;Mes a mes;Si;Cheque electronico;NA;981.45;13;Si;No
3714-NTNFO;Femenino;0;No;No;Si;Fibra Optica;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;84.5;3906.7;49;Si;No
5948-UJZLF;Masculino;0;No;No;No;DSL;No;Si;No;No;No;No;Mes a mes;No;Cheque fisico;49.25;97;2;Si;No
7760-OYPDY;Femenino;0;No;No;No;Fibra Optica;No;No;No;No;Si;No;Mes a mes;Si;Cheque electronico;NA;144.15;NA;Si;Si
7639-LIAYI;Masculino;0;No;No;Si;DSL;Si;No;No;Si;Si;Si;Dos años;Si;TarjetaCredito (automatico);79.75;4217.8;52;Si;No
2954-PIBKO;Femenino;0;Si;Si;Si;DSL;Si;No;Si;Si;No;No;Dos años;Si;TarjetaCredito (automatico);NA;NA;69;Si;No
8012-SOUDQ;Femenino;1;No;No;Si;Fibra Optica;No;Si;No;No;Si;No;Mes a mes;Si;Cheque electronico;90.25;3838.75;43;Si;No
9420-LOJKX;Femenino;0;No;No;No;Fibra Optica;Si;Si;No;No;Si;Si;Mes a mes;Si;TarjetaCredito (automatico);99.1;1426.4;NA;Si;Si
6575-SUVOI;Femenino;1;Si;No;Si;DSL;Si;No;No;Si;Si;No;Mes a mes;Si;TarjetaCredito (automatico);69.5;1752.65;25;Si;No
7495-OOKFY;Femenino;1;Si;No;Si;Fibra Optica;No;Si;No;No;No;No;Mes a mes;Si;TarjetaCredito (automatico);80.65;633.3;8;Si;Si
4667-QONEA;Femenino;1;Si;Si;No;DSL;Si;Si;Si;Si;No;Si;Un año;Si;TarjetaCredito (automatico);74.85;NA;60;Si;No
1658-BYGOY;Masculino;1;No;No;Si;Fibra Optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;NA;1752.55;18;Si;Si
8769-KKTPH;Femenino;0;Si;Si;Si;Fibra Optica;Si;No;No;No;Si;Si;Un año;Si;TarjetaCredito (automatico);99.65;6311.2;63;Si;No
5067-XJQFU;Masculino;1;Si;Si;Si;Fibra Optica;No;Si;Si;Si;Si;Si;Un año;Si;Cheque electronico;108.45;7076.35;66;Si;No
3957-SQXML;Femenino;0;Si;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TarjetaCredito (automatico);24.95;894.3;34;Si;No
5954-BDFSG;Femenino;0;No;No;Si;Fibra Optica;No;No;Si;Si;Si;Si;Dos años;Si;TarjetaCredito (automatico);107.5;7853.7;72;Si;No
0434-CSFON;Femenino;0;Si;No;Si;Fibra Optica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;100.5;4707.1;47;Si;No
1215-FIGMP;Masculino;0;No;No;Si;Fibra Optica;No;Si;No;No;Si;No;Mes a mes;Si;TransfBanca (automatica);89.9;5450.7;60;NA;No
0526-SXDJP;Masculino;0;Si;No;No servicio tel;DSL;Si;Si;Si;No;No;No;Dos años;No;TransfBanca (automatica);42.1;2962;72;No;No
0557-ASKVU;Femenino;0;Si;Si;No;DSL;No;No;Si;Si;No;No;Un año;Si;TarjetaCredito (automatico);54.4;957.1;18;Si;No
5698-BQJOH;Femenino;0;No;No;Si;Fibra Optica;No;No;No;No;Si;Si;Mes a mes;No;Cheque electronico;94.4;857.25;9;Si;Si
5122-CYFXA;Femenino;0;No;No;No;DSL;No;Si;No;Si;Si;Si;Mes a mes;Si;Cheque electronico;75.3;244.1;3;Si;No
8627-ZYGSZ;Masculino;0;Si;No;Si;Fibra Optica;No;Si;No;No;No;No;Un año;Si;Cheque electronico;78.9;3650.35;47;Si;No
3410-YOQBQ;Femenino;0;No;No;No;DSL;No;Si;Si;Si;Si;Si;Dos años;No;Cheque fisico;79.2;2497.2;31;Si;No
3170-NMYVV;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);20.15;930.9;50;Si;No
7410-OIEDU;Masculino;0;No;No;No;Fibra Optica;Si;No;Si;No;No;No;Mes a mes;Si;Cheque fisico;79.85;887.35;10;Si;No
2273-QCKXA;Masculino;0;No;No;No;DSL;No;No;No;Si;No;No;Mes a mes;No;Cheque fisico;49.05;49.05;1;Si;No
0731-EBJQB;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;Si;Cheque electronico;20.4;NA;52;Si;No
1891-QRQSA;Masculino;1;Si;Si;Si;Fibra Optica;Si;No;Si;Si;Si;Si;Dos años;Si;TransfBanca (automatica);111.6;NA;64;Si;No
8028-PNXHQ;Masculino;0;Si;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;TransfBanca (automatica);24.25;1424.6;62;Si;No
5630-AHZIL;Femenino;0;No;Si;No;DSL;Si;No;No;Si;No;Si;Mes a mes;Si;TransfBanca (automatica);64.5;177.4;NA;Si;No
2673-CXQEU;Femenino;1;No;No;Si;Fibra Optica;Si;Si;Si;No;Si;Si;Un año;No;Cheque electronico;110.5;6139.5;56;Si;No
6416-JNVRK;Femenino;0;No;No;No;DSL;No;No;No;No;No;Si;Un año;No;TarjetaCredito (automatico);55.65;NA;46;Si;No
5590-ZSKRV;Femenino;0;Si;Si;No;DSL;Si;Si;No;No;No;No;Mes a mes;No;Cheque fisico;54.65;482.25;8;Si;No
0191-ZHSKZ;Masculino;1;No;No;No;DSL;Si;Si;No;No;Si;Si;Mes a mes;Si;Cheque electronico;74.75;2111.3;30;Si;No
3887-PBQAO;Femenino;0;Si;Si;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;Si;TarjetaCredito (automatico);25.9;1216.6;45;Si;No
5919-TMRGD;Femenino;0;No;Si;No;Fibra Optica;No;No;No;No;Si;No;Mes a mes;Si;Cheque electronico;79.35;79.35;NA;Si;Si
8108-UXRQN;Femenino;0;Si;Si;No servicio tel;DSL;Si;No;No;No;Si;Si;Mes a mes;No;Cheque electronico;50.55;565.35;11;No;No
9191-MYQKX;Femenino;0;Si;No;No;Fibra Optica;No;No;Si;No;No;No;Mes a mes;Si;TransfBanca (automatica);75.15;496.9;7;Si;Si
9919-YLNNG;Femenino;0;No;No;No;Fibra Optica;No;Si;Si;Si;Si;Si;Mes a mes;Si;TransfBanca (automatica);103.8;4327.5;42;NA;No
0318-ZOPWS;Femenino;0;Si;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;TransfBanca (automatica);NA;973.35;49;NA;No
4445-ZJNMU;Masculino;0;No;No;Si;Fibra Optica;No;Si;No;No;Si;Si;Mes a mes;Si;TarjetaCredito (automatico);99.3;918.75;NA;Si;No
4808-YNLEU;Femenino;0;Si;No;No;DSL;Si;No;No;No;Si;No;Un año;Si;TransfBanca (automatica);62.15;2215.45;35;Si;No
1862-QRWPE;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);20.65;1057;48;Si;No
2796-NNUFI;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;Cheque fisico;19.95;927.1;46;Si;No
3016-KSVCP;Masculino;0;Si;No;No servicio tel;DSL;No;No;No;No;Si;No;Mes a mes;No;Cheque fisico;33.75;1009.25;29;NA;No
4767-HZZHQ;Masculino;0;Si;Si;No;Fibra Optica;No;Si;Si;No;No;No;Mes a mes;No;TransfBanca (automatica);82.05;2570.2;30;Si;No
2424-WVHPL;Masculino;1;No;No;No;Fibra Optica;No;No;No;Si;No;No;Mes a mes;No;Cheque electronico;74.7;74.7;1;Si;No
7233-PAHHL;Masculino;0;Si;Si;Si;DSL;Si;No;Si;Si;Si;Si;Dos años;Si;Cheque fisico;84;5714.25;66;NA;No
6067-NGCEU;Femenino;0;No;No;Si;Fibra Optica;Si;Si;Si;No;Si;Si;Mes a mes;Si;TarjetaCredito (automatico);111.05;7107;65;Si;No
9848-JQJTX;Masculino;0;No;No;Si;Fibra Optica;No;Si;Si;No;Si;Si;Dos años;Si;TransfBanca (automatica);100.9;7459.05;72;Si;No
8637-XJIVR;Femenino;0;No;No;Si;Fibra Optica;Si;No;No;No;No;No;Mes a mes;Si;Cheque electronico;78.95;927.35;12;Si;Si
9803-FTJCG;Masculino;0;Si;Si;Si;DSL;Si;Si;No;Si;No;No;Un año;Si;TarjetaCredito (automatico);66.85;4748.7;NA;Si;No
0278-YXOOG;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;NA;113.85;5;Si;Si
3212-KXOCR;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);NA;1107.2;52;Si;No
4598-XLKNJ;Femenino;1;Si;No;No;Fibra Optica;No;Si;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;98.5;2514.5;25;NA;Si
6380-ARCEH;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;20.2;20.2;1;Si;No
3679-XASPY;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque electronico;19.45;19.45;1;Si;No
7123-WQUHX;Masculino;0;No;No;Si;Fibra Optica;No;No;Si;Si;Si;No;Un año;No;TransfBanca (automatica);95;3605.6;38;Si;No
5386-THSLQ;Femenino;1;Si;No;No servicio tel;DSL;No;Si;Si;No;Si;No;Un año;No;TransfBanca (automatica);45.55;3027.25;66;NA;No
3192-NQECA;Masculino;0;Si;No;Si;Fibra Optica;No;Si;Si;Si;Si;Si;Dos años;Si;TransfBanca (automatica);110;7611.85;NA;Si;Si
6180-YBIQI;Masculino;0;No;No;No servicio tel;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque fisico;24.3;100.2;5;No;No
6728-DKUCO;Femenino;0;Si;Si;Si;Fibra Optica;Si;Si;No;No;Si;Si;Un año;Si;Cheque electronico;104.15;7303.05;NA;Si;No
9750-BOOHV;Femenino;0;No;No;No servicio tel;DSL;Si;No;No;No;No;No;Un año;No;Cheque fisico;30.15;927.65;32;NA;No
8597-CWYHH;Masculino;0;No;No;Si;Fibra Optica;No;No;No;No;Si;Si;Un año;No;Cheque fisico;94.35;3921.3;43;Si;No
2848-YXSMW;Masculino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TarjetaCredito (automatico);19.4;1363.25;72;Si;No
0486-HECZI;Masculino;0;Si;No;Si;Fibra Optica;Si;Si;No;No;Si;No;Mes a mes;Si;Cheque electronico;96.75;5238.9;55;Si;Si
4549-ZDQYY;Femenino;0;No;No;No;DSL;Si;No;Si;Si;No;No;Un año;No;TarjetaCredito (automatico);57.95;3042.25;52;NA;No
5712-AHQNN;Femenino;0;No;No;No;Fibra Optica;No;Si;Si;No;Si;No;Mes a mes;Si;Cheque electronico;91.65;NA;43;Si;No
4846-WHAFZ;Femenino;1;Si;No;Si;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;76.5;2868.15;37;Si;Si
5256-SKJGO;Femenino;0;Si;Si;No servicio tel;DSL;No;Si;No;Si;Si;Si;Dos años;Si;Cheque electronico;54.6;3423.5;64;No;No
3071-VBYPO;Masculino;0;Si;Si;No;Fibra Optica;Si;Si;No;No;Si;No;Mes a mes;No;Cheque electronico;89.85;248.4;3;Si;No
9560-BBZXK;Femenino;0;No;No;No servicio tel;DSL;Si;No;No;No;No;No;Dos años;No;TransfBanca (automatica);31.05;1126.35;36;No;No
5299-RULOA;Femenino;0;Si;Si;Si;Fibra Optica;Si;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;100.25;1064.65;10;Si;Si
8402-OOOHJ;Femenino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;Cheque fisico;20.65;835.15;NA;Si;No
9445-ZUEQE;Masculino;0;Si;Si;Si;Fibra Optica;No;Si;No;Si;No;No;Mes a mes;Si;TarjetaCredito (automatico);85.2;2151.6;27;Si;No
1091-SOZGA;Femenino;0;Si;Si;Si;Fibra Optica;No;No;Si;No;Si;Si;Un año;Si;TarjetaCredito (automatico);99.8;5515.45;56;NA;No
2928-HLDBA;Femenino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;20.7;NA;6;Si;No
0404-SWRVG;Masculino;0;No;No;Si;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;74.4;229.55;3;Si;Si
6497-TILVL;Femenino;0;Si;Si;No;DSL;Si;No;No;No;No;No;Mes a mes;No;Cheque fisico;50.7;350.35;7;Si;No
7219-TLZHO;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;20.85;62.9;4;NA;No
4622-YNKIJ;Masculino;0;No;No;No;Fibra Optica;Si;No;No;Si;Si;No;Dos años;Si;Cheque electronico;88.95;3027.65;33;Si;No
4412-YLTKF;Femenino;1;No;No;Si;Fibra Optica;No;No;Si;No;No;No;Mes a mes;Si;Cheque electronico;78.05;2135.5;27;Si;Si
6734-PSBAW;Masculino;0;Si;No;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;TransfBanca (automatica);23.55;1723.95;72;Si;No
3930-ZGWVE;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;19.75;19.75;NA;NA;No
2639-UGMAZ;Masculino;1;No;No;No servicio tel;DSL;Si;Si;No;No;Si;Si;Un año;Si;Cheque electronico;56.45;3985.35;71;No;No
2876-GZYZC;Femenino;0;No;No;Si;Fibra Optica;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;85.95;1215.65;13;Si;No
6207-WIOLX;Femenino;0;Si;Si;No servicio tel;DSL;Si;Si;Si;No;Si;Si;Mes a mes;Si;TarjetaCredito (automatico);58.6;1502.65;25;No;Si
8587-XYZSF;Masculino;0;No;No;No;DSL;No;No;No;Si;No;No;Dos años;No;TransfBanca (automatica);50.55;3260.1;67;NA;No
3091-FYHKI;Masculino;0;No;No;No servicio tel;DSL;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;35.45;35.45;1;No;Si
2372-HWUHI;Masculino;0;No;No;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;44.35;81.25;2;Si;Si
7799-LGRDP;Femenino;0;No;No;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;TarjetaCredito (automatico);NA;1188.2;43;Si;No
7850-VWJUU;Femenino;0;No;No;No;Fibra Optica;Si;No;No;No;No;No;Mes a mes;Si;TransfBanca (automatica);75;1778.5;23;Si;No
3774-VBNXY;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;Cheque fisico;20.2;1277.75;64;Si;No
6217-KDYWC;Masculino;0;No;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;Si;Cheque fisico;19.6;1170.55;57;Si;No
0390-DCFDQ;Femenino;1;Si;No;No;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque fisico;70.45;70.45;1;Si;Si
3146-MSEGF;Femenino;1;Si;Si;Si;DSL;Si;Si;Si;Si;Si;Si;Dos años;Si;TarjetaCredito (automatico);88.05;6425.65;72;Si;No
4080-OGPJL;Femenino;0;No;No;Si;DSL;Si;No;No;Si;No;Si;Mes a mes;No;Cheque electronico;71.15;563.65;8;Si;Si
1095-WGNGG;Femenino;0;Si;No;Si;Fibra Optica;No;Si;No;No;Si;Si;Dos años;Si;TransfBanca (automatica);101.05;5971.25;61;Si;No
2636-SJDOU;Masculino;0;No;No;Si;Fibra Optica;Si;Si;No;No;No;No;Un año;Si;TarjetaCredito (automatico);84.3;5289.05;64;Si;No
1131-QQZEB;Masculino;1;Si;No;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);23.95;1756.2;71;Si;No
5716-EZXZN;Femenino;0;Si;Si;Si;Fibra Optica;Si;Si;No;Si;Si;No;Dos años;Si;TarjetaCredito (automatico);99.05;6416.7;65;Si;No
6837-BJYDQ;Masculino;0;No;No;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;Cheque fisico;NA;61.35;3;Si;No
2135-RXIHG;Masculino;0;No;No;No;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;45.65;NA;1;Si;Si
6440-DKQGE;Masculino;0;No;Si;No;DSL;No;Si;Si;No;Si;No;Un año;No;TarjetaCredito (automatico);64.5;1929.95;30;Si;No
3466-BYAVD;Masculino;0;Si;Si;No;DSL;No;Si;Si;Si;No;Si;Mes a mes;Si;Cheque fisico;69.5;1071.4;15;Si;No
3780-YVMFA;Femenino;0;Si;Si;No;DSL;No;No;No;Si;Si;Si;Mes a mes;Si;Cheque electronico;68.55;NA;8;NA;No
3874-EQOEP;Masculino;0;No;No;Si;Fibra Optica;No;No;No;No;Si;Si;Mes a mes;No;Cheque fisico;NA;655.5;7;Si;Si
1679-JRFBR;Femenino;0;Si;Si;Si;Fibra Optica;Si;Si;Si;No;Si;Si;Un año;Si;TarjetaCredito (automatico);108.15;7930.55;NA;Si;No
9073-ZZIAY;Masculino;0;Si;Si;No;DSL;Si;Si;Si;Si;Si;Si;Dos años;No;Cheque electronico;NA;5215.25;62;Si;No
3077-RSNTJ;Femenino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Mes a mes;No;Cheque fisico;19.7;113.5;6;Si;No
6551-GNYDG;Femenino;0;Si;Si;No;Fibra Optica;No;No;No;No;No;Si;Mes a mes;Si;TransfBanca (automatica);80.9;NA;14;Si;No
9167-APMXZ;Femenino;0;No;No;Si;Fibra Optica;No;No;No;No;Si;No;Mes a mes;Si;TransfBanca (automatica);84.15;1821.95;22;Si;No
2749-CTKAJ;Masculino;0;Si;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Un año;No;Cheque fisico;20.15;419.9;22;Si;No
6371-NZYEG;Masculino;0;Si;Si;No;DSL;Si;No;Si;No;Si;No;Dos años;No;Cheque fisico;NA;1024;16;Si;No
7554-NEWDD;Masculino;0;No;No;Si;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TransfBanca (automatica);25.7;251.6;10;Si;No
8992-VONJD;Femenino;0;No;Si;No;DSL;Si;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;NA;764.55;13;Si;No
0867-MKZVY;Femenino;0;Si;No;Si;Fibra Optica;Si;No;No;No;No;No;Mes a mes;No;Cheque electronico;82.4;1592.35;20;Si;Si
4482-EWFMI;Femenino;0;No;No;No;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;NA;135.2;NA;Si;No
