Edad;Genero;Vivienda;Ecivil;Ubicacion;Salario;Hijos;Historial;Catalogos;Monto
Media;Femenino;Alquilada;Casado;Cerca;87700;3;NA;24;2446
Media;Masculino;Propia;Casado;Cerca;104100;0;Alto;24;2636
Media;Masculino;Alquilada;Soltero;Lejos;67700;0;Alto;12;2226
Media;Femenino;Propia;Soltero;Cerca;27000;2;Bajo;6;183
Media;Femenino;Propia;Soltero;Lejos;64100;2;Alto;24;1595
Media;Masculino;Alquilada;Soltero;Cerca;47000;1;Medio;12;584
Adulta;Femenino;Propia;Casado;Cerca;41600;0;NA;18;982
Adulta;Femenino;Alquilada;Soltero;Cerca;20100;0;Bajo;24;576
Media;Masculino;Propia;Soltero;Cerca;64000;3;Bajo;12;410
Media;Femenino;Propia;Casado;Lejos;96800;3;NA;24;3082
Media;Masculino;Alquilada;Casado;Cerca;76200;1;NA;24;2437
Adulta;Femenino;Alquilada;Casado;Lejos;81500;0;Alto;18;3655
Media;Femenino;Propia;Soltero;Cerca;49600;1;Medio;12;844
Adulta;Femenino;Propia;Casado;Cerca;111500;0;Alto;18;2510
Media;Masculino;Propia;Casado;Cerca;77700;0;NA;6;983
NA;Masculino;Propia;Casado;Cerca;58900;0;NA;18;1215
Media;Masculino;Propia;Casado;Cerca;126500;2;Alto;18;2000
Media;Femenino;Propia;Casado;Cerca;83300;1;Alto;24;2574
Media;Femenino;NA;Casado;Cerca;90500;1;Alto;6;1116
Media;Femenino;Propia;Casado;Lejos;87200;0;Alto;18;3604
Media;Femenino;Propia;Casado;Cerca;105300;1;NA;24;3360
Media;Femenino;Propia;Soltero;Lejos;56000;3;Medio;6;530
Media;Femenino;Alquilada;Soltero;Cerca;46600;0;Medio;24;906
Adulta;Masculino;Alquilada;Casado;Cerca;69800;0;Alto;24;2764
Media;Masculino;Propia;Soltero;Cerca;60300;0;Alto;24;1263
Joven;Masculino;Alquilada;Casado;Cerca;67800;0;Alto;12;1084
Media;Masculino;Alquilada;Soltero;Cerca;42300;0;Medio;24;1051
NA;Femenino;Propia;Casado;Lejos;33700;0;NA;6;614
Media;Masculino;Propia;Soltero;Cerca;62700;2;Medio;12;704
Joven;Femenino;Propia;Soltero;Cerca;25900;2;NA;12;449
Joven;Femenino;Propia;Soltero;Cerca;15600;1;Bajo;6;136
Adulta;Femenino;Propia;Soltero;Cerca;14600;0;Bajo;24;468
Adulta;Femenino;Propia;Casado;Cerca;62600;0;Alto;6;565
Joven;Masculino;Alquilada;Casado;Cerca;66700;0;NA;18;1310
Media;Masculino;Propia;Casado;Lejos;72500;0;NA;24;2595
Joven;Femenino;Alquilada;Soltero;Lejos;13200;0;NA;24;358
Media;Femenino;Propia;Soltero;Cerca;51300;0;Medio;24;1424
Media;Masculino;Propia;Soltero;Lejos;72300;0;Alto;24;4182
Joven;Femenino;Alquilada;Soltero;Cerca;15600;0;NA;12;468
Media;Femenino;Propia;Casado;Lejos;90400;1;Alto;18;2924
Media;Masculino;Propia;Soltero;Lejos;71500;0;NA;6;964
Joven;Masculino;Alquilada;Soltero;Cerca;14400;0;NA;24;615
Joven;Masculino;Alquilada;Soltero;Cerca;15000;3;Bajo;6;38
Media;Masculino;Propia;Soltero;Cerca;57600;1;NA;6;1006
Joven;Femenino;Alquilada;Casado;Cerca;60600;3;Bajo;12;307
Media;Masculino;Propia;Casado;Lejos;84300;2;Alto;18;1648
Joven;Femenino;Propia;Soltero;Cerca;24400;1;Bajo;6;220
Joven;Femenino;Alquilada;Soltero;Cerca;22100;2;Bajo;18;280
Media;Masculino;NA;Casado;Lejos;48800;2;NA;12;1647
Media;Femenino;Propia;Casado;Cerca;74700;1;Medio;6;704
Joven;Femenino;Alquilada;Soltero;Lejos;32400;1;Medio;24;920
Adulta;Femenino;Propia;Soltero;Cerca;11400;0;NA;6;258
Media;Masculino;Propia;Casado;Cerca;127000;0;NA;12;1821
Media;Masculino;NA;Soltero;Cerca;47200;0;Medio;18;1587
Media;Femenino;Propia;Soltero;Cerca;48700;2;Bajo;12;528
Joven;Masculino;Alquilada;Soltero;Lejos;20400;0;Medio;18;867
Media;Masculino;Alquilada;Soltero;Cerca;NA;0;NA;6;643
Joven;Femenino;Alquilada;Soltero;Cerca;12900;1;Bajo;6;107
Media;Femenino;Alquilada;Casado;Lejos;67300;1;Alto;18;1513
Adulta;Masculino;Propia;Casado;Cerca;134500;0;Alto;24;4558
Adulta;Masculino;Propia;Casado;Cerca;75500;0;Alto;6;741
Adulta;Femenino;Propia;Casado;Lejos;33600;2;Medio;12;805
Joven;Femenino;Alquilada;Soltero;Cerca;16300;1;NA;12;470
Joven;Masculino;Alquilada;Casado;Cerca;27400;1;Bajo;6;278
Media;Femenino;Propia;Casado;Cerca;110400;3;Bajo;24;1093
Joven;Femenino;Alquilada;Soltero;Lejos;21100;1;Bajo;6;470
Media;Masculino;Propia;Casado;Cerca;81200;0;Alto;24;1856
Media;Masculino;Alquilada;Casado;Lejos;87100;2;Alto;18;1688
Joven;Femenino;Alquilada;Soltero;Lejos;21700;3;NA;24;708
Media;Femenino;Alquilada;Soltero;Cerca;42200;0;NA;18;1753
Media;Masculino;NA;Soltero;Lejos;NA;0;Alto;24;3044
Media;Femenino;Propia;Soltero;Cerca;52700;2;Bajo;18;855
Joven;Masculino;Propia;Soltero;Cerca;20900;0;Bajo;24;550
Media;Masculino;Propia;Casado;Lejos;90700;3;Alto;24;2265
Adulta;Femenino;Propia;Casado;Lejos;91800;0;NA;24;2452
Joven;Femenino;Propia;Soltero;Lejos;27900;0;Medio;18;1184
Adulta;Femenino;Propia;Casado;Cerca;70700;0;Alto;24;2150
Media;Masculino;Propia;Casado;Cerca;79600;2;NA;6;1575
Media;Masculino;Alquilada;Casado;Cerca;NA;1;Alto;24;1822
Media;Femenino;Propia;Soltero;Cerca;46600;2;NA;18;1153
Adulta;Masculino;Propia;Casado;Cerca;106600;0;Alto;12;1877
Media;Femenino;NA;Casado;Cerca;104900;3;Bajo;6;450
Adulta;Masculino;Alquilada;Soltero;Cerca;56300;0;Medio;6;873
NA;Femenino;Alquilada;Soltero;Cerca;14800;1;Bajo;6;209
Adulta;Masculino;Propia;Casado;Cerca;58300;0;Medio;24;1472
Media;Masculino;Propia;Soltero;Lejos;70200;0;Alto;12;1702
Adulta;Masculino;Propia;Casado;Lejos;59700;0;Alto;18;1857
Joven;Masculino;Alquilada;Soltero;Cerca;25800;0;NA;6;451
Joven;Femenino;Alquilada;Soltero;Cerca;12000;0;Bajo;24;344
Media;Masculino;NA;Soltero;Lejos;51900;0;Alto;18;1492
Media;Femenino;Propia;Soltero;Lejos;66800;3;NA;24;2098
Media;Masculino;Propia;Casado;Cerca;105300;1;NA;18;3505
Joven;Femenino;Alquilada;Soltero;Lejos;13800;3;Bajo;6;127
Joven;Masculino;Alquilada;Soltero;Cerca;14800;3;NA;12;436
Media;Femenino;Propia;Casado;Lejos;44200;0;Alto;24;2524
Joven;Masculino;Alquilada;Soltero;Cerca;10400;0;NA;18;189
Media;Femenino;Propia;Soltero;Cerca;35200;0;Medio;12;607
Joven;Femenino;Alquilada;Soltero;Lejos;16100;0;NA;6;202
Media;Masculino;Propia;Casado;Cerca;113000;2;Medio;18;1554
Media;Masculino;Propia;Casado;Cerca;63300;2;NA;6;633
Joven;Masculino;Alquilada;Soltero;Cerca;19100;0;NA;6;176
Media;Femenino;Propia;Casado;Cerca;93400;2;NA;24;3079
Adulta;Femenino;Alquilada;Casado;Lejos;52500;0;Alto;24;2038
Media;Femenino;Alquilada;Casado;Lejos;45400;3;Medio;24;1203
Joven;Femenino;Propia;Soltero;Lejos;21400;3;NA;6;326
Media;Femenino;Propia;Soltero;Cerca;53700;3;Bajo;12;235
Joven;Femenino;Propia;Casado;Lejos;68000;0;Alto;24;3688
Joven;Masculino;Alquilada;Soltero;Cerca;17400;0;NA;12;332
Joven;Femenino;Alquilada;Soltero;Cerca;14600;1;Bajo;6;143
Adulta;Femenino;Propia;Casado;Lejos;100100;0;Alto;12;3104
Media;Masculino;Propia;Casado;Lejos;103700;1;Alto;24;2339
Joven;Femenino;Alquilada;Soltero;Lejos;10800;3;Bajo;6;123
Media;Femenino;Propia;Casado;Cerca;81700;3;Bajo;24;879
Adulta;Femenino;Alquilada;Soltero;Cerca;21400;0;Bajo;18;498
Adulta;Femenino;Propia;Casado;Cerca;114800;0;Alto;18;3596
Adulta;Femenino;Propia;Casado;Lejos;67900;0;Alto;24;2925
Media;Masculino;Propia;Casado;Cerca;53700;1;NA;12;1081
Joven;Femenino;Alquilada;Soltero;Lejos;11400;3;NA;12;312
Joven;Masculino;Alquilada;Casado;Cerca;34300;3;NA;12;1297
Joven;Femenino;Alquilada;Soltero;Cerca;16400;1;Bajo;12;218
Media;Femenino;Propia;Casado;Lejos;109800;0;Alto;18;4279
Media;Masculino;Propia;Soltero;Cerca;64200;0;Alto;18;1642
Joven;Masculino;Alquilada;Soltero;Cerca;17000;0;NA;18;581
Media;Femenino;Alquilada;Soltero;Cerca;NA;3;Bajo;6;223
Media;Femenino;Propia;Soltero;Cerca;49100;2;Bajo;6;474
Adulta;Femenino;Propia;Soltero;Lejos;42600;0;Alto;24;1790
Joven;Femenino;Alquilada;Soltero;Cerca;11900;1;Bajo;6;143
Media;Masculino;Propia;Casado;Lejos;113600;2;Alto;18;3237
Media;Masculino;Propia;Soltero;Cerca;52900;1;NA;24;2316
Joven;Femenino;Alquilada;Soltero;Cerca;14300;1;NA;18;458
Joven;Masculino;Alquilada;Soltero;Cerca;21000;0;Bajo;24;646
Media;Masculino;Propia;Soltero;Lejos;59600;2;Medio;18;1217
Media;Femenino;Alquilada;Soltero;Cerca;39700;3;Bajo;12;238
Adulta;Masculino;Propia;Casado;Cerca;51200;0;Medio;12;1293
Media;Femenino;Propia;Casado;Cerca;88200;0;NA;24;2749
Media;Masculino;Propia;Casado;Lejos;122100;0;Alto;12;2408
Adulta;Femenino;Alquilada;Casado;Cerca;84800;0;Alto;18;2624
Media;Masculino;Propia;Casado;Lejos;140000;0;Alto;12;4894
Adulta;Femenino;Propia;Soltero;Cerca;28500;0;Bajo;24;621
Media;Masculino;Alquilada;Soltero;Cerca;60300;0;Alto;6;701
Joven;Femenino;Alquilada;Casado;Lejos;51900;0;NA;6;780
Media;Masculino;Propia;Soltero;Cerca;60200;0;Medio;12;1365
Media;Masculino;Propia;Casado;Lejos;81200;0;Alto;12;2693
Adulta;Masculino;Propia;Casado;Cerca;73100;0;Alto;6;1582
Adulta;Masculino;Propia;Soltero;Cerca;45700;0;Medio;18;724
Adulta;Femenino;Alquilada;Soltero;Cerca;28900;0;Bajo;12;830
Joven;Femenino;Alquilada;Casado;Cerca;60100;0;NA;18;1594
Media;Femenino;Propia;Casado;Cerca;84800;1;NA;12;1826
Adulta;Femenino;Propia;Casado;Cerca;35000;0;Medio;6;473
Joven;Femenino;Alquilada;Casado;Cerca;61700;0;NA;12;1161
Adulta;Femenino;Alquilada;Casado;Cerca;46900;0;Medio;6;703
NA;Femenino;Propia;Casado;Cerca;123600;1;NA;12;1892
Joven;Masculino;Alquilada;Casado;Cerca;45800;0;Medio;6;489
Media;Masculino;Propia;Casado;Lejos;77800;1;Alto;18;1813
Media;Femenino;Propia;Soltero;Cerca;48700;1;NA;12;1457
Media;Femenino;Alquilada;Soltero;Lejos;39000;3;Bajo;6;292
Joven;Femenino;Alquilada;Casado;Cerca;40000;0;NA;6;613
Media;Femenino;Alquilada;Casado;Cerca;118300;1;NA;18;2681
Joven;Femenino;Propia;Soltero;Cerca;27100;2;Bajo;24;437
Media;Femenino;Alquilada;Casado;Cerca;91000;2;Medio;6;708
Media;Femenino;Propia;Casado;Cerca;35300;0;Medio;24;1093
Joven;Femenino;Alquilada;Soltero;Lejos;10200;2;Bajo;18;213
Joven;Femenino;Alquilada;Soltero;Cerca;12500;1;Bajo;6;202
Adulta;Femenino;Propia;Soltero;Cerca;64600;0;NA;6;1298
Media;Masculino;Propia;Casado;Lejos;113800;0;NA;12;3273
Media;Masculino;Propia;Casado;Lejos;113400;3;Alto;18;1790
Joven;Femenino;Alquilada;Soltero;Cerca;16900;1;Bajo;6;247
Joven;Femenino;Alquilada;Soltero;Cerca;13600;1;Bajo;6;183
Media;Masculino;Propia;Casado;Lejos;100100;1;Alto;24;3491
Adulta;Femenino;Propia;Casado;Lejos;80000;0;Alto;6;1985
Media;Masculino;Propia;Casado;Cerca;83900;0;Alto;24;1721
Media;Masculino;Propia;Casado;Cerca;77000;0;Alto;12;2104
Media;Femenino;Alquilada;Casado;Cerca;72900;3;Bajo;6;252
Joven;Masculino;Alquilada;Casado;Cerca;80700;3;Bajo;6;202
Joven;Femenino;Alquilada;Casado;Cerca;40900;1;Medio;18;962
Joven;Femenino;Alquilada;Soltero;Cerca;26700;1;NA;12;459
Media;Masculino;Propia;Casado;Cerca;54700;0;Medio;18;848
Adulta;Femenino;Alquilada;Casado;Cerca;23600;1;Bajo;6;161
Media;Masculino;Alquilada;Soltero;Lejos;56900;0;Alto;24;1857
Media;Masculino;Propia;Soltero;Lejos;68700;1;NA;24;1699
Joven;Femenino;Alquilada;Soltero;Cerca;19300;1;Bajo;24;308
Joven;Masculino;Alquilada;Casado;Lejos;20200;1;Bajo;24;500
Media;Femenino;Alquilada;Casado;Lejos;61500;3;Medio;24;1162
Media;Femenino;Propia;Casado;Lejos;101700;1;NA;24;2551
Media;Femenino;Alquilada;Casado;Lejos;120800;1;Alto;24;5830
Joven;Femenino;Alquilada;Soltero;Lejos;17300;1;Bajo;18;381
Joven;Femenino;Alquilada;Casado;Cerca;42300;0;NA;6;856
Media;Masculino;Alquilada;Soltero;Cerca;53300;0;Medio;18;1720
Media;Femenino;Alquilada;Soltero;Cerca;42800;0;Medio;12;759
Media;Masculino;Propia;Casado;Cerca;98400;0;Alto;18;3305
Media;Femenino;Propia;Soltero;Cerca;51200;0;Medio;18;1257
Adulta;Masculino;NA;Soltero;Cerca;62200;0;NA;12;1583
Media;Masculino;Propia;Casado;Cerca;109200;3;Bajo;24;1102
Joven;Femenino;Alquilada;Soltero;Cerca;11400;2;NA;6;186
Joven;Femenino;Alquilada;Soltero;Cerca;14000;0;Bajo;12;229
Adulta;Femenino;Alquilada;Casado;Cerca;97000;0;NA;24;2599
Joven;Femenino;Propia;Soltero;Lejos;29600;3;NA;12;774
Adulta;Masculino;Propia;Casado;Cerca;71200;1;Medio;12;638
Adulta;Femenino;NA;Soltero;Lejos;15000;0;Bajo;12;378
Media;Masculino;Alquilada;Casado;Lejos;64000;1;NA;6;1552
Adulta;Masculino;Propia;Casado;Lejos;33000;0;Medio;12;979
Adulta;Femenino;Propia;Casado;Cerca;74400;0;Alto;18;2479
Joven;Masculino;Alquilada;Soltero;Lejos;20300;2;Bajo;24;450
NA;Masculino;Alquilada;Casado;Cerca;68700;0;Alto;24;2763
Joven;Masculino;Alquilada;Casado;Lejos;53600;3;Medio;24;1560
Adulta;Femenino;Propia;Soltero;Cerca;33200;0;Medio;24;1037
Joven;Femenino;Propia;Casado;Lejos;70900;0;NA;6;690
Joven;Femenino;Alquilada;Soltero;Cerca;23200;3;NA;24;770
Joven;Masculino;Propia;Soltero;Cerca;41400;0;Medio;18;643
Joven;Femenino;Alquilada;Casado;Cerca;63200;0;Alto;24;1512
Adulta;Masculino;Propia;Casado;Cerca;107400;0;Alto;12;1485
Joven;Masculino;Alquilada;Soltero;Lejos;13900;0;NA;24;570
Media;Femenino;Alquilada;Casado;Cerca;79900;1;Medio;18;1165
Media;Masculino;Propia;Casado;Lejos;120000;3;Alto;18;1926
Adulta;Masculino;Alquilada;Casado;Lejos;66300;0;NA;18;2243
Media;Femenino;Propia;Soltero;Cerca;54400;3;Bajo;18;342
Media;Masculino;Propia;Casado;Cerca;84200;0;Alto;24;1654
Joven;Femenino;Alquilada;Casado;Cerca;13800;0;Bajo;18;363
Joven;Femenino;Alquilada;Soltero;Lejos;14500;1;Bajo;6;222
Joven;Masculino;Alquilada;Soltero;Cerca;21300;0;Bajo;24;677
Adulta;Masculino;Alquilada;Soltero;Cerca;29000;0;Bajo;6;482
Adulta;Femenino;Alquilada;Soltero;Cerca;14600;1;Bajo;24;385
Adulta;Masculino;Propia;Soltero;Cerca;65300;0;Alto;18;1443
Media;Femenino;Propia;Casado;Cerca;100800;1;Alto;24;1789
Joven;Femenino;Alquilada;Soltero;Lejos;19800;1;Bajo;24;991
Media;Masculino;Propia;Soltero;Cerca;56700;2;Bajo;18;536
Adulta;Masculino;Alquilada;Casado;Cerca;90200;0;Alto;18;2183
Joven;Masculino;Alquilada;Soltero;Cerca;26100;1;NA;6;494
Joven;Femenino;Alquilada;Soltero;Cerca;15900;0;Bajo;18;503
Joven;Femenino;Alquilada;Soltero;Cerca;12700;3;Bajo;12;87
Media;Masculino;Alquilada;Soltero;Cerca;43200;0;NA;24;917
Media;Femenino;Alquilada;Casado;Cerca;114100;1;NA;24;1976
NA;Masculino;Propia;Casado;Cerca;96100;3;Bajo;12;316
Media;Masculino;Propia;Casado;Cerca;97200;0;NA;12;1634
Media;Masculino;Propia;Casado;Lejos;82400;2;Alto;24;2035
Adulta;Masculino;Propia;Soltero;Lejos;62000;0;Alto;24;3293
Joven;Femenino;Alquilada;Soltero;Cerca;13400;1;Bajo;12;143
Media;Masculino;Propia;Casado;Cerca;108200;3;Bajo;12;635
Joven;Femenino;Propia;Casado;Cerca;76200;0;Alto;12;979
Media;Masculino;Alquilada;Casado;Cerca;81800;1;Alto;18;1838
Joven;Femenino;Alquilada;Soltero;Lejos;12000;0;Bajo;6;264
Media;Masculino;Propia;Casado;Cerca;76100;0;NA;6;719
Media;Masculino;Propia;Casado;Cerca;82100;1;Alto;18;1308
Adulta;Femenino;Propia;Casado;Cerca;103300;0;Alto;24;3378
Joven;Masculino;Alquilada;Soltero;Cerca;14200;1;NA;24;400
Media;Femenino;Propia;Soltero;Lejos;47500;0;Alto;6;847
Joven;Femenino;Alquilada;Soltero;Cerca;31300;1;Bajo;6;357
Joven;Femenino;Alquilada;Casado;Lejos;32700;1;NA;18;1276
Media;Masculino;Propia;Casado;Cerca;72200;0;Alto;24;2492
Media;Femenino;Propia;Casado;Cerca;107600;2;Medio;12;1512
Media;Masculino;Propia;Casado;Cerca;109900;2;Medio;12;870
Media;Femenino;Propia;Casado;Cerca;65400;2;Medio;24;938
Adulta;Femenino;Propia;Soltero;Cerca;43300;0;NA;12;1584
Adulta;Femenino;Propia;Soltero;Cerca;51900;0;Medio;12;1148
Media;Femenino;Propia;Casado;Lejos;80600;0;Alto;24;2840
Media;Femenino;Alquilada;Soltero;Cerca;42700;0;Medio;12;827
Joven;Masculino;Alquilada;Soltero;Lejos;19000;0;NA;12;428
Joven;Femenino;Alquilada;Soltero;Cerca;14500;1;Bajo;6;183
Media;Femenino;Propia;Casado;Cerca;68200;1;NA;6;818
Joven;Masculino;Alquilada;Casado;Cerca;36700;0;Medio;12;731
Adulta;Masculino;Propia;Casado;Lejos;54600;0;Alto;24;2163
Media;Masculino;Propia;Casado;Cerca;65900;1;Medio;12;1081
Joven;Masculino;Propia;Soltero;Lejos;39600;0;NA;12;1085
Joven;Masculino;Alquilada;Casado;Lejos;67300;3;NA;6;1212
Media;Masculino;Propia;Soltero;Cerca;59700;1;NA;18;1422
Media;Femenino;Propia;Casado;Lejos;102800;2;Alto;18;2238
Media;Femenino;Alquilada;Soltero;Cerca;34700;0;NA;18;1615
Media;Masculino;Propia;Soltero;Cerca;50600;3;NA;6;713
Media;Masculino;Alquilada;Casado;Cerca;106700;2;Medio;6;607
Media;Masculino;Alquilada;Soltero;Cerca;53900;1;Medio;6;735
Joven;Femenino;Alquilada;Casado;Cerca;25500;2;Bajo;6;139
Joven;Masculino;Alquilada;Casado;Lejos;46300;1;Medio;18;1357
Adulta;Masculino;NA;Casado;Cerca;55500;0;Medio;18;858
Joven;Femenino;Propia;Soltero;Cerca;27800;3;NA;12;408
Media;Masculino;Propia;Casado;Cerca;118600;1;NA;12;1553
Media;Femenino;Propia;Casado;Cerca;130700;3;NA;6;2070
Adulta;Masculino;Alquilada;Soltero;Cerca;42800;0;Medio;12;922
Media;Femenino;Propia;Casado;Lejos;118300;1;Alto;12;2502
Joven;Femenino;Alquilada;Soltero;Lejos;25600;2;NA;18;426
Media;Masculino;Alquilada;Casado;Cerca;63500;2;NA;24;2321
NA;Femenino;Propia;Soltero;Cerca;30900;0;Medio;18;862
Media;Masculino;Propia;Soltero;Cerca;55900;1;NA;24;2555
Media;Masculino;Propia;Soltero;Lejos;53900;0;NA;12;1186
Adulta;Masculino;Propia;Casado;Cerca;84300;0;Alto;24;2842
NA;Masculino;Propia;Soltero;Cerca;53400;1;Medio;12;886
Media;Masculino;Propia;Casado;Cerca;96900;1;Alto;12;1420
Media;Masculino;Alquilada;Soltero;Lejos;55800;1;NA;6;821
Joven;Femenino;Alquilada;Casado;Cerca;25900;1;Bajo;6;242
Joven;Femenino;Alquilada;Soltero;Cerca;22000;1;Bajo;12;472
Media;Femenino;Alquilada;Casado;Cerca;96700;2;Medio;12;1231
Media;Femenino;Alquilada;Soltero;Cerca;NA;1;NA;12;881
Adulta;Masculino;Propia;Casado;Cerca;26800;0;Bajo;12;435
Joven;Femenino;Alquilada;Soltero;Cerca;16700;2;Bajo;12;108
Joven;Femenino;Alquilada;Casado;Cerca;40900;2;Bajo;18;576
Joven;Masculino;Alquilada;Casado;Lejos;41500;3;NA;24;1314
Joven;Masculino;Alquilada;Soltero;Cerca;20900;0;NA;6;296
Joven;Femenino;Alquilada;Casado;Cerca;69700;2;Medio;6;584
Media;Masculino;Alquilada;Soltero;Cerca;61800;0;Alto;24;1156
Media;Masculino;Propia;Casado;Cerca;102500;1;Alto;24;2464
Media;Femenino;Propia;Casado;Cerca;48900;3;NA;18;915
Media;Masculino;Propia;Soltero;Cerca;60300;0;NA;24;2091
Joven;Masculino;Alquilada;Casado;Lejos;41600;0;Alto;24;1690
Media;Masculino;Propia;Soltero;Cerca;73700;1;Medio;12;1274
Joven;Femenino;Alquilada;Soltero;Cerca;27000;1;NA;24;1012
Media;Femenino;Alquilada;Soltero;Cerca;43700;0;Medio;12;950
Joven;Masculino;Alquilada;Soltero;Cerca;10200;2;NA;12;333
Media;Femenino;Propia;Casado;Cerca;63300;2;Medio;24;679
Joven;Femenino;Propia;Soltero;Lejos;33200;2;Medio;12;607
Adulta;Femenino;Propia;Casado;Lejos;78800;0;Alto;18;3398
Media;Masculino;Propia;Casado;Cerca;82500;0;Alto;6;859
Media;Masculino;Propia;Soltero;Lejos;80800;2;Alto;18;2444
Media;Masculino;Propia;Casado;Cerca;88100;2;Medio;24;1078
Media;Masculino;Alquilada;Casado;Lejos;124800;3;Alto;18;2537
Joven;Masculino;Propia;Soltero;Cerca;31900;0;Medio;6;616
Media;Femenino;Propia;Soltero;Cerca;53300;3;NA;6;508
Adulta;Masculino;Propia;Casado;Lejos;15400;0;Bajo;6;297
Media;Masculino;Propia;Casado;Cerca;70200;0;NA;6;1583
Joven;Femenino;Alquilada;Soltero;Cerca;23000;3;Bajo;6;79
Media;Femenino;Propia;Casado;Cerca;82400;2;Medio;18;657
Media;Femenino;Propia;Casado;Cerca;97900;0;Alto;24;2149
Adulta;Femenino;Alquilada;Casado;Lejos;88400;0;Alto;18;3632
Media;Femenino;Propia;Casado;Cerca;86900;0;Alto;18;2230
Media;Femenino;Propia;Soltero;Cerca;45100;1;Medio;12;448
Media;Masculino;Alquilada;Soltero;Cerca;41800;3;Bajo;24;301
Adulta;Masculino;Propia;Casado;Cerca;74800;0;Alto;18;1968
Media;Femenino;Alquilada;Casado;Cerca;73000;1;Medio;6;490
Media;Masculino;Propia;Casado;Cerca;118500;1;Alto;24;3063
Media;Masculino;Propia;Soltero;Cerca;65300;3;Bajo;6;193
Media;Femenino;Alquilada;Casado;Cerca;66300;2;Medio;12;544
Media;Masculino;Propia;Casado;Lejos;103900;1;Alto;24;2666
Media;Femenino;Propia;Casado;Cerca;71900;0;Alto;18;1846
Media;Masculino;Propia;Casado;Lejos;86100;1;NA;12;1255
Media;Masculino;Propia;Casado;Cerca;96300;1;Alto;12;1081
Joven;Femenino;Alquilada;Soltero;Cerca;10200;3;NA;6;199
Media;Masculino;Propia;Casado;Cerca;96300;2;NA;18;3916
Adulta;Femenino;Propia;Soltero;Lejos;24000;1;Bajo;6;357
Media;Femenino;Alquilada;Casado;Cerca;46700;0;Medio;24;983
Media;Femenino;Alquilada;Soltero;Cerca;53700;2;NA;12;1194
Media;Masculino;Alquilada;Casado;Cerca;108300;2;NA;12;2224
Joven;Femenino;Alquilada;Soltero;Cerca;12100;1;Bajo;6;90
Joven;Masculino;Alquilada;Casado;Cerca;36600;0;NA;6;587
Adulta;Masculino;Propia;Casado;Cerca;66300;0;Alto;12;1088
Joven;Femenino;Propia;Soltero;Cerca;33400;1;NA;6;617
Media;Masculino;Propia;Casado;Lejos;70000;1;NA;6;1227
Media;Femenino;Propia;Soltero;Cerca;47900;1;Medio;24;662
Media;Femenino;Alquilada;Casado;Cerca;40500;2;Bajo;18;622
Adulta;Masculino;NA;Soltero;Cerca;69100;0;Alto;12;1477
Joven;Femenino;Alquilada;Soltero;Cerca;13300;1;NA;6;236
Media;Femenino;Alquilada;Casado;Lejos;75800;1;Alto;12;1830
