"","ID","Edad","Experiencia","Ingreso","Postal","Familia","credito","educacion","cuenta.de.ahorros","servicios.online","Mora"
"94",4904,40,15,18,94534,2,0.1,2,0,1,1
"95",4897,40,15,81,94304,2,0.4,1,0,1,0
"98",4767,41,15,54,91775,3,2.1,1,0,1,0
"99",2194,45,19,25,94609,2,0.1,3,0,1,0
"101",4664,28,3,115,92407,1,1.9,1,1,1,0
"102",4182,47,22,22,90024,1,0.4,3,0,1,0
"104",3985,34,8,18,95741,4,0.3,1,0,0,0
"105",1843,53,29,93,95051,1,2.7,2,0,1,0
"106",4471,44,20,111,91911,2,5.3,2,0,1,0
"107",1444,36,12,25,95051,4,1,1,0,1,0
"108",2129,65,40,40,94104,1,1.1,3,0,0,0
"110",998,46,20,69,92780,3,2.1,1,1,0,0
"114",4924,40,15,73,92029,3,3,1,0,1,1
"117",2043,41,17,121,94102,1,0.3,1,0,1,0
"119",1969,54,24,49,91801,1,1.4,3,0,1,0
"120",1668,44,20,22,90024,1,1,1,0,0,0
"121",2120,39,13,50,94923,3,0.5,3,0,0,0
"122",2376,55,30,69,91007,4,1.3,3,0,1,1
"124",169,50,26,13,91320,4,1,1,1,1,0
"126",3798,61,35,31,92521,2,0.3,1,0,1,0
"127",3963,29,5,31,93014,1,1,3,0,0,0
"128",3580,28,2,84,94305,1,2.9,3,0,0,1
"130",2661,39,14,74,93063,1,0.1,2,0,1,0
"131",2731,56,30,43,90401,2,0.3,1,0,0,0
"132",2785,36,9,115,91765,4,2.2,2,0,0,0
"133",730,58,28,90,93106,1,3,3,1,0,1
"134",1426,64,38,40,91330,1,2.5,3,0,1,1
"135",4972,58,28,73,90024,1,1.4,3,0,0,0
"137",325,56,30,158,90089,4,6.1,1,1,0,0
"138",3981,46,22,89,92866,4,1.4,2,0,1,0
"139",873,32,7,44,90095,4,0.8,1,0,1,0
"140",1655,60,34,102,94305,2,2,1,0,1,1
"141",1890,56,30,111,93106,4,0.3,1,0,1,0
"143",4549,58,33,73,93109,4,0.7,1,0,0,0
"144",4645,58,34,22,94608,1,0.1,2,0,1,0
"146",1172,64,40,43,95014,1,1.9,2,0,1,0
"149",3172,39,12,62,91910,3,2.33,2,1,0,0
"150",4226,43,18,204,91902,2,8.8,1,0,1,0
"151",3710,37,11,43,92521,4,1.2,2,0,0,0
"152",1892,42,18,50,95126,4,2.2,2,0,0,0
"154",2495,35,9,63,92697,2,1.8,1,0,1,0
"155",2318,31,5,129,95814,3,5.9,3,0,0,1
"156",4714,25,1,122,93022,2,0.2,1,0,1,0
"160",4251,52,28,54,90041,4,0.1,3,0,0,1
"162",1236,54,28,60,94110,4,2.6,3,0,0,0
"163",123,58,32,73,94523,2,0.7,2,0,1,1
"164",2352,55,31,74,94611,2,3.2,3,0,1,1
"165",4624,50,25,45,90813,2,0.6,3,0,0,0
"166",2075,52,27,81,91942,1,1.3,3,0,0,1
"167",1679,56,30,73,94035,2,1.1,1,0,0,0
"168",2999,61,35,38,93106,2,0.3,1,0,0,0
"169",274,41,16,65,90095,3,0.5,3,0,1,0
"171",82,47,22,40,94612,3,2.7,2,0,1,0
"172",2034,49,23,83,92126,1,0.3,1,0,1,1
"173",4641,30,6,42,90034,1,2.1,3,0,1,0
"174",590,31,7,128,92821,1,6,1,0,0,0
"175",380,25,0,28,92093,2,1.7,2,0,0,0
"176",4623,47,20,13,94545,3,0.67,2,0,1,0
"177",1176,29,4,58,91006,1,0.8,2,0,1,1
"178",142,35,11,58,95831,3,2,1,0,1,1
"179",3839,37,11,71,94501,2,1.8,1,0,0,0
"180",2711,51,27,39,94304,2,0.8,1,0,0,0
"181",4686,63,39,41,91355,4,1.3,2,0,1,0
"183",1743,64,38,42,95929,2,0.7,3,0,1,0
"184",1952,45,21,84,94550,4,2,3,0,1,1
"185",3804,42,18,83,96001,4,2,3,0,1,0
"186",3154,31,5,18,94111,4,0.3,2,0,0,1
"188",2614,52,26,110,94501,2,5.4,3,0,1,0
"189",3932,53,27,170,95003,1,1,1,0,1,0
"190",2885,28,2,48,93943,4,2.1,3,0,1,1
"191",1235,44,18,33,90405,3,1.5,1,0,1,1
"192",2727,62,37,18,92028,1,1.5,2,0,0,0
"193",3620,45,20,42,94703,1,0.3,3,1,1,0
"194",4410,43,19,75,91765,4,0.2,3,0,1,0
"195",2185,62,36,183,90095,2,3.4,3,0,0,0
"196",1324,52,26,45,91604,3,0.6,2,0,0,0
"197",2634,49,25,13,95054,3,0.4,1,1,1,0
"198",3950,31,5,23,93407,1,0.4,2,0,1,1
"199",2115,62,36,69,95039,2,1.7,3,0,1,0
"200",4620,61,36,23,95521,1,0.1,1,0,0,0
"201",4994,45,21,218,91801,2,6.67,1,1,1,0
"204",3378,35,10,83,95370,4,0.7,3,1,1,0
"205",2970,43,18,60,95039,2,2.2,3,0,0,0
"206",3416,36,12,93,90720,2,2.2,1,0,1,1
"207",866,60,34,22,92037,3,0.3,3,0,1,1
"208",482,33,9,53,94063,1,1.2,1,0,0,1
"209",2500,53,27,38,94105,4,2.8,2,0,1,0
"210",537,25,-1,43,92173,3,2.4,2,0,1,0
"211",672,65,41,105,92612,1,3,2,1,1,0
"214",4317,30,6,95,91950,2,0.2,1,0,1,0
"215",2577,60,36,30,93711,4,1.3,1,0,1,1
"216",1220,45,18,80,92407,3,2.67,2,0,0,0
"217",2147,27,3,30,93108,1,1,3,0,0,0
"218",2193,25,1,13,95814,4,1,1,0,0,1
"219",3800,37,11,44,93109,4,0.2,1,0,0,1
"220",4823,60,36,149,92007,1,4.7,1,0,1,0
"221",2994,65,40,20,92647,3,0.1,3,0,0,1
"223",1737,57,31,131,95133,2,2.7,1,0,0,1
"224",564,51,27,12,94608,4,1,1,0,1,0
"225",135,53,29,98,95035,3,1.8,2,0,0,0
"226",4008,31,7,35,91745,2,1,2,0,0,1
"227",2223,45,20,41,95008,1,0.3,1,0,1,0
"230",1325,52,28,15,95064,1,0.2,1,0,1,0
"233",2249,63,37,8,94618,1,0.8,2,0,1,0
"234",3687,60,35,122,92521,1,1.3,1,0,0,0
"235",4206,61,36,139,95133,2,3.9,1,0,0,0
"236",2926,59,35,42,91711,4,0.4,1,0,1,0
"237",1036,43,17,81,94720,4,2.6,3,0,1,0
"238",192,51,25,29,90404,1,0.3,3,1,0,0
"239",2453,25,1,28,94596,1,1,3,0,1,0
"240",463,29,4,183,91423,3,8.3,3,0,1,0
"241",1418,42,18,52,94061,2,2.5,1,0,0,0
"242",847,51,27,93,92154,1,2.7,1,0,1,0
"244",2164,33,3,69,92161,4,1.8,3,0,1,0
"245",4850,49,25,65,90007,2,1,3,0,1,1
"246",3431,64,38,32,90291,2,0.3,1,0,1,1
"249",2285,47,23,22,94901,4,0.6,1,1,1,1
"250",3762,49,24,25,95831,2,0.7,3,0,1,0
"251",1787,35,11,34,93117,1,1.5,2,0,0,0
"252",88,48,22,78,94305,3,1.1,1,0,1,0
"253",2026,47,20,79,94720,3,2,2,1,0,0
"254",738,64,37,138,94709,2,2.8,2,0,1,0
"255",4176,42,17,154,93955,3,4.9,1,0,1,1
"256",4433,53,27,50,92660,2,0.8,3,0,1,0
"257",1870,55,30,44,94025,2,2,2,0,1,0
"258",369,63,37,30,92054,2,1,3,0,1,0
"259",1250,51,27,80,90032,1,2.6,2,0,1,1
"260",2853,54,29,183,93105,1,8.1,1,0,1,1
"261",2241,41,17,81,92868,4,0.2,3,0,0,0
"262",1100,30,6,52,92717,3,0.7,2,0,1,0
"263",4545,28,4,80,95819,3,2.5,1,0,1,0
"264",933,51,27,112,94720,3,1.8,2,0,1,1
"265",613,65,40,129,90095,1,1.3,1,0,1,1
"266",2919,28,3,142,93727,1,0.8,1,1,1,0
"267",4836,65,39,25,95370,2,0.4,1,1,1,0
"268",4067,61,37,61,94122,3,2,3,0,1,0
"269",223,26,2,104,94306,3,2.5,1,0,0,0
"270",3975,46,21,41,94305,1,0.5,3,0,0,0
"271",4495,29,4,182,95354,1,3.7,3,1,1,0
"272",2547,50,25,9,91911,2,0,1,1,0,0
"273",4533,48,22,133,90073,2,3.1,2,1,1,0
"274",3058,42,18,45,95616,1,0.7,1,1,1,0
"275",4970,45,19,60,94143,2,0.4,3,0,1,0
"276",2024,55,29,55,94720,1,0.2,1,0,1,0
"277",1665,61,35,63,91605,1,1.6,1,0,1,0
"279",2246,54,28,33,94111,2,0.7,2,0,0,1
"280",4995,64,40,75,94588,3,2,3,0,1,0
"281",4258,43,17,48,95762,3,2.2,2,0,0,1
"282",331,54,30,78,92374,4,1,2,0,1,0
"283",2448,44,19,201,95819,2,8.8,1,0,1,1
"284",3093,43,18,113,90036,2,0.4,1,0,0,0
"285",365,54,24,29,92028,3,1,3,0,0,1
"286",2374,33,9,184,94304,2,4.8,2,0,0,0
"288",2264,47,21,28,92868,3,1.5,1,0,1,0
"289",592,30,5,51,92037,1,1,1,0,1,0
"290",4357,43,19,35,90630,1,0.7,1,0,0,0
"292",4555,41,16,109,94801,3,1,1,0,1,0
"293",3312,49,25,24,95819,1,0.3,1,0,0,0
"295",2515,41,16,25,92182,2,0.1,2,0,0,0
"296",3200,33,9,20,95521,4,0.7,2,0,1,0
"300",2278,30,6,32,91330,2,1,2,0,0,0
"301",4902,26,0,54,96094,3,1.1,2,1,1,0
"302",3967,33,7,84,95051,1,2.9,3,0,1,0
"303",3129,38,12,64,94115,2,1.8,1,0,0,0
"305",1218,44,20,122,94305,1,0.3,1,0,1,0
"306",4560,47,20,101,91950,3,2,2,0,1,0
"307",2253,58,32,41,95819,3,1.4,1,0,1,0
"308",943,55,29,30,91320,4,0.7,2,0,0,1
"309",2604,53,27,60,90049,1,0.2,1,0,1,0
"310",2762,35,8,44,95045,4,1,2,0,0,1
"313",3647,34,9,141,92056,3,6.9,2,0,1,0
"314",3507,27,1,58,95827,4,1.8,2,0,1,1
"315",825,39,15,72,94801,4,2.4,1,1,1,0
"318",305,48,23,22,90740,1,0.1,1,0,0,0
"319",2127,44,19,83,92121,4,0.4,1,0,0,0
"320",4829,52,28,62,90089,1,1.8,3,0,1,0
"321",3280,26,-1,44,94901,1,2,2,0,0,0
"322",319,27,2,110,95670,4,1.8,3,0,1,0
"323",723,45,21,132,91103,3,1.2,2,0,1,1
"324",2871,43,17,91,95134,1,5.2,1,0,0,0
"325",4451,44,20,45,94111,2,2.5,1,0,1,0
"327",4580,58,32,41,94305,1,0.2,1,0,1,0
"328",4968,41,16,69,92697,1,0.1,2,0,1,0
"329",1423,32,8,32,94143,2,1,2,0,1,1
"330",2675,30,6,101,90245,2,0.6,1,0,1,0
"332",3034,43,19,130,90630,2,4.7,3,1,0,1
"334",2974,47,22,82,92084,1,2.9,1,0,1,0
"335",1884,56,30,185,91711,1,2.9,1,0,0,0
"338",2884,40,14,92,90024,4,1.4,2,1,1,0
"339",1061,59,34,23,93111,1,0.1,1,0,0,1
"340",2932,31,4,54,91741,2,1,2,0,0,1
"341",4746,49,23,129,94085,1,0.3,1,0,1,1
"342",3857,56,30,81,90401,4,2.6,3,0,1,0
"345",1018,31,5,40,94305,4,1.3,3,0,0,0
"346",961,46,22,144,93611,2,3.3,1,0,1,1
"347",3920,64,34,179,90024,2,4.5,3,0,0,0
"348",4581,50,24,102,91103,2,6.3,1,0,1,0
"349",2487,61,36,130,92717,1,1.3,1,0,0,0
"350",724,50,24,61,94301,4,2.6,1,1,1,0
"351",975,63,38,54,90401,3,2.2,1,0,1,0
"354",2421,63,39,40,91304,1,0.8,1,0,0,1
"355",2683,53,27,81,90032,4,2.6,3,0,1,0
"357",4773,26,2,95,92130,3,0.8,1,0,1,0
"360",2619,23,-3,55,92704,3,2.4,2,0,1,0
"362",4077,49,23,22,92220,1,0.3,3,0,0,0
"363",3686,53,27,93,94588,1,0.8,3,0,0,0
"365",1123,32,7,38,90041,1,1,1,0,1,0
"366",4550,53,29,41,94080,2,0.8,1,0,1,0
"369",4876,61,36,54,94539,3,1.5,1,0,1,0
"370",1306,32,6,28,94025,2,0.3,2,0,1,0
"371",3056,28,2,111,94305,4,2.3,3,1,1,0
"372",2718,23,-2,45,95422,4,0.6,2,0,1,1
"374",379,47,23,38,94618,2,2.1,3,0,0,0
"375",1127,32,8,104,95192,2,3.7,1,0,0,1
"376",1578,34,8,65,92093,1,3,1,0,1,0
"377",3260,33,8,54,92251,3,2.3,1,0,0,1
"378",2378,47,23,160,92037,2,6.67,1,0,0,0
"379",2431,23,-1,73,92120,4,2.6,1,0,1,0
"380",3531,54,28,49,90073,4,2.8,2,0,0,0
"381",952,59,34,83,94105,2,3.4,3,0,1,0
"382",4909,40,16,138,92121,2,6.1,1,0,1,0
"384",914,57,32,34,92507,2,2,2,0,0,0
"385",87,40,16,42,94501,4,2.2,2,0,0,0
"386",2713,31,7,32,91320,1,1.7,1,0,1,0
"387",4093,40,15,171,94539,2,3.3,1,0,1,0
"388",4025,41,15,82,94720,3,0.1,1,1,1,0
"390",4217,60,35,173,90059,3,3.1,3,0,1,0
"392",1173,49,24,45,92104,3,1.7,2,1,1,0
"393",3669,38,13,129,92037,4,0.3,3,0,1,0
"394",959,55,29,78,90747,4,2.6,3,0,0,1
"395",2294,42,17,14,91768,2,0.1,2,0,1,0
"396",1716,39,13,25,95370,3,0.2,2,0,1,0
"397",3210,42,16,173,91355,2,1.5,2,0,1,1
"398",337,36,12,65,95051,3,2.6,2,0,1,0
"399",4921,42,16,28,94002,4,1.5,3,0,1,1
"400",3011,25,1,72,94301,3,0.8,1,0,1,0
"403",4370,50,25,19,94005,4,0.4,2,0,1,1
"404",3706,30,4,30,91770,3,1,1,0,1,0
"405",3899,44,20,129,96001,2,3.3,1,0,1,0
"406",3949,37,12,123,94304,4,3.1,2,0,1,1
"408",4684,52,28,149,92121,2,0.4,1,0,0,0
"410",3775,51,26,52,92521,4,1.8,3,0,1,0
"411",1059,59,34,24,94105,2,0.2,3,0,1,0
"413",4981,29,5,135,95762,3,5.3,1,1,1,1
"415",3936,59,33,53,90034,3,2.5,1,0,1,0
"416",1340,52,25,180,94545,2,9,2,0,1,0
"417",3362,31,5,85,94117,3,1.6,1,0,1,1
"418",4300,30,5,73,90065,1,2.6,2,0,1,0
"419",3033,47,22,19,94590,1,0.4,3,0,1,0
"420",2439,62,37,29,91030,1,0.3,3,0,0,1
"422",988,62,36,84,94609,2,2.8,1,0,1,0
"424",2429,39,12,108,92717,4,3.67,2,0,0,1
"425",31,59,35,35,93106,1,1.2,3,1,1,0
"426",1544,52,26,101,93407,2,2.4,2,0,1,0
"427",2570,35,10,139,90024,1,4.6,1,0,0,0
"428",1152,49,23,12,94720,2,0.1,3,0,1,0
"429",4571,32,6,99,91902,2,4.5,3,0,1,0
"430",2423,58,32,163,95014,2,0.5,1,0,0,0
"431",4380,42,17,53,93023,4,1.9,3,0,1,0
"432",4288,54,28,42,95207,4,2.5,1,1,1,1
"433",4159,59,34,74,92780,4,0.7,1,0,1,1
"435",1361,54,28,85,92028,4,4.9,1,0,1,0
"437",14,59,32,40,94920,4,2.5,2,0,1,0
"438",4879,34,9,41,92093,1,1,1,0,1,0
"439",3123,38,14,54,90095,2,0.6,3,0,0,0
"440",411,47,23,110,94111,2,3.3,1,0,1,1
"441",4964,32,6,98,95054,2,4.5,3,0,0,0
"442",3777,27,3,135,93108,3,2.7,3,0,0,1
"443",3220,39,15,33,92346,1,2,2,0,0,0
"446",4104,44,20,52,94143,1,0.8,3,0,0,1
"447",4832,30,6,42,91711,1,2.1,3,0,0,1
"448",1629,42,18,90,95064,4,0.8,1,0,0,0
"449",579,46,19,49,92124,3,2.5,2,0,1,1
"450",23,29,5,62,90277,1,1.2,1,0,1,0
"451",1136,57,33,9,93106,1,0.1,2,0,1,0
"452",1817,45,19,91,92373,2,1.7,2,0,1,0
"454",3678,59,33,43,94234,2,0.3,1,0,0,1
"455",452,28,-2,48,94132,2,1.75,3,1,1,0
"456",3534,57,32,50,94545,4,2.1,1,0,0,0
"457",3677,62,37,22,95818,1,1.5,2,0,1,0
"459",4031,58,32,44,92354,1,0.8,2,0,0,0
"460",3247,41,17,81,95422,1,0.8,2,0,1,0
"461",1984,31,5,20,94720,2,0.3,1,0,0,0
"462",1164,34,9,138,94720,2,7.8,1,0,1,0
"463",4367,52,28,43,90089,4,1.1,2,0,0,0
"464",342,31,6,55,92038,4,2,2,0,1,0
"465",532,32,6,50,90401,4,2.1,3,0,1,1
"466",2789,45,20,30,96003,1,0.1,1,0,1,0
"467",4126,60,34,95,94104,2,0.7,2,0,1,1
"468",3827,43,19,132,90089,1,5,1,0,0,0
"469",1844,30,6,154,90230,1,6,1,0,0,0
"470",4965,53,27,110,90245,1,4.9,1,0,1,0
"471",1867,48,24,90,94523,1,2.6,2,0,1,0
"472",4951,47,23,19,90089,1,1,1,0,0,1
"476",1701,43,16,71,90089,3,2.33,2,0,0,0
"478",4892,56,31,61,90024,4,0.9,1,1,1,1
"479",4305,64,39,98,95678,3,1.8,2,0,1,0
"480",1497,36,12,18,91330,1,0.5,3,0,0,1
"481",1569,59,33,72,92350,2,0.7,2,0,0,0
"482",910,23,-1,149,91709,1,6.33,1,0,0,1
"483",1686,40,16,89,90011,4,0.8,1,0,1,0
"484",3900,60,34,43,92697,1,1.4,1,0,1,1
"485",1077,40,13,24,94608,3,1,2,0,1,0
"486",62,47,21,125,93407,1,5.7,1,0,0,0
"488",1891,52,27,184,90630,1,8.1,1,0,0,0
"489",4472,56,30,79,94588,3,0.8,1,0,0,0
"490",3347,41,15,65,92037,2,2.8,1,0,1,1
"493",2045,51,25,102,92677,1,0.3,1,0,1,0
"494",432,39,13,75,94305,3,2.1,1,0,1,0
"495",1103,29,3,84,95023,1,2.9,3,0,1,0
"496",3929,57,33,61,92115,3,2.67,1,0,1,0
"497",3868,44,19,61,94080,3,2.7,2,0,0,0
"499",1201,36,12,22,92507,4,1,1,0,1,0
"500",4628,27,1,134,93106,1,1.7,2,0,1,0
"501",956,59,35,14,90840,4,0.7,1,0,1,0
"502",2646,36,12,93,95125,2,2.2,1,0,1,0
"504",2012,46,21,39,92507,4,0,2,0,1,0
"505",2662,66,41,145,90009,1,2.5,1,0,1,0
"506",1593,56,31,192,90089,1,7,3,0,1,0
"507",2542,34,8,171,90212,2,2.2,2,0,1,0
"508",4990,24,0,38,93555,1,1,3,0,1,0
"509",2799,58,33,28,94720,1,0.3,3,0,1,0
"510",708,47,20,25,95064,3,0.67,2,0,1,1
"511",882,44,19,154,92116,2,8.8,1,0,1,0
"512",1342,42,16,55,91355,2,0.7,1,0,0,0
"513",4459,48,22,90,94590,2,0.8,3,0,0,0
"515",1732,43,19,125,92122,3,2.4,1,0,1,0
"516",2339,42,18,130,94611,2,7.5,1,1,0,1
"517",1266,32,2,71,95014,2,1.75,3,0,0,0
"518",67,62,36,105,95670,2,2.8,1,0,0,0
"519",2142,28,4,38,92109,4,1.6,1,0,0,0
"520",3221,61,35,28,93302,2,0.2,3,1,1,0
"521",4286,23,-3,149,93555,2,7.2,1,0,1,0
"522",1704,65,41,40,94542,3,0.1,3,0,1,0
"523",3323,41,16,104,92008,1,4,3,0,1,1
"524",4497,51,25,45,95616,4,2.6,1,0,0,0
"525",2286,48,22,114,92007,1,2.4,3,0,1,0
"526",2504,38,14,20,94024,4,0.4,2,0,1,1
"528",1918,62,32,53,96001,4,1.67,3,0,0,0
"530",3640,51,26,191,94063,1,8.1,1,0,1,0
"531",4579,45,20,90,94143,4,1.1,2,0,1,1
"532",4029,46,20,64,94117,4,2.9,1,0,0,0
"534",1877,62,38,123,90210,1,2.9,1,0,0,0
"535",3248,44,20,113,95032,2,3.3,1,0,1,1
"536",3845,51,27,75,95828,1,2.7,1,0,0,0
"538",3143,34,8,175,95051,4,1.1,3,0,1,1
"539",4468,55,30,99,91768,1,0.1,3,0,0,0
"540",1547,33,9,105,95136,1,4,1,0,1,0
"541",642,35,10,139,95060,2,7.8,1,0,0,0
"542",2906,64,40,8,94110,2,0.3,3,0,1,0
"543",3770,29,4,134,90095,2,3.3,1,0,0,0
"544",467,25,0,13,91342,2,0.9,3,0,1,0
"545",3095,50,23,19,90272,1,0.5,2,0,0,1
"546",100,66,41,15,91711,3,0.1,3,1,1,0
"547",656,50,25,13,91109,2,0.7,3,0,0,0
"548",3500,49,23,114,94550,1,0.3,1,0,1,0
"549",4338,26,2,182,93010,2,3.2,2,0,0,0
"550",1928,35,10,62,93106,3,2.3,1,0,0,0
"551",2545,58,34,90,95039,1,3.6,2,0,0,0
"552",715,50,23,98,92068,3,2,2,0,0,0
"553",674,34,10,22,95670,1,0.5,3,0,0,0
"554",3600,45,19,23,93101,2,0.1,3,0,1,1
"555",4344,38,14,63,95422,1,3.6,2,0,1,0
"556",4565,58,32,28,90095,2,0.3,1,0,0,0
"558",3329,45,20,22,90230,1,0.1,1,0,0,0
"559",3918,41,15,89,94608,3,0.1,1,0,1,0
"560",1279,36,10,74,94305,1,2.5,1,0,0,1
"561",4568,46,20,19,94105,3,0.5,2,0,1,0
"563",3679,49,25,30,92093,4,0.6,1,0,0,0
"564",141,51,25,31,90245,2,0.4,3,0,1,1
"565",3157,54,30,24,92647,1,0.1,2,0,0,0
"567",1566,34,9,104,95758,3,1.2,3,0,1,0
"568",4396,66,41,25,94720,4,0.6,2,0,1,1
"569",3149,48,22,19,95616,2,0.1,3,0,0,0
"571",1180,36,11,98,90291,3,1.2,3,0,0,1
"572",4207,48,23,29,93711,1,1.3,2,0,0,0
"576",1478,40,14,64,91320,4,0.2,3,0,1,1
"577",2790,27,3,34,90065,1,0.2,3,0,1,1
"578",2366,43,18,22,91311,2,0.3,2,0,0,0
"579",3230,33,9,64,92507,4,3.4,1,0,0,0
"580",261,51,27,58,92407,1,0,1,0,0,1
"581",1577,43,18,98,92131,2,0.4,1,0,1,0
"582",4215,46,22,89,94303,1,2.7,1,1,1,1
"583",4053,43,19,54,94608,2,1.7,1,0,1,0
"584",3872,40,16,125,91304,2,1.9,1,0,0,1
"585",4786,30,5,23,94304,2,0.9,3,0,1,0
"586",2768,48,24,59,90401,1,0,1,0,1,0
"587",3270,58,34,68,94305,2,2.8,1,0,0,0
"588",912,47,21,68,94538,4,2.6,3,0,0,0
"589",2237,51,24,23,95616,1,0.5,2,0,1,0
"590",2161,43,17,55,93933,3,2.2,2,0,0,0
"591",4024,51,25,175,90089,3,0.7,1,0,0,0
"592",3225,45,21,58,94025,3,0.3,3,0,1,0
"593",552,59,34,14,93118,1,0.1,1,0,1,1
"595",2485,46,21,30,92697,1,1.4,3,0,0,0
"596",1167,30,5,112,91711,4,5,2,0,0,1
"597",2027,59,33,80,93907,2,0.7,2,0,1,0
"598",137,59,32,49,95035,4,2.5,2,0,1,0
"600",4434,62,38,44,92612,1,1.9,2,1,0,1
"602",2640,52,26,59,95762,3,3,2,0,1,0
"603",953,44,20,180,93943,2,7.6,1,0,0,1
"604",4475,66,41,73,95817,3,2.4,1,1,0,0
"605",4523,31,5,29,90630,1,0.3,1,0,0,0
"606",4766,58,34,82,94025,1,4.3,1,0,0,0
"607",4708,59,35,91,95008,2,1.6,1,0,0,1
"608",3619,35,8,48,92697,2,1,2,0,1,0
"609",4845,31,6,81,90840,2,2.5,1,0,0,0
"610",4615,56,30,15,92093,4,0.7,3,0,0,0
"612",4211,35,8,43,95819,2,1.67,2,1,0,0
"614",4015,56,32,23,94720,4,0.7,1,0,1,1
"615",3098,58,32,44,92182,3,2.2,3,0,0,0
"616",3181,27,3,103,92121,2,0.6,1,0,0,0
"617",2131,55,31,74,94607,3,2.67,1,0,0,1
"619",4073,42,17,78,92521,1,1,3,0,1,0
