Genero;Ocupación;Plan_Internacional;Min_En_Dia;Min_Internacionales;Reclamos;Llamadas_Internacionales;Desafiliado
Masculino;Proyectos personales;si;203.9;10.5;3;6;no
Masculino;Proyectos personales;no;140.4;11.1;1;9;no
Masculino;Otros;no;126.3;9.4;3;2;no
Femenino;Proyectos personales;si;173.1;14.6;0;15;si
Femenino;Educación;no;124.8;10;2;4;no
Masculino;Educación;no;85.8;9.2;3;4;no
Masculino;Otros;no;154;3.5;1;3;no
Masculino;Negocios;no;120.9;8.5;2;5;no
Masculino;Negocios;no;211.3;13.2;3;5;no
Femenino;Negocios;no;187;7.4;2;5;no
Femenino;Educación;no;159.1;8.8;5;3;si
Masculino;Proyectos personales;no;133.2;11;1;3;no
Masculino;Negocios;no;191.9;7.8;3;5;no
Masculino;Otros;no;220.6;6.8;1;3;no
Masculino;Negocios;no;186.1;11.4;2;6;no
Femenino;Negocios;no;160.2;9.3;2;5;no
Femenino;Negocios;no;151;9.7;5;3;si
Masculino;Proyectos personales;no;175.5;10.2;1;3;no
Femenino;Negocios;no;126.9;8;1;2;no
Masculino;Negocios;no;198.4;5.8;3;3;si
Femenino;Negocios;no;148.8;12.1;3;3;no
Femenino;Negocios;no;229.3;12;1;8;no
Femenino;Otros;no;192.1;11.4;1;4;no
Masculino;Educación;no;268.6;11.6;2;3;no
Femenino;Otros;no;193.7;14.6;2;3;no
Femenino;Educación;no;180.7;12.6;3;3;no
Femenino;Proyectos personales;no;131.2;8.2;2;6;no
Masculino;Proyectos personales;no;148.1;6.2;2;5;no
Masculino;Proyectos personales;si;251.5;9.3;0;4;no
Masculino;Negocios;si;125.2;8.3;0;8;no
Masculino;Negocios;no;211.6;7.8;1;1;no
Masculino;Negocios;no;178.9;13.8;4;3;si
Masculino;Educación;no;241.8;11.8;3;7;no
Masculino;Otros;no;224.9;12.1;0;2;no
Femenino;Proyectos personales;no;248.6;8;3;4;no
Masculino;Educación;no;203.4;7.3;1;4;no
Masculino;Educación;no;235.8;12;0;3;no
Masculino;Educación;no;157.1;6.1;1;2;no
Femenino;Proyectos personales;no;300.3;11.7;0;4;si
Femenino;Negocios;no;61.6;8.2;4;7;si
Masculino;Educación;no;214.1;8.2;2;3;no
Femenino;Otros;no;170.2;15;1;2;no
Femenino;Negocios;no;201.1;13.2;1;2;no
Femenino;Proyectos personales;si;215.4;12.6;3;5;no
Femenino;Negocios;no;165.6;11;3;2;no
Femenino;Otros;no;249.5;9.8;1;4;no
Masculino;Otros;no;210.6;12.4;2;1;si
Masculino;Educación;no;179.3;8.6;0;7;no
Femenino;Otros;no;157.9;8;4;5;si
Masculino;Educación;no;214.3;12;1;2;no
Femenino;Educación;no;154.1;10.9;2;9;no
Masculino;Proyectos personales;no;237.9;13.9;1;4;si
Femenino;Educación;no;143.9;11.1;1;2;no
Masculino;Educación;no;203.4;8.9;0;4;si
Masculino;Proyectos personales;no;124.3;7.9;1;9;no
Femenino;Educación;no;252.9;9.5;3;7;no
Masculino;Negocios;no;179.1;10.6;3;7;no
Masculino;Proyectos personales;no;278.4;9.8;1;5;no
Femenino;Educación;no;160.1;13;0;4;no
Masculino;Negocios;no;198.2;8.7;4;3;no
Masculino;Otros;no;212.1;5.3;1;5;si
Masculino;Otros;no;251.8;9.8;2;7;si
Masculino;Educación;no;161.2;4.4;4;8;no
Masculino;Educación;no;178.3;14.6;0;5;no
Masculino;Educación;no;151.7;10.5;0;6;no
Femenino;Otros;no;135;12.5;1;9;no
Masculino;Educación;no;170.5;11.3;1;2;no
Masculino;Otros;no;238.1;11.8;4;4;no
Masculino;Educación;no;281.4;9;2;6;no
Femenino;Negocios;no;117.9;9.8;1;3;no
Masculino;Otros;no;148.6;10.1;1;1;no
Femenino;Otros;no;229.8;9.6;3;7;no
Femenino;Otros;no;165;8.3;1;8;no
Masculino;Otros;no;185;12.6;2;2;no
Femenino;Proyectos personales;no;161;12.1;4;4;no
Masculino;Otros;no;126.7;13.3;1;7;no
Femenino;Otros;no;58.9;9.4;1;3;no
Femenino;Educación;si;196.8;20;0;6;si
Masculino;Negocios;no;162.6;14.2;1;3;no
Masculino;Educación;no;282.5;9.4;1;4;si
Masculino;Educación;no;113.7;10;2;3;no
Masculino;Negocios;no;239.8;8.7;2;5;no
Femenino;Otros;no;210.2;13.1;1;7;no
Masculino;Otros;no;213.8;7.2;0;3;no
Femenino;Otros;no;190.7;9.8;3;4;no
Masculino;Negocios;no;170.9;11.6;1;3;no
Masculino;Otros;no;154.2;9.2;2;5;no
Femenino;Proyectos personales;no;201.4;12;1;3;no
Masculino;Proyectos personales;no;70.7;9.1;4;3;si
Femenino;Proyectos personales;no;187.5;6.4;4;6;si
Masculino;Negocios;no;91.7;9.2;2;4;no
Femenino;Negocios;no;214.2;9.5;3;4;no
Femenino;Proyectos personales;no;145.5;10.9;3;2;no
Masculino;Negocios;no;166.3;6.1;1;5;no
Femenino;Negocios;no;231;9.5;1;3;no
Masculino;Otros;no;200.3;7.1;4;1;no
Masculino;Negocios;no;197;9.1;1;10;no
Masculino;Proyectos personales;si;129.9;11.2;3;3;no
Femenino;Educación;no;175.8;5.3;5;4;no
Femenino;Educación;no;203.1;12;3;3;no
Femenino;Negocios;no;183.2;11.2;1;8;no
Masculino;Negocios;no;205;10.2;2;5;no
Masculino;Educación;no;148.5;12.4;1;3;no
Femenino;Otros;no;200.3;10.5;0;4;no
Masculino;Negocios;no;192.6;6.8;3;5;no
Femenino;Educación;no;246.5;11.7;1;4;no
Masculino;Negocios;si;167.1;14.1;2;7;si
Femenino;Negocios;no;231.9;14.3;3;6;no
Masculino;Otros;no;146.7;13.7;1;3;no
Masculino;Otros;si;271.5;11.7;1;4;no
Femenino;Proyectos personales;no;181.5;8.5;1;5;no
Masculino;Negocios;no;257.7;11.1;2;4;no
Femenino;Proyectos personales;no;193.8;10.6;1;6;no
Masculino;Proyectos personales;no;102.8;10.1;1;7;no
Masculino;Proyectos personales;no;187.9;7.5;1;6;no
Masculino;Proyectos personales;no;226;6.9;1;11;no
Masculino;Educación;no;260.4;11.5;5;4;no
Femenino;Educación;no;178.7;9.8;0;4;no
Femenino;Educación;no;337.4;15.8;0;7;si
Femenino;Otros;no;157.6;13.7;0;2;no
Masculino;Proyectos personales;no;183.6;10.2;1;2;no
Femenino;Educación;no;142.1;9.6;1;4;no
Masculino;Proyectos personales;no;136.3;7.1;0;5;no
Masculino;Otros;no;217.1;12;0;6;no
Femenino;Otros;no;187.5;10.5;3;5;no
Masculino;Otros;no;98.9;12.2;1;1;no
Masculino;Negocios;no;206.3;6.1;1;3;no
Masculino;Otros;no;243.1;12.1;2;2;no
Masculino;Otros;no;189.8;7.5;1;3;no
Femenino;Otros;no;202;10.9;1;3;no
Masculino;Proyectos personales;no;170.1;12.8;1;4;no
Femenino;Otros;no;230.9;6.3;0;2;no
Femenino;Negocios;no;237.1;13.2;1;2;no
Femenino;Educación;no;182.1;10.6;2;5;no
Femenino;Otros;no;119.3;10.5;3;4;no
Femenino;Negocios;no;116.8;14.1;1;2;no
Masculino;Proyectos personales;no;219.2;6.1;0;5;no
Masculino;Otros;no;252.6;11.1;2;7;no
Femenino;Proyectos personales;no;147.1;12.2;0;3;no
Masculino;Otros;no;202.1;11.5;2;3;no
Femenino;Negocios;no;173.5;16.2;3;10;no
Femenino;Proyectos personales;no;232.1;0;3;0;no
Femenino;Negocios;si;197.1;9.5;4;5;no
Femenino;Negocios;no;58.2;11.9;5;1;si
Masculino;Educación;no;115.6;9.9;2;12;no
Femenino;Educación;no;186.1;14.6;2;7;no
Masculino;Proyectos personales;si;259.9;8.4;3;3;no
Femenino;Educación;no;214.3;10.8;1;13;no
Masculino;Educación;no;158.7;10.2;1;4;no
Masculino;Educación;no;271.6;10.9;2;3;no
Masculino;Otros;no;160.6;9;1;3;no
Femenino;Negocios;no;232.4;9.1;1;3;no
Femenino;Otros;no;133.8;8.9;0;4;no
Masculino;Educación;no;176.9;9.5;1;2;no
Masculino;Otros;no;209.9;8.8;2;4;no
Femenino;Negocios;no;137.5;13.4;0;2;no
Masculino;Proyectos personales;no;289.5;9.5;1;4;no
Masculino;Negocios;no;198.1;6.8;1;6;no
Femenino;Educación;no;149.7;9.7;0;8;no
Masculino;Otros;no;326.5;10.7;2;6;si
Femenino;Otros;si;292.9;13.8;4;7;si
Femenino;Proyectos personales;no;83;13;0;3;no
Masculino;Negocios;no;145.7;13.1;3;5;no
Masculino;Negocios;no;182.3;11.2;2;1;no
Femenino;Educación;no;218;6.4;3;8;no
Femenino;Educación;no;140.6;6.8;2;3;no
Femenino;Negocios;no;152.7;9.4;1;4;no
Masculino;Educación;no;106.7;12.1;1;2;no
Femenino;Negocios;no;243.8;13.7;2;8;no
Masculino;Otros;no;194.4;10.8;3;5;no
Femenino;Otros;no;213.9;12.2;3;5;no
Femenino;Negocios;no;217.2;15.8;3;7;no
Masculino;Educación;no;241.1;11.6;1;10;no
Masculino;Negocios;si;203.5;11.9;0;11;no
Masculino;Educación;no;155.2;10.7;1;3;no
Femenino;Educación;no;167.6;12.2;1;6;no
Masculino;Proyectos personales;si;226.7;17.6;2;4;si
Femenino;Negocios;no;179.3;11.5;3;6;no
Femenino;Negocios;no;151.4;10.9;0;3;no
Femenino;Educación;no;180;4.7;3;7;no
Femenino;Negocios;no;250.2;13;1;2;si
Femenino;Otros;no;223;7.1;0;12;no
Masculino;Otros;no;183.6;12.2;3;6;no
Masculino;Educación;no;166;10.2;1;6;no
Masculino;Proyectos personales;no;136.1;4.4;1;2;no
Masculino;Proyectos personales;no;149.3;8.9;2;6;no
Femenino;Educación;no;65.4;13.8;2;1;no
Femenino;Proyectos personales;no;213.4;2.7;1;4;no
Masculino;Negocios;no;206.9;7.7;3;2;no
Femenino;Educación;no;186.2;9.6;2;3;no
Masculino;Negocios;no;280.2;13.3;4;3;no
Masculino;Educación;no;196.6;11.9;0;3;no
Femenino;Proyectos personales;si;312;10.5;0;2;si
Femenino;Proyectos personales;si;199;11;1;6;no
Femenino;Proyectos personales;no;203.1;13.5;3;2;no
Femenino;Negocios;no;168.8;10.9;0;2;no
Femenino;Educación;si;173.1;9;1;5;no
Femenino;Negocios;no;134.4;10.2;5;2;si
Masculino;Proyectos personales;no;202.6;9;2;9;no
Masculino;Negocios;no;74.5;9.8;3;7;no
Femenino;Negocios;no;83.6;10.7;0;9;no
Femenino;Negocios;no;192.2;9.4;1;6;no
Femenino;Negocios;no;220.2;12.9;0;5;no
Masculino;Negocios;si;135.1;12.3;2;2;si
Femenino;Otros;no;253.4;8.4;1;2;no
Femenino;Negocios;no;225;7.1;3;2;no
Masculino;Otros;no;198.5;9.4;0;3;si
Masculino;Proyectos personales;no;110.3;9.5;0;5;no
Femenino;Negocios;no;60;11.1;0;3;no
Masculino;Educación;no;214.8;10.2;0;5;no
Femenino;Educación;no;181.8;9.2;4;2;no
Masculino;Educación;no;154;11.8;2;4;no
Femenino;Otros;no;157.4;13.9;4;11;si
Femenino;Proyectos personales;no;207.9;14.4;4;7;no
Masculino;Proyectos personales;no;207;9.1;3;8;no
Femenino;Otros;no;119;9.5;0;3;no
Femenino;Educación;si;143.7;10.9;0;3;no
Femenino;Educación;no;165.9;14.1;4;8;no
Masculino;Educación;no;138.6;9.8;1;3;no
Masculino;Educación;no;84.7;14.5;1;8;no
Masculino;Proyectos personales;si;62.6;10.4;1;2;si
Femenino;Otros;no;155.2;8.7;1;4;no
Femenino;Otros;no;164.9;6.7;1;9;no
Femenino;Educación;no;134.5;15.4;1;1;no
Femenino;Otros;no;143.3;11.5;1;3;no
Femenino;Otros;no;168.3;12.5;1;1;no
Masculino;Otros;no;262.4;8.3;2;6;no
Masculino;Otros;no;206.2;11.4;1;6;no
Masculino;Negocios;no;225.8;8.4;4;9;no
Femenino;Otros;no;138.3;13.5;3;6;no
Masculino;Negocios;no;94.4;4.5;0;4;no
Femenino;Proyectos personales;si;160;9.9;2;3;no
Femenino;Negocios;no;206.6;14.6;0;3;no
Masculino;Negocios;no;134.7;7.7;1;3;no
Masculino;Proyectos personales;no;214.4;8;3;13;no
Femenino;Otros;no;192.8;13;3;3;no
Femenino;Proyectos personales;no;151.1;10;1;3;no
Masculino;Proyectos personales;no;221.4;9.8;3;5;no
Masculino;Otros;si;218.9;11.1;0;4;no
Femenino;Educación;no;189.8;6.5;2;2;si
Femenino;Otros;no;192.7;10.9;2;6;no
Masculino;Proyectos personales;si;204.4;10.5;3;6;no
Femenino;Negocios;no;172.3;13;2;4;no
Masculino;Proyectos personales;no;198.4;10.4;2;6;no
Femenino;Proyectos personales;no;211.7;12.2;1;1;no
Femenino;Negocios;no;221.6;9;1;2;no
Masculino;Proyectos personales;no;197.9;6.7;3;5;no
Femenino;Educación;no;147.5;15.6;2;3;no
Femenino;Negocios;no;206.4;8.8;2;5;no
Masculino;Otros;no;205.9;14.5;2;4;no
Femenino;Proyectos personales;no;207.6;14.1;0;5;no
Femenino;Otros;no;303.9;5.3;1;3;si
Masculino;Otros;no;230.6;8;0;2;no
Femenino;Otros;no;99.5;9.7;0;3;no
Femenino;Negocios;no;177.1;5.9;1;4;no
Femenino;Proyectos personales;no;172.7;10.3;5;5;si
Femenino;Negocios;no;172.7;9.8;1;3;no
Masculino;Otros;no;204.2;9.5;1;5;no
Femenino;Negocios;no;85.7;10.1;2;5;no
Masculino;Educación;no;157.6;11.9;0;1;no
Femenino;Educación;no;215.5;6.6;4;9;no
Femenino;Negocios;no;181.5;6.6;1;5;no
Masculino;Otros;no;171.7;11.9;2;4;no
Masculino;Negocios;no;266.6;5.9;1;2;si
Masculino;Otros;no;170.4;11.2;0;3;si
Masculino;Negocios;no;158;9.1;1;4;no
Masculino;Negocios;no;92;10.3;1;10;no
Masculino;Otros;no;234;9.1;2;5;no
Masculino;Proyectos personales;no;272.1;8.5;1;10;si
Masculino;Educación;no;296.4;11.4;4;3;si
Femenino;Educación;no;194.4;11.4;0;2;no
Masculino;Negocios;no;227.2;8.9;3;4;no
Femenino;Educación;no;248.7;13.2;1;2;si
Femenino;Otros;no;236.3;9.7;1;6;no
Masculino;Educación;no;205.6;10.9;0;3;no
Femenino;Negocios;no;94.1;9.8;0;4;no
Masculino;Negocios;no;125.2;18.9;0;2;no
Femenino;Proyectos personales;no;60.4;12.4;1;3;no
Femenino;Negocios;no;121;7.7;2;4;no
Masculino;Proyectos personales;no;117.8;7.6;3;3;no
Masculino;Proyectos personales;no;232.4;5;3;5;no
Femenino;Proyectos personales;si;223.5;9.4;2;2;si
Femenino;Negocios;no;176.3;6.2;0;3;no
Femenino;Negocios;no;125.2;12.9;1;3;no
Femenino;Negocios;no;138.7;10;0;3;no
Masculino;Otros;no;86.3;11.3;1;4;no
Masculino;Educación;no;207;13.4;3;5;no
Masculino;Educación;no;58.8;7.1;0;3;no
Femenino;Educación;no;68.7;11.4;1;4;no
Masculino;Proyectos personales;no;239.2;9.5;1;4;no
Femenino;Educación;no;198.3;12.5;0;3;no
Femenino;Negocios;no;205.2;14.4;0;12;no
Femenino;Proyectos personales;no;192.1;7.9;3;2;no
Femenino;Negocios;no;272.6;9.5;1;2;si
Masculino;Otros;no;128.3;12.2;7;5;si
Femenino;Proyectos personales;no;169.6;9.3;0;4;no
Femenino;Otros;no;201.3;7.5;1;4;no
Femenino;Educación;no;214.7;8.6;1;4;no
Masculino;Educación;no;169.2;10.6;0;2;no
Masculino;Proyectos personales;no;194.1;7;2;7;no
Masculino;Otros;no;233.8;7.6;2;3;no
Masculino;Negocios;no;225.1;14.6;0;2;no
Femenino;Negocios;no;213;9.1;1;1;si
Masculino;Proyectos personales;no;183.9;10.8;1;11;no
Femenino;Educación;no;221.8;14;0;7;no
Masculino;Proyectos personales;no;64.6;0;2;0;no
Masculino;Proyectos personales;no;154.6;13.3;1;3;no
Masculino;Otros;no;260.2;7.2;3;8;no
Femenino;Educación;no;161.6;12.2;1;5;no
Femenino;Negocios;no;220.6;10.5;1;11;no
Masculino;Educación;no;155.9;13.1;3;5;no
Femenino;Educación;no;107;12.8;4;3;si
Femenino;Otros;no;182.5;11.3;4;8;no
Masculino;Otros;si;220.1;10.1;4;4;no
Masculino;Educación;no;152.2;5.3;1;3;no
Femenino;Negocios;no;181.5;14.7;2;9;no
Femenino;Proyectos personales;si;236.2;13.2;2;2;si
Femenino;Proyectos personales;no;166.1;12.7;1;2;no
Femenino;Educación;si;244.6;11.3;1;4;no
Femenino;Proyectos personales;no;134.2;8.5;2;2;no
Masculino;Negocios;si;149.7;9.2;1;4;no
Masculino;Educación;no;150.1;5.8;1;4;no
Masculino;Educación;si;257.1;8.8;1;6;si
Femenino;Otros;no;124.4;11.3;0;6;no
Masculino;Educación;no;141.7;12;1;5;no
Masculino;Proyectos personales;no;230;11.3;2;3;no
Femenino;Otros;no;162.3;10.9;0;2;no
Masculino;Negocios;no;350.8;10.1;1;9;si
Masculino;Negocios;no;193.3;9.1;4;3;no
Femenino;Negocios;no;78.2;18;1;3;no
Masculino;Educación;no;83.4;7.6;1;5;no
Femenino;Educación;no;195.6;16;0;2;no
Masculino;Otros;no;201.8;10.3;1;6;no
Femenino;Negocios;no;197;10.6;2;6;no
Masculino;Otros;si;218;12.4;0;1;si
Femenino;Otros;no;164.8;14.8;2;2;no
Femenino;Negocios;no;179.2;9.2;2;6;no
Masculino;Otros;no;214;10.6;0;5;no
Masculino;Proyectos personales;no;170.5;11.2;2;7;no
Femenino;Negocios;no;205.7;6.7;1;18;no
Masculino;Proyectos personales;si;165.5;11.5;1;2;si
Femenino;Otros;no;221;6.8;2;4;no
Masculino;Proyectos personales;no;242.1;14.7;3;2;no
Masculino;Otros;no;151.6;14.7;1;4;no
Femenino;Proyectos personales;si;176.2;5.7;0;4;no
Masculino;Otros;si;196;3.7;1;5;no
Masculino;Negocios;no;159.5;7.2;2;4;no
Femenino;Otros;no;230.2;10.7;4;7;no
Masculino;Negocios;no;146.7;8.9;3;1;no
Femenino;Proyectos personales;no;210.5;8.5;1;5;no
Femenino;Otros;no;102;10.7;1;3;no
Femenino;Educación;no;126;10.2;3;6;no
Femenino;Negocios;no;168.4;11.1;1;2;no
Masculino;Proyectos personales;no;105.6;8.7;0;3;no
Masculino;Negocios;no;206.5;12.4;5;5;no
Femenino;Educación;no;217.1;9.4;2;3;no
Masculino;Otros;no;229.6;10.8;0;2;si
Masculino;Otros;no;278.3;9.7;0;5;no
Femenino;Otros;no;138.6;7.8;0;4;no
Femenino;Proyectos personales;no;234.4;2;1;2;si
Femenino;Negocios;no;181.5;8.5;1;4;no
Femenino;Otros;no;167.3;10.6;1;5;si
Femenino;Negocios;no;121;12;1;1;no
Masculino;Negocios;no;221.1;10.6;0;3;no
Masculino;Negocios;no;145.8;9.9;1;2;no
Masculino;Educación;no;222.8;11.2;1;6;no
Masculino;Educación;no;183.4;7.5;4;3;no
Masculino;Negocios;si;264.3;9.3;0;5;no
Femenino;Otros;no;146;6.8;0;7;no
Masculino;Otros;no;157.1;8.5;4;5;si
Femenino;Negocios;si;127.3;10.3;1;3;no
Femenino;Otros;no;187.9;4.8;2;4;no
Masculino;Negocios;no;178.8;8.4;2;5;no
Femenino;Educación;no;97.2;10.4;2;6;no
Femenino;Educación;no;259.8;5.4;0;1;no
Femenino;Proyectos personales;no;256.5;7;3;5;no
Masculino;Negocios;no;169.5;10;0;3;no
Femenino;Negocios;no;239.7;8.7;2;3;si
Femenino;Negocios;si;171.5;5;1;2;si
Femenino;Otros;no;239.9;9.8;0;2;no
Femenino;Educación;no;142.3;16;1;6;no
Masculino;Otros;no;184.1;7.5;2;6;no
Masculino;Otros;no;206.9;9.3;2;11;no
Femenino;Negocios;no;259.9;15.3;1;1;no
Masculino;Negocios;no;203.8;12.5;0;3;no
Masculino;Educación;no;248.8;10.3;3;2;no
Femenino;Educación;no;221.6;11.3;1;3;no
Masculino;Otros;si;192.9;10.9;1;4;no
Masculino;Proyectos personales;no;122.4;12.5;1;7;no
Masculino;Proyectos personales;no;104.9;9.6;1;9;no
Masculino;Negocios;no;173.2;11.2;3;5;no
Masculino;Educación;no;119.4;12.4;2;7;no
Femenino;Otros;no;250.3;13.3;2;2;si
Femenino;Educación;no;178.3;11.4;1;4;no
Masculino;Negocios;no;243.4;12.8;1;2;no
Masculino;Negocios;no;155;11.8;2;5;no
Femenino;Educación;no;288.7;8.6;0;3;no
Masculino;Negocios;no;240.4;11.2;1;3;no
Femenino;Proyectos personales;no;190.3;8;1;3;no
Masculino;Negocios;no;278;8.3;0;4;si
Femenino;Negocios;no;155;13.5;1;3;no
Masculino;Educación;no;153.5;6.3;2;2;no
Femenino;Proyectos personales;no;273.4;12.3;1;6;no
Masculino;Otros;no;155.3;12.4;0;4;no
Masculino;Otros;no;133.1;6.8;1;3;no
Masculino;Negocios;no;246.8;12.6;1;5;no
Masculino;Educación;si;165.4;9.6;2;7;no
Masculino;Proyectos personales;no;59.5;11.1;0;6;no
Masculino;Educación;no;138.3;9.6;3;4;no
Femenino;Negocios;no;286.7;6.9;2;5;no
Femenino;Negocios;no;117.3;12.2;1;3;no
Masculino;Otros;no;264.3;6.3;4;3;no
Femenino;Proyectos personales;no;127.9;12.5;0;5;no
Femenino;Otros;no;225.5;9.8;0;2;no
Femenino;Negocios;no;149;8.3;0;3;no
Masculino;Educación;no;198.9;14.3;1;9;no
Masculino;Proyectos personales;no;256.4;11.1;1;1;si
Femenino;Otros;no;264.8;14.8;1;2;si
Masculino;Proyectos personales;no;98.2;9.3;2;2;no
Femenino;Otros;no;159.8;9.7;2;7;no
Masculino;Proyectos personales;no;190.6;6;3;3;no
Masculino;Negocios;no;184;11;0;3;no
Masculino;Negocios;no;261.8;9.6;1;5;no
Femenino;Negocios;no;147.9;9.6;3;9;no
Femenino;Negocios;no;106.4;10.1;1;5;no
Femenino;Proyectos personales;no;133.7;5.9;0;2;no
Masculino;Otros;no;193.5;8.5;0;5;no
Masculino;Negocios;si;178.2;13.6;3;3;si
Femenino;Educación;no;226.2;10.5;3;5;si
Femenino;Proyectos personales;no;170.4;11.6;1;4;no
Masculino;Negocios;no;70.9;11.1;3;5;no
Femenino;Educación;no;194.4;17.2;2;9;no
Femenino;Otros;no;240.3;10.6;1;2;no
Femenino;Otros;no;75;9.5;3;6;no
Femenino;Educación;no;69.1;6.3;1;3;no
Masculino;Proyectos personales;no;96.6;6.2;4;4;si
Masculino;Negocios;no;214.6;14.8;0;12;no
Masculino;Negocios;no;148.5;9.9;3;6;no
Femenino;Proyectos personales;no;258.1;11.7;1;5;no
Femenino;Proyectos personales;no;149.7;7.6;3;2;no
Masculino;Educación;no;149.8;8.1;1;2;no
Masculino;Negocios;no;190.4;11.2;2;4;no
Masculino;Proyectos personales;no;181.4;11.6;1;6;no
Femenino;Educación;no;151.1;5.3;1;3;no
Masculino;Proyectos personales;no;155.7;8.1;0;4;no
Masculino;Otros;no;149.9;13.3;2;13;no
Femenino;Educación;no;222.3;11;3;2;no
Masculino;Negocios;no;149.4;6.7;0;2;no
Masculino;Proyectos personales;si;233.8;12.8;0;3;no
Masculino;Otros;no;204.2;10.5;0;2;no
Femenino;Proyectos personales;no;242.9;0;1;0;no
Masculino;Educación;no;150.4;12.3;1;4;no
Masculino;Proyectos personales;no;208.9;12.8;0;7;no
Masculino;Negocios;si;191.9;14.3;1;6;si
Femenino;Proyectos personales;si;130.7;9.4;2;2;si
Femenino;Negocios;no;119.6;5.9;2;2;no
Masculino;Negocios;no;273.6;8.2;1;4;no
Masculino;Educación;si;156.1;11.1;2;9;no
Femenino;Negocios;no;178.7;8;2;4;no
Masculino;Otros;no;177.5;11.9;2;3;no
Femenino;Otros;si;211.3;9.7;4;4;si
Masculino;Negocios;no;175.2;7.5;1;2;no
Masculino;Proyectos personales;no;114.3;12.6;3;7;no
Femenino;Proyectos personales;no;251.4;7.5;1;5;no
Femenino;Proyectos personales;si;216.9;17.5;1;5;si
Masculino;Educación;si;217.2;9.3;0;3;no
Masculino;Negocios;no;206.3;12.4;0;12;no
Masculino;Negocios;no;159.3;11.1;1;5;no
Femenino;Educación;no;143.1;11.4;2;5;no
Masculino;Negocios;no;154;5.6;3;2;si
Masculino;Otros;no;186.6;11.6;1;5;no
Femenino;Educación;no;170.8;9.6;5;5;si
Femenino;Otros;no;124;12.3;1;3;no
Femenino;Proyectos personales;no;198.3;14.8;3;8;no
Masculino;Educación;no;172.8;9.1;2;8;no
Femenino;Negocios;no;217.4;6.6;0;3;no
Femenino;Otros;si;265.9;14;0;12;si
Masculino;Otros;no;93.6;17.5;1;5;no
Femenino;Proyectos personales;no;98.2;7.6;2;1;no
Masculino;Proyectos personales;no;214.7;9.4;2;4;no
Femenino;Otros;no;168.2;12.9;1;3;no
Femenino;Negocios;no;202.9;9;3;3;no
Femenino;Educación;no;261.4;11.6;1;2;no
Femenino;Otros;no;73.3;8.2;4;3;si
Femenino;Otros;no;253.7;9.2;7;5;no
Masculino;Educación;no;45;9.8;2;6;no
Masculino;Negocios;no;231.3;13;1;6;no
Masculino;Negocios;no;47.4;10.5;2;8;no
Masculino;Otros;no;227.4;12.5;0;3;no
Femenino;Negocios;no;40.9;11.9;0;7;no
Femenino;Educación;no;124.8;8.6;2;4;no
Femenino;Proyectos personales;si;68.5;12.1;0;9;no
Masculino;Educación;no;163.5;7.8;2;4;no
Masculino;Otros;no;163;6.7;2;3;no
Masculino;Negocios;no;213.7;10.7;2;5;no
Femenino;Educación;no;201.3;5.4;1;3;no
Femenino;Educación;no;310.4;9.2;4;10;no
Femenino;Otros;no;48.4;18.2;1;1;no
Masculino;Proyectos personales;no;171.2;14;1;6;no
Femenino;Negocios;no;166.5;8.5;0;3;no
