Id_cliente;Edad;Genero;Venta_total;N_Compras;FechaCompra;MontoCompra;MetodoPago;Tiempo;Navegador;Boletin;Vale
504404;32;0;15;1;29.03.21;14.177;1;469;0;1;1
504405;34;0;33.9;1;07.09.21;32.205;1;570;1;0;1
504406;31;0;35.9;2;21.08.21;19.35;2;686;0;0;0
504407;18;0;269.3;6;21.02.21;49.074;0;919;2;1;0
504408;22;0;163.4;3;31.10.21;58.634;1;531;0;0;0
504409;48;1;51.1;2;14.03.21;31.905;1;626;0;0;0
504410;18;0;464.2;4;21.10.21;92.996;2;810;0;0;0
504411;27;0;44.8;2;03.01.21;23.933;1;865;0;1;0
504412;31;1;75;5;18.10.21;23.731;0;860;0;1;1
504413;57;0;60.9;2;15.10.21;28.267;1;603;0;0;0
504414;45;0;45.1;1;12.10.21;42.813;0;492;0;0;0
504415;29;0;81.1;2;31.08.21;52.509;0;837;2;1;0
504416;52;1;62.7;1;22.06.21;59.243;0;1038;0;0;1
504417;27;0;313.8;7;15.09.21;30.648;1;698;1;0;0
504418;48;1;381.2;11;12.04.21;60.955;1;554;1;1;0
504419;20;1;85.2;5;12.10.21;26.323;1;703;0;0;0
504420;49;0;414.7;4;22.07.21;133.484;1;851;0;0;0
504421;31;1;1025.8;12;17.06.21;57.89;1;718;1;1;0
504422;24;0;81.6;8;04.07.21;13.852;0;993;2;1;0
504423;33;0;141.6;4;27.07.21;28.111;0;946;0;0;0
504424;39;0;117.7;4;14.01.21;24.409;1;773;2;0;0
504425;30;1;816.3;7;21.02.21;90.835;1;428;0;0;0
504426;43;0;74.6;4;31.03.21;27.27;1;655;0;0;1
504427;29;0;53;4;11.02.21;14.96;1;681;0;0;1
504428;43;1;511.7;8;10.06.21;55.324;1;646;0;0;0
504429;41;0;82.2;8;01.09.21;9.602;1;814;0;0;0
504430;35;1;124;2;27.08.21;33.743;2;818;0;0;1
504431;31;1;83;1;21.06.21;59.331;1;479;0;0;1
504432;38;1;78.6;2;09.11.21;30.123;1;905;1;1;0
504433;43;1;1089.1;14;26.07.21;66.759;1;783;0;1;0
504434;61;1;100.7;2;29.01.21;42.401;2;804;2;1;0
504435;47;0;90;3;07.10.21;23.322;2;854;3;0;0
504436;48;1;305.1;5;29.07.21;39.992;1;642;0;1;0
504437;73;1;128.3;2;20.08.21;79.535;2;1007;0;0;0
504438;42;1;163.9;3;26.07.21;47.153;1;754;0;1;1
504439;42;1;45.6;1;22.07.21;43.307;0;992;3;0;0
504440;44;1;111.4;2;03.02.21;43.427;2;619;0;1;0
504441;24;1;51.4;2;24.07.21;25.456;1;1039;0;1;0
504442;31;0;29.5;2;18.10.21;16.679;1;547;4;0;0
504443;30;0;186;5;21.04.21;41.921;2;1239;0;1;0
504444;44;1;435.3;6;09.08.21;78.995;1;609;0;1;1
504445;34;1;101.1;2;12.01.21;44.707;1;910;3;1;0
504446;38;0;83.4;5;07.05.21;18.667;1;655;3;0;0
504447;49;0;272.2;9;09.06.21;43.94;2;909;0;0;0
504448;46;1;651;10;25.12.21;55.526;1;773;0;1;0
504449;34;0;465.6;8;20.03.21;60.335;0;584;0;0;0
504450;28;1;110.1;4;11.04.21;46.62;2;277;0;1;0
504451;50;1;42.4;1;30.05.21;40.28;1;1231;0;0;0
504452;45;0;145.5;5;29.12.21;27.289;1;793;0;0;0
504453;18;0;405.3;11;08.11.21;31.488;2;230;1;1;0
504454;32;1;356;5;13.01.21;54.231;1;794;2;1;0
504455;38;0;184.1;9;27.03.21;23.419;0;844;3;1;0
504456;45;1;42.6;2;27.10.21;27.373;1;611;2;1;1
504457;47;0;343.6;6;22.01.21;50.188;2;652;0;1;0
504458;39;0;70.5;2;09.11.21;48.208;2;776;0;1;1
504459;43;0;386.3;7;13.04.21;68.214;1;996;0;1;0
504460;37;1;332.6;6;01.12.21;53.156;2;798;0;1;0
504461;28;1;205;7;18.04.21;27.528;2;1043;0;1;0
504462;33;1;395.6;5;08.06.21;69.423;1;944;2;1;0
504463;36;0;165.6;4;30.08.21;40.508;2;739;0;1;0
504464;36;1;638.3;17;16.02.21;48.524;2;497;0;1;0
504465;18;0;338.5;13;23.07.21;28.651;1;739;0;0;0
504466;31;1;180.5;4;04.07.21;44.525;1;805;4;1;0
504467;37;1;116.8;3;14.10.21;28.543;2;771;1;1;0
504468;33;0;168.6;10;30.12.21;15.819;2;894;0;1;1
504469;33;1;166.3;2;31.08.21;80.217;1;935;0;0;0
504470;42;0;257.1;9;30.05.21;26.272;1;816;3;0;1
504471;23;0;75.7;2;29.05.21;27.555;0;730;0;0;0
504472;18;1;98;5;02.06.21;30.899;0;854;1;0;1
504473;32;1;246.8;3;25.10.21;82.028;0;1162;1;0;0
504474;45;0;492;16;28.04.21;46.39;2;492;1;0;0
504475;56;1;52;1;02.03.21;48.669;1;868;0;0;0
504476;45;0;629.6;13;03.05.21;54.855;1;1050;3;1;0
504477;18;1;397.6;6;09.01.21;47.452;0;569;0;0;0
504478;33;1;261.2;5;08.02.21;39.269;1;960;0;1;0
504479;39;0;128.7;2;02.02.21;38.695;0;984;0;0;0
504480;38;1;389.8;6;09.10.21;69.767;1;514;0;0;0
504481;42;1;416.4;19;21.09.21;20.608;2;908;0;0;0
504482;25;0;161.6;7;12.09.21;23.404;2;691;2;0;0
504483;37;0;68.1;1;18.06.21;52.896;0;729;2;0;1
504484;41;0;327.6;8;19.09.21;41.238;1;722;0;1;0
504485;46;1;32.2;1;28.02.21;30.59;1;976;2;0;0
504486;26;1;284.4;4;25.11.21;124.213;1;690;4;1;1
504487;32;1;142.7;5;02.07.21;20.827;1;697;0;1;0
504488;18;1;114.5;3;09.12.21;35.155;1;680;1;0;0
504489;29;1;380.5;9;25.02.21;40.267;1;649;4;1;0
504490;30;0;85.1;2;01.07.21;28.941;1;546;2;0;0
504491;24;0;163.5;6;12.09.21;26.251;1;695;0;0;0
504492;38;1;82.7;4;30.06.21;29.93;0;741;3;1;0
504493;35;0;324.2;6;12.06.21;73.871;0;833;1;1;0
504494;18;0;197.7;6;02.03.21;28.312;2;997;0;0;0
504495;39;1;302.9;6;20.05.21;42.199;1;823;0;1;0
504496;25;1;94.2;2;29.03.21;26.92;1;695;0;0;0
504497;42;1;248.7;5;21.04.21;48.707;1;598;0;0;0
504498;21;0;351.7;4;07.09.21;54.531;2;833;0;1;0
504499;36;1;197.9;8;19.08.21;32.433;1;759;0;1;0
504500;33;0;198.3;5;10.08.21;47.159;1;725;2;1;0
504501;40;0;287.8;11;13.05.21;33.978;1;807;1;1;0
504502;37;1;281.4;7;17.12.21;41.997;1;873;0;1;1
504503;33;1;803.8;13;01.02.21;49.602;1;829;0;1;1
504504;18;1;149.1;4;06.05.21;38.357;1;749;0;0;0
504505;18;1;89.1;3;13.02.21;37.025;1;636;0;0;0
504506;29;1;65.7;3;04.05.21;18.404;0;650;1;0;0
504507;36;0;118.6;6;18.12.21;20.077;0;933;0;0;0
504508;29;0;111.8;6;14.05.21;15.593;0;644;3;1;0
504509;44;1;58.3;3;28.11.21;21.055;0;538;0;1;1
504510;33;1;179.5;4;30.06.21;48.542;2;989;0;1;1
504511;24;0;49.4;1;13.09.21;29.262;1;570;2;0;0
504512;33;0;27.5;1;16.06.21;26.125;1;786;0;0;0
504513;39;0;444.3;5;08.04.21;78.769;1;868;0;0;0
504514;40;0;73.2;1;06.10.21;60.126;1;781;0;1;0
504515;59;1;47.6;2;20.12.21;17.98;2;314;1;0;0
504516;28;0;57.7;3;07.04.21;28.313;1;850;0;0;1
504517;35;0;158.1;6;12.10.21;26.225;1;979;2;1;1
504518;41;1;132.4;4;06.04.21;36.716;2;902;1;0;0
504519;36;1;56.8;3;19.09.21;18.986;1;338;3;1;0
504520;30;0;27.1;1;15.10.21;25.745;2;1143;1;0;0
504521;18;0;279.8;8;14.06.21;39.322;0;501;2;0;0
504522;30;0;527.4;10;26.09.21;38.021;2;566;1;1;1
504523;23;0;25.4;1;10.04.21;19.41;0;921;0;0;0
504524;18;0;101.6;4;29.01.21;35.501;1;842;1;0;0
504525;26;0;71.5;2;05.02.21;37.841;1;774;1;1;0
504526;23;0;264.4;7;13.06.21;38.55;2;678;0;0;0
504527;43;0;141.4;5;26.11.21;22.377;1;1000;1;0;1
504528;43;0;370.7;9;16.02.21;54.422;1;773;0;0;0
504529;25;1;47.5;2;16.06.21;27.982;1;498;0;1;0
504530;33;0;183.2;10;14.09.21;24.954;1;1002;0;1;1
504531;18;0;148.1;7;15.03.21;34.316;1;819;0;1;0
504532;30;1;91.9;3;21.09.21;53.944;2;981;0;1;1
504533;41;0;257.4;5;22.04.21;51.676;2;883;0;0;1
504534;46;0;160.7;3;23.10.21;64.336;0;1210;0;0;0
504535;27;1;447;16;31.07.21;26.3;2;724;0;1;0
504536;49;1;23.8;2;19.07.21;17.742;1;763;1;0;0
504537;18;0;43.2;2;06.03.21;28.692;1;910;0;1;0
504538;21;1;17.6;2;19.06.21;10.592;2;655;4;1;1
504539;45;1;70.3;4;09.11.21;28.125;1;884;2;1;1
504540;56;0;115;4;08.01.21;31.007;1;249;0;0;0
504541;42;0;129.5;5;04.10.21;28.031;1;767;0;1;0
504542;36;0;752.3;18;29.06.21;49.564;2;761;0;1;1
504543;18;1;257;11;20.09.21;32.933;1;755;0;0;0
504544;18;0;109;2;31.08.21;40.668;1;622;0;0;0
504545;38;0;119.7;4;07.06.21;40.513;1;923;1;0;0
504546;32;0;19.1;1;23.04.21;18.145;1;669;1;0;0
504547;23;1;138.3;3;17.08.21;51.774;0;816;0;1;1
504548;37;0;281.9;10;21.02.21;28.002;1;753;1;1;0
504549;37;0;54.5;2;02.08.21;38.558;1;870;0;0;0
504550;47;0;97.6;2;04.02.21;51.442;0;998;2;0;1
504551;38;1;62.7;3;26.08.21;26.853;1;755;3;1;1
504552;51;0;210.8;7;18.08.21;26.415;1;931;0;0;0
504553;36;1;137.3;3;31.01.21;40.941;1;766;2;1;1
504554;35;0;28.7;1;04.10.21;27.265;1;649;2;1;0
504555;49;0;1014.9;15;01.06.21;78.166;1;755;0;0;0
504556;24;0;165.1;3;15.10.21;41.761;0;729;0;1;1
504557;70;0;46.4;2;16.01.21;20.94;1;842;2;0;0
504558;41;0;308.6;4;07.03.21;105.559;2;799;0;0;1
504559;41;1;42.1;1;30.06.21;39.995;1;637;0;1;0
504560;42;0;154.1;4;10.03.21;35.107;1;720;1;0;0
504561;59;1;413.2;6;01.05.21;80.598;1;505;0;0;1
504562;46;0;131.8;4;30.08.21;48.034;1;747;0;1;1
504563;18;1;130.7;4;22.02.21;32.05;1;710;4;0;0
504564;53;0;26.9;2;05.09.21;20.377;0;1106;0;0;1
504565;32;1;76.4;6;07.02.21;12.483;1;1023;0;1;0
504566;37;0;1122.5;17;05.03.21;61.828;2;574;1;0;0
504567;21;1;122.8;4;03.08.21;38.044;1;816;0;0;0
504568;42;1;186;5;17.10.21;37.004;0;799;1;0;1
504569;28;1;40.4;1;04.03.21;38.38;0;719;1;1;1
504570;37;1;158.9;4;20.04.21;40.177;2;750;0;0;0
504571;33;0;198.2;6;04.12.21;53.434;2;716;0;1;1
504572;59;0;150.6;6;28.12.21;24.642;1;1057;3;0;0
504573;60;0;156.2;3;01.08.21;45.751;1;645;3;1;1
504574;37;1;52.7;1;13.06.21;50.065;2;841;0;1;1
504575;37;0;175.4;5;07.05.21;32.521;1;325;0;1;1
504576;32;0;77.9;7;12.08.21;12.857;1;928;0;1;0
504577;49;1;369.8;12;04.08.21;24.729;1;933;3;0;0
504578;32;0;234.8;8;18.04.21;19.079;2;551;2;0;0
504579;31;1;243.3;4;09.01.21;59.662;1;688;0;0;0
504580;48;0;414.6;16;25.02.21;22.679;1;801;3;0;0
504581;30;1;48.9;2;16.12.21;22.348;1;784;0;0;0
504582;36;1;464.6;14;02.06.21;26.144;1;864;0;1;0
504583;18;1;139.8;3;26.06.21;49.386;1;708;1;0;0
504584;44;0;1103.4;18;20.06.21;51.984;1;1115;0;1;0
504585;59;0;235.7;11;13.10.21;25.595;1;639;1;1;0
504586;45;0;116.7;3;24.01.21;29.432;1;1264;0;0;0
504587;54;0;474.9;19;31.01.21;32.637;1;964;2;0;0
504588;26;1;66.1;1;11.04.21;62.795;1;870;3;1;0
504589;39;0;35.5;3;27.06.21;13.901;1;593;0;0;0
504590;25;0;182.7;9;02.09.21;18.474;2;944;0;0;0
504591;33;0;1547.4;12;29.06.21;106.603;0;869;1;1;0
504592;45;1;139.8;2;11.06.21;61.246;1;398;0;1;0
504593;37;0;18.5;1;09.12.21;17.54;1;487;2;0;0
504594;19;0;600.6;3;28.02.21;139.061;1;824;1;0;0
504595;20;0;296.4;5;28.07.21;44.31;1;756;0;0;0
504596;19;0;293;8;17.07.21;34.287;1;647;2;0;0
504597;42;1;245.2;4;22.06.21;80.537;2;974;0;0;1
504598;61;0;104;6;22.10.21;24.326;2;621;0;1;0
504599;52;1;34.5;1;08.04.21;28.974;1;698;0;1;0
504600;18;1;187.1;6;15.12.21;33.728;1;624;2;0;0
504601;53;1;117;2;02.05.21;51.042;2;812;3;1;1
504602;47;1;854.4;15;18.07.21;50.291;1;470;0;1;1
504603;18;1;342.6;10;10.07.21;42.279;1;690;0;0;1
504604;32;0;117.4;4;07.11.21;29.286;1;470;0;1;0
504605;49;0;171.1;4;10.06.21;43.098;0;704;1;1;0
504606;43;1;226.8;4;14.04.21;39.503;1;910;0;1;0
504607;20;1;331.9;11;08.01.21;33.097;0;913;0;0;0
504608;43;0;219.2;6;13.05.21;31.065;1;649;0;1;0
504609;18;0;27.9;1;29.10.21;26.321;2;876;0;0;0
504610;33;0;81.5;3;04.01.21;18.474;1;727;1;0;0
504611;50;0;173.8;3;24.11.21;68.418;2;1025;0;1;0
504612;36;0;302.3;8;18.07.21;49.049;2;757;0;1;0
504613;30;0;343.9;10;21.02.21;55.061;1;245;0;1;0
504614;47;0;133.8;6;21.04.21;21.402;0;941;0;0;0
504615;48;1;30.5;1;22.07.21;28.788;1;697;0;0;0
504616;52;1;66.1;2;26.04.21;34.929;1;731;0;1;0
504617;46;1;478;9;09.02.21;42.339;1;840;0;1;0
504618;49;1;74.6;2;01.09.21;25.5;1;524;0;1;0
504619;45;0;323.9;5;03.09.21;78.667;2;793;0;0;0
504620;39;0;500.9;10;13.02.21;53.046;2;856;1;1;0
504621;37;1;124.3;5;13.04.21;37.973;2;846;0;0;0
504622;33;1;213.7;5;31.03.21;45.527;1;672;0;0;1
504623;21;1;157;6;29.08.21;30.706;2;939;1;1;0
504624;25;1;92.5;4;24.09.21;25.757;2;600;0;0;0
504625;33;1;83.6;7;23.09.21;13.512;2;667;0;1;1
504626;39;1;745.6;13;09.12.21;50.88;1;716;2;1;0
504627;53;1;138.2;4;08.10.21;37.012;1;833;0;1;0
504628;35;1;94.4;1;28.04.21;57.828;1;662;3;0;0
504629;48;0;238.7;5;09.02.21;54.005;1;1001;0;0;1
504630;49;0;168.5;7;13.08.21;34.525;0;773;3;0;0
504631;33;0;147.3;5;01.12.21;35.722;1;754;2;1;0
504632;43;1;305.1;10;22.12.21;29.284;2;827;0;1;1
504633;33;1;167.2;7;26.03.21;20.443;1;912;0;0;0
504634;52;0;185.9;8;28.03.21;23.554;1;803;1;1;0
504635;44;0;23.2;1;14.01.21;22.04;1;454;0;0;0
504636;22;1;252.4;8;21.02.21;30.469;1;976;0;0;0
504637;38;0;281.6;5;22.07.21;48.291;1;742;3;0;0
504638;56;1;489.8;10;19.07.21;50.039;0;883;1;0;0
504639;34;0;37.1;3;16.05.21;17.143;1;647;3;0;0
504640;41;0;53.1;1;24.04.21;50.445;1;411;2;0;0
504641;43;0;124.5;4;30.10.21;36.558;0;330;2;0;0
504642;24;0;323.6;9;17.06.21;48.929;0;590;1;1;0
504643;42;0;98;3;23.10.21;45.001;1;853;1;0;0
504644;19;0;16.2;1;18.12.21;15.183;1;954;3;1;0
504645;28;0;265.4;7;26.04.21;39.03;1;814;1;1;0
504646;49;0;652;8;15.03.21;69.899;1;591;0;0;0
504647;40;1;158.9;5;14.12.21;20.928;2;619;1;1;0
504648;32;0;57.6;2;20.08.21;25.888;1;1025;0;0;1
504649;41;0;16.1;1;17.04.21;13.87;1;484;3;0;0
504650;35;0;166.1;8;15.08.21;34.797;1;1138;1;1;1
504651;36;1;62.6;3;07.07.21;18.409;2;1098;1;1;0
504652;44;1;24.5;1;27.11.21;23.275;0;1164;0;0;0
504653;27;1;102.9;2;04.04.21;39.105;0;849;0;1;0
504654;36;1;254.1;7;28.12.21;50.523;1;719;0;1;0
504655;32;0;109.3;6;08.12.21;14.911;1;824;1;0;0
504656;18;1;28.4;1;07.03.21;26.98;2;924;1;0;0
504657;25;0;253.1;10;02.03.21;35.899;1;663;0;1;1
504658;55;1;166.6;3;14.07.21;34.003;1;582;0;1;0
504659;41;0;301.5;6;17.01.21;50.153;1;729;0;1;0
504660;20;0;191.6;4;20.04.21;55.322;2;641;0;1;1
504661;18;1;292.4;7;08.06.21;48.543;1;963;2;0;0
504662;35;1;137.7;4;20.12.21;37.87;2;609;3;0;0
504663;55;1;33.1;1;29.12.21;31.445;0;757;2;1;0
504664;34;0;257.5;10;25.02.21;27.83;1;957;0;1;0
504665;52;0;49.9;1;22.11.21;47.3;1;1010;0;0;0
504666;40;0;28.8;1;03.02.21;27.36;1;758;3;1;1
504667;42;0;54.2;3;01.10.21;24.03;1;779;4;0;0
504668;20;0;123.2;3;05.11.21;41.62;2;597;0;0;0
504669;47;0;703.3;13;22.11.21;51.477;0;944;1;1;0
504670;32;1;41.8;1;23.03.21;35.025;0;1007;0;0;0
504671;46;0;185.6;3;23.11.21;47.97;1;443;0;0;0
504672;26;1;168.8;6;12.02.21;31.028;2;1027;4;0;0
504673;38;1;237.9;7;09.07.21;31.75;1;594;3;0;0
504674;40;1;102.6;2;21.06.21;46.301;1;817;4;1;1
504675;34;0;25.8;1;26.04.21;24.51;1;794;0;0;0
504676;41;0;200.6;4;09.01.21;48.354;1;769;0;0;0
504677;33;0;325.3;10;09.10.21;30.451;0;683;3;1;0
504678;28;1;206.7;10;03.05.21;32.96;1;581;1;1;0
504679;55;0;147.3;4;30.08.21;37.509;2;874;0;1;0
504680;49;0;373.3;7;30.05.21;52.402;2;729;0;1;0
504681;27;1;139.6;13;17.05.21;12.971;1;544;0;1;0
504682;43;1;79;3;20.11.21;23.515;1;574;1;1;1
504683;27;1;248.2;3;04.02.21;54.441;1;507;2;0;0
504684;22;0;49.8;1;26.09.21;47.31;2;686;0;0;1
504685;48;1;274.5;12;30.09.21;34.273;1;867;0;0;1
504686;18;0;128.4;4;19.05.21;34.284;1;652;0;1;0
504687;47;0;113.7;3;06.04.21;48.104;2;936;1;1;0
504688;33;1;846.9;7;02.01.21;83.871;2;759;0;1;1
504689;33;1;34.9;1;08.12.21;33.155;1;728;0;1;1
504690;41;0;66.7;1;12.12.21;63.365;2;763;1;1;0
504691;43;0;352.6;6;29.03.21;45.19;2;1031;0;0;0
504692;26;0;37.8;2;12.01.21;23.558;1;513;1;0;0
504693;45;1;29.8;1;14.02.21;27.974;1;1058;1;1;0
504694;37;1;162.1;2;25.01.21;60.316;1;953;0;0;0
504695;21;0;341.8;4;31.10.21;64.097;0;756;1;1;0
504696;34;0;108.7;4;22.11.21;34.921;1;973;1;0;0
504697;53;1;464.4;10;25.02.21;60.331;1;702;1;0;0
504698;56;1;197.3;4;30.09.21;43.127;2;811;1;1;0
504699;45;0;199.6;5;07.03.21;34.982;1;683;0;0;0
504700;22;1;490.6;15;15.05.21;41.99;1;954;0;0;1
504701;42;1;59.6;3;07.08.21;18.688;2;653;0;0;0
504702;46;0;144;6;20.09.21;31.91;0;771;0;0;0
504703;45;1;370.5;11;16.11.21;32.141;1;902;0;1;1
504704;45;1;358;6;17.01.21;56.589;1;969;0;0;0
504705;40;1;192.7;7;13.03.21;46.963;1;612;1;1;1
504706;35;1;113.9;4;13.04.21;31.461;2;916;0;0;0
504707;29;1;58.4;1;24.04.21;55.48;1;543;3;1;0
504708;18;0;79.7;4;31.12.21;17.178;0;373;1;0;0
504709;40;0;279.6;16;11.10.21;22.789;1;645;0;0;0
504710;38;1;82.5;1;27.04.21;63.052;1;910;1;1;0
504711;43;0;140.9;3;21.12.21;46.718;2;778;0;1;0
504712;20;0;107;5;02.07.21;18.91;1;624;3;1;1
504713;44;0;184.7;7;02.07.21;37.451;0;730;3;1;0
504714;61;1;127.4;6;08.06.21;19.977;1;744;2;0;0
504715;37;1;122.1;4;22.02.21;29.471;1;872;1;0;0
504716;35;1;183;4;08.12.21;46.965;2;430;3;1;1
504717;40;1;266.5;7;06.01.21;35.159;0;742;1;1;0
504718;60;0;180.2;5;05.03.21;33.9;1;742;3;1;0
504719;24;0;43.4;3;25.03.21;27.969;1;534;0;0;1
504720;38;1;171.8;2;12.04.21;57.059;1;472;3;0;0
504721;26;0;340.8;9;18.02.21;44.641;2;694;1;1;0
504722;29;1;125.9;6;07.01.21;24.363;0;782;0;1;0
504723;35;1;225;6;05.09.21;36.981;1;712;4;0;0
504724;52;0;226.8;6;20.12.21;36.594;2;660;1;1;1
504725;58;1;157.1;8;14.02.21;27.327;1;612;3;0;0
504726;41;0;51.4;2;19.04.21;37.349;1;709;0;1;0
504727;31;0;109.5;1;04.07.21;75.76;1;814;1;1;0
504728;66;0;159.7;7;05.12.21;24.891;1;984;1;0;0
